osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,tunnel
"[4648243, 995998375]",,Kleiberstraße,residential,30,False,False,92.78299999999999,"LINESTRING (11.766684 48.1068611, 11.7665462 48.1069517, 11.7664433 48.1070864, 11.7659914 48.1073892, 11.7659112 48.1075039)","['4.5', '6']",,
4648241,,Kleiberstraße,residential,30,False,True,55.044000000000004,"LINESTRING (11.7671955 48.1065425, 11.7676457 48.1062007, 11.7676851 48.1061708)",,,
297975321,,Amselweg,residential,30,False,True,17.982,"LINESTRING (11.7664616 48.1078912, 11.766346 48.1077491)",,,
1120787232,,Bahnhofstraße,residential,30,False,True,52.376,"LINESTRING (11.7681772 48.1065581, 11.7677209 48.1061989)",6,,
157296416,,Amselweg,residential,30,False,True,189.803,"LINESTRING (11.7681772 48.1065581, 11.7681394 48.1065827, 11.766346 48.1077491)",5.7,,
1120787232,,Bahnhofstraße,residential,30,False,False,87.352,"LINESTRING (11.7681772 48.1065581, 11.7682262 48.1065962, 11.7683102 48.1066618, 11.7685565 48.1068539, 11.7689424 48.1071548)",6,,
4688831,,Carl-Zeller-Straße,residential,30,False,True,129.787,"LINESTRING (11.7773123 48.1064847, 11.7758698 48.1058255)",,,
49801392,,Beethovenstraße,residential,30,False,True,72.414,"LINESTRING (11.7773123 48.1064847, 11.7767623 48.1070225)",,,
4705421,,Robert-Stolz-Straße,residential,30,False,False,201.12499999999997,"LINESTRING (11.7744528 48.1085776, 11.7746978 48.1087, 11.7749123 48.1088072, 11.7749713 48.1088456, 11.7750261 48.1088813, 11.7752091 48.1090006, 11.7753354 48.1090832, 11.7755172 48.109202, 11.7756413 48.1092874, 11.7757973 48.1093948, 11.7759289 48.1094783, 11.7761011 48.1095876, 11.7764308 48.1098091)",5.25,,
171247855,,Millöckerstraße,residential,30,False,False,108.22500000000001,"LINESTRING (11.7744528 48.1085776, 11.7745605 48.1084192, 11.7746306 48.1083133, 11.7747578 48.1081265, 11.7749912 48.1078575, 11.7750959 48.1077685, 11.7751488 48.1077273)",,,
171247855,,Millöckerstraße,residential,30,False,True,79.174,"LINESTRING (11.7744528 48.1085776, 11.7743705 48.1086895, 11.7741906 48.1089433, 11.7740499 48.1091341, 11.7739853 48.1092175)",,,
"[231599712, 227935465, 958553223]",,Heinrich-Laberger-Ring,residential,30,False,"[False, True]",53.983999999999995,"LINESTRING (11.7714474 48.1013853, 11.7718224 48.1013517, 11.7719368 48.1013466, 11.7721704 48.1013379)",,,
"[30563982, 228275926, 366705080, 4706365, 1267633662]","['2', '3']",Möschenfelder Straße,tertiary,50,False,True,224.726,"LINESTRING (11.7714474 48.1013853, 11.7715236 48.10171, 11.7715581 48.1018851, 11.7715832 48.1020271, 11.7715838 48.1023826, 11.7715713 48.1026089, 11.7715164 48.1029374, 11.7714778 48.1031724, 11.7714349 48.1033944)",,EBE 17,yes
"[23762873, 976554620]",,Alpspitzstraße,residential,30,False,False,201.791,"LINESTRING (11.7674645 48.1041115, 11.7674903 48.104141, 11.7679676 48.1047066, 11.7680452 48.1047985, 11.7682766 48.1050716, 11.7688016 48.1056914)",,,
157296431,2,Zugspitzstraße,residential,30,False,False,306.86099999999993,"LINESTRING (11.7674645 48.1041115, 11.7679367 48.1040048, 11.7681928 48.103947, 11.7684961 48.1038792, 11.7690331 48.1037592, 11.7691099 48.1037396, 11.7691481 48.1037312, 11.7695569 48.1036352, 11.7696024 48.103626, 11.7698416 48.1035774, 11.7700646 48.1035469, 11.7703367 48.1035214, 11.7709298 48.1034869, 11.7712633 48.1034437, 11.7714349 48.1033944)",,,
157296431,2,Zugspitzstraße,residential,30,False,True,138.315,"LINESTRING (11.7674645 48.1041115, 11.7672152 48.1041777, 11.7669601 48.104246, 11.7669213 48.1042564, 11.7666917 48.1043334, 11.7663981 48.1044475, 11.7659844 48.104635, 11.7658464 48.1047134)",,,
492694565,,Wendelsteinstraße,residential,30,False,False,29.823,"LINESTRING (11.7688016 48.1056914, 11.7691296 48.1055366)",,,
492694565,,Wendelsteinstraße,residential,30,False,True,98.11,"LINESTRING (11.7688016 48.1056914, 11.7683815 48.1058811, 11.7682175 48.1059611, 11.7677209 48.1061989)",,,
"[23762873, 976554620]",,Alpspitzstraße,residential,30,False,True,201.791,"LINESTRING (11.7688016 48.1056914, 11.7682766 48.1050716, 11.7680452 48.1047985, 11.7679676 48.1047066, 11.7674903 48.104141, 11.7674645 48.1041115)",,,
"[732181474, 4644364]",,Wendelsteinstraße,residential,30,False,False,68.83600000000001,"LINESTRING (11.7701229 48.1051226, 11.7703191 48.1050622, 11.7703489 48.105053, 11.7704492 48.1050292, 11.7704887 48.1050219, 11.7705363 48.1050147, 11.7706122 48.1050111, 11.7706826 48.1050103, 11.770793 48.1050147, 11.7710162 48.1050328)",,,
157296418,,Dreitorspitzstraße,living_street,,False,False,68.81800000000001,"LINESTRING (11.7701229 48.1051226, 11.7701014 48.1050603, 11.7700015 48.1047697, 11.7699209 48.1045186)",,,
492694565,,Wendelsteinstraße,residential,30,False,True,87.022,"LINESTRING (11.7701229 48.1051226, 11.7699083 48.1052022, 11.7696592 48.1052972, 11.7692837 48.1054629, 11.7691296 48.1055366)",,,
