osmid,lanes,ref,name,highway,oneway,reversed,length,geometry
165402557,,,Del Carmen,residential,False,False,49.656,"LINESTRING (121.8642595 13.4714202, 121.8642542 13.4713329, 121.8642274 13.4711725, 121.8641965 13.4709782)"
165402557,,,Del Carmen,residential,False,True,257.936,"LINESTRING (121.8642595 13.4714202, 121.8642609 13.4716198, 121.8642354 13.4716771, 121.8636762 13.4724976, 121.8631034 13.473415)"
534745317,,,,residential,False,False,303.61899999999997,"LINESTRING (121.8568251 13.4743717, 121.8569344 13.4747975, 121.8573146 13.4748816, 121.8579543 13.4748399, 121.8582386 13.4748177, 121.8585705 13.4748758, 121.8590681 13.4748001, 121.8592375 13.4749023)"
165402556,,,Bonifacio Street,residential,False,False,23.331,"LINESTRING (121.8595987 13.4743079, 121.8594863 13.474487)"
165402556,,,Bonifacio Street,residential,False,True,46.622,"LINESTRING (121.8595987 13.4743079, 121.8598134 13.4739443)"
165503112,,,Malvar Extension,residential,False,True,37.248,"LINESTRING (121.8595987 13.4743079, 121.8593136 13.4741199)"
199295106,2,461,Quezon Street,primary,False,False,106.68299999999999,"LINESTRING (121.8590583 13.4774007, 121.8598513 13.4772513, 121.8600229 13.4772023)"
"[199295106, 534745279]",2,461,Quezon Street,primary,False,True,200.144,"LINESTRING (121.8590583 13.4774007, 121.8582581 13.4775252, 121.8579966 13.4775604, 121.8577351 13.4776139, 121.8572487 13.4777608)"
534745279,2,461,Quezon Street,primary,False,False,16.285,"LINESTRING (121.8571115 13.4778212, 121.8572487 13.4777608)"
165503111,,,Magsaysay Street,residential,False,True,58.67,"LINESTRING (121.8598419 13.4732357, 121.8596833 13.4735124, 121.8595709 13.4736927)"
123165328,2,,Doña Aurora Street,tertiary,False,False,3.175,"LINESTRING (121.8597613 13.4754337, 121.8597473 13.4754588)"
123165328,2,,Doña Aurora Street,tertiary,False,True,39.57,"LINESTRING (121.8597613 13.4754337, 121.8599488 13.4751281)"
812992404,,,Olaveria Street,residential,False,False,42.647,"LINESTRING (121.8597613 13.4754337, 121.8594285 13.4752279)"
165402557,,,Del Carmen,residential,False,True,49.656000000000006,"LINESTRING (121.8641965 13.4709782, 121.8642274 13.4711725, 121.8642542 13.4713329, 121.8642595 13.4714202)"
534745265,,,,residential,False,True,78.273,"LINESTRING (121.8633051 13.4696211, 121.8633543 13.4703234)"
822499964,,,,residential,False,True,55.349,"LINESTRING (121.8633051 13.4696211, 121.8627937 13.4696003)"
822499964,,,,residential,False,False,55.349,"LINESTRING (121.8627937 13.4696003, 121.8633051 13.4696211)"
909499572,,,,residential,False,False,14.623,"LINESTRING (121.8652189 13.4738232, 121.865095 13.4737705)"
909499539,,,,residential,False,True,95.97399999999999,"LINESTRING (121.8652189 13.4738232, 121.8652774 13.4736857, 121.8652841 13.473614, 121.865264 13.4733962, 121.8651822 13.4729801)"
909499539,,,,residential,False,False,95.97399999999999,"LINESTRING (121.8651822 13.4729801, 121.865264 13.4733962, 121.8652841 13.473614, 121.8652774 13.4736857, 121.8652189 13.4738232)"
909499571,,,,residential,False,True,51.817,"LINESTRING (121.8650293 13.4742321, 121.865095 13.4737705)"
909499571,,,,residential,False,False,51.817,"LINESTRING (121.865095 13.4737705, 121.8650293 13.4742321)"
909499572,,,,residential,False,True,14.623,"LINESTRING (121.865095 13.4737705, 121.8652189 13.4738232)"
"[165402555, 909499572]",,,,residential,False,False,89.487,"LINESTRING (121.865095 13.4737705, 121.8650039 13.4737783, 121.86462 13.4738227, 121.8644845 13.474136)"
534745303,2,460,Rizal Street,primary,False,False,4.317,"LINESTRING (121.8598505 13.4728359, 121.8598188 13.4728123)"
534745303,2,460,Rizal Street,primary,False,True,60.848,"LINESTRING (121.8598505 13.4728359, 121.8600705 13.4729655, 121.8603294 13.4731232)"
909876127,,,,residential,False,False,79.911,"LINESTRING (121.8598505 13.4728359, 121.8599144 13.4727558, 121.8604884 13.4724923)"
909876127,,,,residential,False,True,79.911,"LINESTRING (121.8604884 13.4724923, 121.8599144 13.4727558, 121.8598505 13.4728359)"
