osmid,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,bridge,junction
247844102,residential,False,False,63.67,"LINESTRING (122.5914822 10.787573, 122.5919533 10.7872358)",,,,,,
247844102,residential,False,True,35.936,"LINESTRING (122.5914822 10.787573, 122.5916636 10.7878086, 122.591682 10.7878297)",,,,,,
224648974,residential,False,True,49.739,"LINESTRING (122.5917751 10.7877796, 122.5921444 10.7875179)",,,,,,
224648974,residential,False,False,37.449,"LINESTRING (122.5917751 10.7877796, 122.5919099 10.7879407, 122.591987 10.7880442)",,,,,,
247844102,residential,False,False,11.596,"LINESTRING (122.5917751 10.7877796, 122.5917189 10.7878103, 122.591682 10.7878297)",,,,,,
247844099,residential,False,True,36.02,"LINESTRING (122.5912146 10.7877623, 122.5914822 10.787573)",,,,,,
224648960,residential,False,False,25.094,"LINESTRING (122.5928397 10.7879604, 122.593025 10.787827)",,,,,,
247844098,residential,False,False,141.732,"LINESTRING (122.5928397 10.7879604, 122.5921132 10.7869043)",,,,,,
"[224648960, 224648974]",residential,False,True,46.922,"LINESTRING (122.5928397 10.7879604, 122.5928742 10.7880579, 122.5928716 10.7880843, 122.5928562 10.7881025, 122.5925957 10.788184)",,,,,,
247844100,residential,False,True,14.74,"LINESTRING (122.5932811 10.7882101, 122.5933304 10.7883335)",,,,,,
247779111,residential,False,False,63.681,"LINESTRING (122.5932811 10.7882101, 122.593247 10.7882226, 122.5927261 10.7883853)",,,,,,
224648995,residential,False,False,5.287,"LINESTRING (122.5916116 10.7893106, 122.5915634 10.7893149)",,,,,,
247844101,residential,False,False,52.964999999999996,"LINESTRING (122.5916116 10.7893106, 122.5916627 10.7895014, 122.5917122 10.7896467, 122.5917507 10.7897667)",,,,,,
247844101,residential,False,True,52.965,"LINESTRING (122.5917507 10.7897667, 122.5917122 10.7896467, 122.5916627 10.7895014, 122.5916116 10.7893106)",,,,,,
247892474,unclassified,False,False,165.753,"LINESTRING (122.5922497 10.7815761, 122.5928477 10.7824827, 122.5931175 10.782796)",,,,,,
224648971,residential,False,True,54.344,"LINESTRING (122.5884284 10.782922, 122.5880618 10.7832524)",,,,,,
224648971,residential,False,False,57.999,"LINESTRING (122.5884284 10.782922, 122.5885558 10.7828167, 122.5886185 10.7827733, 122.5887074 10.7827355, 122.5888187 10.7826963, 122.5888909 10.7826882)",,,,,,
224648983,residential,False,True,211.146,"LINESTRING (122.5884284 10.782922, 122.5886964 10.7832725, 122.5888254 10.7834499, 122.5889638 10.783648, 122.5890083 10.7837563, 122.5889755 10.7838715, 122.5888646 10.7840006, 122.588377 10.7843568)",,,,,,
224648971,residential,False,False,54.344,"LINESTRING (122.5880618 10.7832524, 122.5884284 10.782922)",,,,,,
224648971,residential,False,True,49.961,"LINESTRING (122.5880618 10.7832524, 122.587714 10.7835442)",,,,,,
247892473,residential,False,False,77.216,"LINESTRING (122.5880618 10.7832524, 122.5885095 10.7837898)",,,,,,
247892473,residential,False,True,77.216,"LINESTRING (122.5885095 10.7837898, 122.5880618 10.7832524)",,,,,,
480233968,unclassified,False,True,128.438,"LINESTRING (122.5895784 10.7854557, 122.5895368 10.7853918, 122.5893371 10.7851245, 122.5891499 10.7848914, 122.5891316 10.7848686, 122.5888657 10.7845375)",,,,,,
480831171,secondary,True,False,12.233000000000002,"LINESTRING (122.5895784 10.7854557, 122.5895889 10.7854519, 122.5896001 10.7854512, 122.589611 10.7854536, 122.5896209 10.7854588, 122.5896289 10.7854664, 122.5896344 10.785476, 122.589637 10.7854867, 122.5896365 10.7854977, 122.5896329 10.7855081, 122.5896265 10.7855172)",,,,,,circular
1214763904,trunk,False,True,5.512,"LINESTRING (122.5888098 10.7860831, 122.5888349 10.7861261)",Iloilo-Capiz Road,4,5,40,,
247892472,secondary,True,False,104.976,"LINESTRING (122.5888098 10.7860831, 122.58882 10.786075, 122.5892186 10.7857596, 122.5895571 10.7854895)",,,,,,
"[1214763904, 821683411]",trunk,False,False,136.052,"LINESTRING (122.5888098 10.7860831, 122.588732 10.7859586, 122.5887117 10.7859261, 122.5885486 10.7856652, 122.5884878 10.785568, 122.5884702 10.7855398, 122.5884377 10.7854877, 122.5883916 10.785414, 122.588232 10.7851939, 122.5881349 10.7850554)",Iloilo-Capiz Road,4,5,40,,
821381577,secondary,True,False,7.578,"LINESTRING (122.5888349 10.7861261, 122.5887656 10.7861229)",,,,,,
1214763904,trunk,False,False,5.512,"LINESTRING (122.5888349 10.7861261, 122.5888098 10.7860831)",Iloilo-Capiz Road,4,5,40,,
1214763904,trunk,False,True,74.729,"LINESTRING (122.5888349 10.7861261, 122.5888795 10.7861959, 122.5890715 10.7865591, 122.5891378 10.7866846, 122.5891561 10.7867192)",Iloilo-Capiz Road,4,5,40,,
252076369,residential,False,True,74.92,"LINESTRING (122.5871427 10.7847481, 122.5877261 10.7843938)",,,,,,
