osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,bridge
906003469,tertiary,False,True,347.043,"LINESTRING (124.3950823 11.2175673, 124.3947903 11.2176712, 124.3945631 11.2177023, 124.39428 11.217737, 124.393833 11.2177827, 124.3936226 11.2178228, 124.3930695 11.2179891, 124.3927622 11.2180512, 124.3919817 11.2182256)",,,,
165835208,residential,False,True,77.63900000000001,"LINESTRING (124.3893654 11.2178026, 124.3895573 11.2179761, 124.3896243 11.2180163, 124.3899679 11.2181569)",,,,
"[165835211, 906003468]",residential,False,True,313.096,"LINESTRING (124.3919817 11.2182256, 124.3918905 11.2177616, 124.3918663 11.2174163, 124.3918663 11.2173873, 124.3918663 11.2169523, 124.3918728 11.2166757, 124.3918756 11.2165541, 124.3918942 11.2160334, 124.3913085 11.2158175)",,,,
906003469,tertiary,False,False,347.04300000000006,"LINESTRING (124.3919817 11.2182256, 124.3927622 11.2180512, 124.3930695 11.2179891, 124.3936226 11.2178228, 124.393833 11.2177827, 124.39428 11.217737, 124.3945631 11.2177023, 124.3947903 11.2176712, 124.3950823 11.2175673)",,,,
246377408,residential,False,False,121.83800000000001,"LINESTRING (124.3956691 11.2103872, 124.3959213 11.2104094, 124.3961076 11.2103291, 124.3962788 11.2101687, 124.3963815 11.2099803, 124.396526 11.2098366)",,,,
247049771,unclassified,False,True,225.113,"LINESTRING (124.3956691 11.2103872, 124.3956271 11.2104098, 124.3954822 11.210455, 124.3950713 11.2105041, 124.3949462 11.2105106, 124.394297 11.2105183, 124.3938321 11.2105235, 124.3936216 11.2105212)",,,,
246377408,residential,False,True,121.838,"LINESTRING (124.396526 11.2098366, 124.3963815 11.2099803, 124.3962788 11.2101687, 124.3961076 11.2103291, 124.3959213 11.2104094, 124.3956691 11.2103872)",,,,
165831095,residential,False,True,121.093,"LINESTRING (124.3931735 11.2112763, 124.392086 11.2114954)",,,,
165831079,residential,False,False,106.119,"LINESTRING (124.3931735 11.2112763, 124.3931218 11.2115229, 124.393079 11.2117426, 124.3930137 11.2122172)",,,,
165831079,residential,False,True,86.488,"LINESTRING (124.3931735 11.2112763, 124.3931791 11.2112246, 124.3931936 11.2109933, 124.3932199 11.2104999)",,,,
906003488,residential,False,False,74.961,"LINESTRING (124.3922576 11.2108456, 124.3921369 11.2111784, 124.392086 11.2114954)",,,,
913088197,residential,False,True,36.306,"LINESTRING (124.3902567 11.2168943, 124.3905866 11.2168508)",,,,
913088198,residential,False,True,23.515,"LINESTRING (124.3906 11.2170613, 124.3905866 11.2169732, 124.3905866 11.2168508)",,,,
913088197,residential,False,False,36.306,"LINESTRING (124.3905866 11.2168508, 124.3902567 11.2168943)",,,,
913088198,residential,False,False,23.515,"LINESTRING (124.3905866 11.2168508, 124.3905866 11.2169732, 124.3906 11.2170613)",,,,
913088198,residential,False,True,93.533,"LINESTRING (124.3905866 11.2168508, 124.390588 11.2167851, 124.3905678 11.216718, 124.3905276 11.2166535, 124.3904042 11.2164957, 124.3903613 11.216422, 124.3903412 11.2162997, 124.3903171 11.2160787)",,,,
913088199,residential,False,True,37.483,"LINESTRING (124.3899979 11.2162036, 124.3903171 11.2160787)",,,,
913088199,residential,False,False,37.483,"LINESTRING (124.3903171 11.2160787, 124.3899979 11.2162036)",,,,
913088199,residential,False,True,22.868,"LINESTRING (124.3903171 11.2160787, 124.3904839 11.2159541)",,,,
913088198,residential,False,False,93.533,"LINESTRING (124.3903171 11.2160787, 124.3903412 11.2162997, 124.3903613 11.216422, 124.3904042 11.2164957, 124.3905276 11.2166535, 124.3905678 11.216718, 124.390588 11.2167851, 124.3905866 11.2168508)",,,,
"[716025776, 716025777, 716025775]",primary,False,False,137.275,"LINESTRING (124.3944309 11.2157649, 124.394312 11.2154167, 124.3942915 11.2153584, 124.3940087 11.214602)",2,684,Santo Rosario-Villaba Road,yes
"[716025773, 716025774, 716025775]",primary,False,True,212.678,"LINESTRING (124.3944309 11.2157649, 124.3945383 11.2160797, 124.3948187 11.216891, 124.3948508 11.2169741, 124.3950823 11.2175673)",2,684,Santo Rosario-Villaba Road,yes
