osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
330182706,青雲路三段,primary,True,False,26.901,"LINESTRING (121.8270618 24.8602221, 121.8269204 24.860017)",,2,
1174712024,協天路,unclassified,False,False,7.259,"LINESTRING (121.8270618 24.8602221, 121.8271261 24.8601928)",,,
85690565,開蘭路,unclassified,False,False,153.588,"LINESTRING (121.8267785 24.8623611, 121.826395 24.861844, 121.8261519 24.8615217, 121.8259222 24.8612191)",2,,
129008195,青雲路三段387巷,unclassified,False,False,147.01599999999996,"LINESTRING (121.8267785 24.8623611, 121.8271502 24.8620331, 121.8277001 24.8615059, 121.827799 24.8614177)",,,
578537042,開蘭路279巷,residential,False,True,119.708,"LINESTRING (121.8267785 24.8623611, 121.8264381 24.862608, 121.8258185 24.8629926)",,,
129008184,武營路,residential,False,False,169.226,"LINESTRING (121.8258185 24.8629926, 121.8255654 24.8627279, 121.8254185 24.8626184, 121.8250431 24.8623682, 121.8247747 24.8621893, 121.8245602 24.8619962)",,,
578537042,開蘭路279巷,residential,False,False,119.708,"LINESTRING (121.8258185 24.8629926, 121.8264381 24.862608, 121.8267785 24.8623611)",,,
129008184,武營路,residential,False,False,11.552,"LINESTRING (121.8245602 24.8619962, 121.8244958 24.8619103)",,,
355244026,,unclassified,False,True,120.394,"LINESTRING (121.8245602 24.8619962, 121.8254828 24.8613095)",,,
129008184,武營路,residential,False,True,169.22600000000003,"LINESTRING (121.8245602 24.8619962, 121.8247747 24.8621893, 121.8250431 24.8623682, 121.8254185 24.8626184, 121.8255654 24.8627279, 121.8258185 24.8629926)",,,
355244026,,unclassified,False,False,56.957,"LINESTRING (121.8245602 24.8619962, 121.8244365 24.8620809, 121.8243226 24.8621625, 121.8241155 24.8623117)",,,
445706031,東興街,residential,False,True,155.074,"LINESTRING (121.8253464 24.8561676, 121.8248513 24.8558757, 121.8247505 24.8558214, 121.8245561 24.8556753, 121.8244291 24.8555543, 121.8243053 24.8554148, 121.8241783 24.8552801)",,,
709689237,沙成路,residential,False,False,163.274,"LINESTRING (121.8253464 24.8561676, 121.8254209 24.856038, 121.8254685 24.8558859, 121.8255136 24.8556566, 121.8255 24.8554953, 121.8254766 24.855247, 121.8253974 24.8550329, 121.8253594 24.85494, 121.8252835 24.8547573)",,,
709689237,沙成路,residential,False,True,89.356,"LINESTRING (121.8253464 24.8561676, 121.8253105 24.856214, 121.8252491 24.8562905, 121.8250222 24.8564638, 121.8246991 24.8567105)",,,
129008197,南興街,residential,False,True,60.244,"LINESTRING (121.8241783 24.8552801, 121.823705 24.8556104)",,,
129008197,南興街,residential,False,False,126.5,"LINESTRING (121.8241783 24.8552801, 121.8245145 24.8550555, 121.8252835 24.8547573)",,,
445706031,東興街,residential,False,False,155.074,"LINESTRING (121.8241783 24.8552801, 121.8243053 24.8554148, 121.8244291 24.8555543, 121.8245561 24.8556753, 121.8247505 24.8558214, 121.8248513 24.8558757, 121.8253464 24.8561676)",,,
85690565,開蘭路,unclassified,False,False,26.481,"LINESTRING (121.8259222 24.8612191, 121.8257618 24.8610306)",2,,
85690565,開蘭路,unclassified,False,True,153.58800000000002,"LINESTRING (121.8259222 24.8612191, 121.8261519 24.8615217, 121.826395 24.861844, 121.8267785 24.8623611)",2,,
224874672,,residential,False,False,48.736000000000004,"LINESTRING (121.8259222 24.8612191, 121.8261392 24.8610796, 121.8263172 24.8609668)",,,
224874672,,residential,False,True,48.736000000000004,"LINESTRING (121.8263172 24.8609668, 121.8261392 24.8610796, 121.8259222 24.8612191)",,,
613073370,青雲北橋,primary,False,False,23.264,"LINESTRING (121.8264009 24.8591489, 121.8262843 24.8589684)",,2,yes
276738343,青雲路三段,primary,True,False,110.826,"LINESTRING (121.8264009 24.8591489, 121.8264858 24.859228, 121.8269645 24.8599557, 121.826987 24.8599887)",,2,
398090413,,residential,False,False,144.22,"LINESTRING (121.8264009 24.8591489, 121.826503 24.8589813, 121.8266205 24.8587647, 121.8267929 24.8585097, 121.8269692 24.8582394, 121.8271136 24.8580255)",,,
398091418,青雲路三段323巷,residential,False,True,7.42,"LINESTRING (121.8269204 24.860017, 121.826987 24.8599887)",,,
330182706,青雲路三段,primary,True,False,110.894,"LINESTRING (121.8269204 24.860017, 121.8267034 24.8596655, 121.8264105 24.8592481, 121.8264009 24.8591489)",,2,
398091418,青雲路三段323巷,residential,False,False,202.12800000000001,"LINESTRING (121.8269204 24.860017, 121.8265177 24.8602484, 121.8263513 24.8603837, 121.8262934 24.8604999, 121.8263322 24.8606086, 121.8264986 24.8607577, 121.8268264 24.8610644, 121.8269249 24.8611649, 121.8270246 24.8613051)",,,
1174712024,協天路,unclassified,False,True,7.259,"LINESTRING (121.8271261 24.8601928, 121.8270618 24.8602221)",,,
276738343,青雲路三段,primary,True,False,160.908,"LINESTRING (121.8271261 24.8601928, 121.8272209 24.8603439, 121.8275064 24.8608196, 121.8279413 24.8614356)",,2,
1174712024,協天路,unclassified,False,False,92.078,"LINESTRING (121.8271261 24.8601928, 121.8273953 24.8600682, 121.8274874 24.8600259, 121.8279508 24.8598388)",,,
276738343,青雲路三段,primary,True,False,8.689,"LINESTRING (121.8279413 24.8614356, 121.8279596 24.8614664, 121.8279815 24.8615047)",,2,
276738343,青雲路三段,primary,True,False,28.803,"LINESTRING (121.8279815 24.8615047, 121.828126 24.8617281)",,2,
424690120,大武路,residential,True,False,20.799,"LINESTRING (121.8279815 24.8615047, 121.827799 24.8614177)",,,
85644444,復興路,unclassified,True,False,133.96,"LINESTRING (121.8234457 24.8626298, 121.8235328 24.8627269, 121.8231962 24.8629591, 121.823025 24.8630754, 121.8227013 24.8633112, 121.8225712 24.8633529)",,,
536613646,,unclassified,False,False,46.015,"LINESTRING (121.8234457 24.8626298, 121.8236203 24.8625076, 121.8238068 24.862377)",,,
355244026,,unclassified,False,False,120.394,"LINESTRING (121.8254828 24.8613095, 121.8245602 24.8619962)",,,
129008184,武營路,residential,False,True,11.552,"LINESTRING (121.8244958 24.8619103, 121.8245602 24.8619962)",,,
355244026,,unclassified,False,True,56.957,"LINESTRING (121.8241155 24.8623117, 121.8243226 24.8621625, 121.8244365 24.8620809, 121.8245602 24.8619962)",,,
398090413,,residential,False,True,117.35,"LINESTRING (121.8279089 24.8572844, 121.8277108 24.8574158, 121.8273538 24.8576544, 121.8272881 24.8577531, 121.8271136 24.8580255)",,,
398090413,,residential,False,False,117.34999999999998,"LINESTRING (121.8271136 24.8580255, 121.8272881 24.8577531, 121.8273538 24.8576544, 121.8277108 24.8574158, 121.8279089 24.8572844)",,,
398090413,,residential,False,True,144.22,"LINESTRING (121.8271136 24.8580255, 121.8269692 24.8582394, 121.8267929 24.8585097, 121.8266205 24.8587647, 121.826503 24.8589813, 121.8264009 24.8591489)",,,
398090425,新武路,residential,False,False,218.62999999999997,"LINESTRING (121.8271136 24.8580255, 121.8272339 24.8582742, 121.8274835 24.8588374, 121.8275457 24.8589664, 121.82768 24.8592701, 121.8279508 24.8598388)",,,
398090425,新武路,residential,False,True,218.62999999999997,"LINESTRING (121.8279508 24.8598388, 121.82768 24.8592701, 121.8275457 24.8589664, 121.8274835 24.8588374, 121.8272339 24.8582742, 121.8271136 24.8580255)",,,
1174712024,協天路,unclassified,False,True,92.078,"LINESTRING (121.8279508 24.8598388, 121.8274874 24.8600259, 121.8273953 24.8600682, 121.8271261 24.8601928)",,,
276738343,青雲路三段,primary,True,False,26.684,"LINESTRING (121.826987 24.8599887, 121.8271261 24.8601928)",,2,
398091418,青雲路三段323巷,residential,False,False,7.42,"LINESTRING (121.826987 24.8599887, 121.8269204 24.860017)",,,
