osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref
126561740,East 5th Street,tertiary,False,True,54.479,"LINESTRING (-122.5751727 45.1431966, -122.5750066 45.1431573, -122.5748324 45.1431162, -122.5745142 45.1430407)",,,
126561740,East 5th Street,tertiary,False,False,21.171,"LINESTRING (-122.576523 45.1435163, -122.5767789 45.1435769)",,,
5306762,Swiegle Avenue,residential,False,False,89.38499999999999,"LINESTRING (-122.576523 45.1435163, -122.5762202 45.1441579, -122.576163 45.144279)",,,
126561740,East 5th Street,tertiary,False,True,86.55999999999999,"LINESTRING (-122.576523 45.1435163, -122.5763236 45.1434691, -122.5754767 45.1432686)",,,
126561740,East 5th Street,tertiary,False,True,21.171,"LINESTRING (-122.5767789 45.1435769, -122.576523 45.1435163)",,,
126561740,East 5th Street,tertiary,False,False,71.836,"LINESTRING (-122.5767789 45.1435769, -122.5773617 45.1437149, -122.5776472 45.1437825)",,,
5304100,West 5th Street,residential,False,False,88.56099999999999,"LINESTRING (-122.578811 45.1440434, -122.578917 45.1440729, -122.5798783 45.1443032)",,,
126561740,East 5th Street,tertiary,False,True,95.81099999999999,"LINESTRING (-122.578811 45.1440434, -122.5786939 45.1440108, -122.5779328 45.1438501, -122.5778032 45.1438194, -122.5776472 45.1437825)",,,
480752877,South Molalla Avenue,secondary,False,False,140.086,"LINESTRING (-122.578811 45.1440434, -122.5787771 45.1441036, -122.578237 45.1452363)",35 mph,,
480752877,South Molalla Avenue,secondary,False,True,107.03999999999999,"LINESTRING (-122.578811 45.1440434, -122.5788632 45.1439507, -122.5792428 45.1431304)",35 mph,,
5293742,Section Street,residential,False,False,86.05,"LINESTRING (-122.581739 45.143275, -122.582836 45.143288)",,,
5293742,Section Street,residential,False,True,106.042,"LINESTRING (-122.581739 45.143275, -122.580387 45.143266)",,,
5308761,Hart Avenue,residential,False,False,155.79500000000002,"LINESTRING (-122.581739 45.143275, -122.5816836 45.1433862, -122.5814397 45.1438763, -122.5811218 45.144515, -122.581081 45.144597)",,,
5293742,Section Street,residential,False,True,86.05,"LINESTRING (-122.582836 45.143288, -122.581739 45.143275)",,,
5288941,Shaver Avenue,residential,False,False,377.074,"LINESTRING (-122.582836 45.143288, -122.5825801 45.1438196, -122.582453 45.1440836, -122.5821411 45.1447314, -122.5820987 45.1448194, -122.58129 45.146499)",,,
5294308,West 3rd Street,residential,False,False,87.382,"LINESTRING (-122.58129 45.146499, -122.5823425 45.1467569)",,,
5288941,Shaver Avenue,residential,False,False,167.279,"LINESTRING (-122.58129 45.146499, -122.5811075 45.1468673, -122.581001 45.1470573, -122.580875 45.1473016, -122.5805607 45.1479126)",,,
5288941,Shaver Avenue,residential,False,True,377.074,"LINESTRING (-122.58129 45.146499, -122.5820987 45.1448194, -122.5821411 45.1447314, -122.582453 45.1440836, -122.5825801 45.1438196, -122.582836 45.143288)",,,
5288941,Shaver Avenue,residential,False,True,167.279,"LINESTRING (-122.5805607 45.1479126, -122.580875 45.1473016, -122.581001 45.1470573, -122.5811075 45.1468673, -122.58129 45.146499)",,,
"[480761872, 5291414]",West Main Street,primary,False,False,104.94099999999999,"LINESTRING (-122.5805607 45.1479126, -122.5806347 45.14792, -122.5812108 45.1479776, -122.5814606 45.1480025, -122.5818856 45.148045)",,2,OR 211
480761873,West Main Street,primary,False,True,82.18299999999999,"LINESTRING (-122.5805607 45.1479126, -122.5802459 45.1478782, -122.5800202 45.1478536, -122.5796232 45.1478102, -122.5795251 45.1477995)",,,OR 211
5305310,Fenton Avenue,residential,False,True,120.529,"LINESTRING (-122.570934 45.149988, -122.5711708 45.148917)",,,
5305310,Fenton Avenue,residential,False,False,78.285,"LINESTRING (-122.570934 45.149988, -122.570913 45.150098, -122.5707866 45.1506843)",,,
"[480755450, 480755451]",East Heintz Street,residential,False,False,151.949,"LINESTRING (-122.570934 45.149988, -122.5716639 45.150156, -122.5722374 45.150288, -122.5723429 45.1503123, -122.572684 45.1503908, -122.5727299 45.1504014, -122.572776 45.150412)",,,
"[480755451, 5289611]",East Heintz Street,residential,False,False,145.58999999999997,"LINESTRING (-122.572776 45.150412, -122.5731806 45.1505094, -122.5733456 45.1505491, -122.5733924 45.1505604, -122.5738548 45.1506717, -122.5739768 45.1507011, -122.5744448 45.1508138, -122.574533 45.150835)",,,
"[480755450, 480755451]",East Heintz Street,residential,False,True,151.949,"LINESTRING (-122.572776 45.150412, -122.5727299 45.1504014, -122.572684 45.1503908, -122.5723429 45.1503123, -122.5722374 45.150288, -122.5716639 45.150156, -122.570934 45.149988)",,,
480755452,Grange Avenue,residential,False,True,93.511,"LINESTRING (-122.572776 45.150412, -122.572809 45.1502622, -122.5729028 45.1498361, -122.5729364 45.1496835, -122.5729468 45.1496361, -122.572959 45.149581)",,,
5289611,East Heintz Street,residential,False,False,147.78199999999998,"LINESTRING (-122.574533 45.150835, -122.5756698 45.1511066, -122.576111 45.151212, -122.576216 45.1512315, -122.576324 45.1512456)",,,
"[5289611, 480755451]",East Heintz Street,residential,False,True,145.59,"LINESTRING (-122.574533 45.150835, -122.5744448 45.1508138, -122.5739768 45.1507011, -122.5738548 45.1506717, -122.5733924 45.1505604, -122.5733456 45.1505491, -122.5731806 45.1505094, -122.572776 45.150412)",,,
1178198569,Center Avenue,unclassified,False,True,95.37200000000001,"LINESTRING (-122.574533 45.150835, -122.5745471 45.1507643, -122.574582 45.15059, -122.5746348 45.1503254, -122.5746406 45.1502965, -122.5746716 45.1501415, -122.5746897 45.1500507, -122.5747027 45.1499857)",,,
5289611,East Heintz Street,residential,False,True,147.78199999999998,"LINESTRING (-122.576324 45.1512456, -122.576216 45.1512315, -122.576111 45.151212, -122.5756698 45.1511066, -122.574533 45.150835)",,,
5290072,West Heintz Street,residential,False,False,139.02,"LINESTRING (-122.576324 45.1512456, -122.576422 45.1512573, -122.576713 45.151286, -122.578078 45.151427)",,,
5298087,North Molalla Avenue,secondary,False,True,94.209,"LINESTRING (-122.576324 45.1512456, -122.576339 45.1511808, -122.5764672 45.1505578, -122.576498 45.1504073)",35 mph,,
5290072,West Heintz Street,residential,False,True,139.02,"LINESTRING (-122.578078 45.151427, -122.576713 45.151286, -122.576422 45.1512573, -122.576324 45.1512456)",,,
