osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,bridge
1154244739,True,,,secondary,False,9.998000000000001,"LINESTRING (-121.2878804 37.9562155, -121.2878878 37.9562249, -121.2879261 37.9562503, -121.2879725 37.9562649)",roundabout,
1154244733,True,2,East Miner Avenue,secondary,False,104.74000000000001,"LINESTRING (-121.2881599 37.9561664, -121.288412 37.9561233, -121.2892051 37.9559883, -121.2892949 37.9559194)",,
1154244739,True,,,secondary,False,11.064,"LINESTRING (-121.2881599 37.9561664, -121.2881643 37.9561524, -121.2881589 37.9561101, -121.2881356 37.9560717)",roundabout,
1154244736,True,,North San Joaquin Street,residential,False,12.191,"LINESTRING (-121.2880353 37.9560226, -121.2879467 37.9559381)",,
1154244739,True,,,secondary,False,10.314,"LINESTRING (-121.2880353 37.9560226, -121.2879986 37.9560195, -121.2879497 37.9560279, -121.2879232 37.9560401)",roundabout,
1154244739,True,,,secondary,False,10.513,"LINESTRING (-121.2880972 37.9562434, -121.2881214 37.9562292, -121.2881513 37.9561938, -121.2881599 37.9561664)",roundabout,
1154244738,True,,North San Joaquin Street,residential,False,13.106,"LINESTRING (-121.2879725 37.9562649, -121.2880645 37.9563578)",,
1154244739,True,,,secondary,False,11.556000000000001,"LINESTRING (-121.2879725 37.9562649, -121.2880264 37.956267, -121.2880781 37.9562546, -121.2880972 37.9562434)",roundabout,
876613965,True,2,East Miner Avenue,secondary,False,82.64200000000001,"LINESTRING (-121.2875952 37.9561629, -121.2874453 37.9561914, -121.2873011 37.9562177, -121.2868134 37.9563044, -121.2866918 37.9563598)",,
1154244740,True,,East Miner Avenue,secondary_link,False,17.475,"LINESTRING (-121.2875952 37.9561629, -121.2875369 37.9562176, -121.2874788 37.9562303, -121.2874315 37.9562384)",,
1242404577,True,,,secondary_link,False,7.036,"LINESTRING (-121.2874315 37.9562384, -121.2874097 37.9562993)",,
1154244740,True,,East Miner Avenue,secondary_link,False,19.869999999999997,"LINESTRING (-121.2874315 37.9562384, -121.2873917 37.9562426, -121.287308 37.9562567, -121.2872769 37.9562735, -121.2872697 37.956323)",,
