osmid,highway,oneway,reversed,length,name,geometry,maxspeed,lanes
10751116,residential,False,False,407.606,7th Avenue,"LINESTRING (-121.5516155 39.0952738, -121.5514891 39.09527, -121.5514413 39.0952685, -121.5507398 39.0952616, -121.5497438 39.0952399, -121.5492573 39.0952323, -121.5489941 39.0952313, -121.548874 39.0952308, -121.5487166 39.0952177, -121.5485621 39.0952134, -121.5481154 39.0952012, -121.5478328 39.0951903, -121.5468949 39.0951716)",25 mph,
10751116,residential,False,True,197.858,7th Avenue,"LINESTRING (-121.5516155 39.0952738, -121.5517442 39.0952778, -121.5517887 39.0952791, -121.5524736 39.0952922, -121.552657 39.0952966, -121.5531714 39.0953088, -121.553276 39.0953113, -121.5538636 39.0953254, -121.5539072 39.0953264)",25 mph,
10751154,secondary,False,False,302.324,Olivehurst Avenue,"LINESTRING (-121.5516155 39.0952738, -121.5516123 39.0953465, -121.5516104 39.0953883, -121.5516047 39.0955361, -121.5515855 39.0961831, -121.5515714 39.0966513, -121.551563 39.0969396, -121.5515575 39.0971237, -121.5515408 39.0975558, -121.5515388 39.0976188, -121.5515363 39.0976678, -121.5515302 39.0978432, -121.551526 39.0979191, -121.5515245 39.0979917)",,2
10751154,secondary,False,True,202.017,Olivehurst Avenue,"LINESTRING (-121.5516155 39.0952738, -121.5516181 39.0952147, -121.5516201 39.095171, -121.551628 39.0948794, -121.5516717 39.0938737, -121.5516857 39.093562, -121.5516856 39.0935224, -121.5516854 39.0934579)",,2
10751154,secondary,False,False,200.576,Olivehurst Avenue,"LINESTRING (-121.5517389 39.0916546, -121.5517346 39.0918069, -121.551685 39.0933451, -121.5516851 39.0933851, -121.5516854 39.0934579)",,2
10751338,residential,False,False,393.11999999999995,9th Avenue,"LINESTRING (-121.5517389 39.0916546, -121.5518178 39.0916563, -121.5526685 39.0916734, -121.552938 39.0916788, -121.553882 39.0916978, -121.5547455 39.0917152, -121.5562217 39.0917449, -121.5562925 39.0917464)",,
10751338,residential,False,True,201.106,9th Avenue,"LINESTRING (-121.5517389 39.0916546, -121.5516737 39.0916532, -121.5507844 39.0916297, -121.5506959 39.0916298, -121.5494098 39.0915995)",,
10751154,secondary,False,True,203.256,Olivehurst Avenue,"LINESTRING (-121.5514782 39.0998192, -121.5514835 39.0997497, -121.5514869 39.0995276, -121.5514902 39.0993935, -121.5515207 39.0981653, -121.5515231 39.0980754, -121.5515245 39.0979917)",,2
10752055,residential,False,False,401.07500000000005,5th Avenue,"LINESTRING (-121.5514782 39.0998192, -121.5516067 39.0998214, -121.5516604 39.0998223, -121.5519522 39.0998273, -121.5540056 39.0998628, -121.5560422 39.099898, -121.5561249 39.0998997)",,
10751338,residential,False,False,90.316,9th Avenue,"LINESTRING (-121.5562925 39.0917464, -121.5563528 39.0917473, -121.5573388 39.0917625)",,
10751338,residential,False,True,393.12000000000006,9th Avenue,"LINESTRING (-121.5562925 39.0917464, -121.5562217 39.0917449, -121.5547455 39.0917152, -121.553882 39.0916978, -121.552938 39.0916788, -121.5526685 39.0916734, -121.5518178 39.0916563, -121.5517389 39.0916546)",,
10751659,residential,False,False,200.82,Western Avenue,"LINESTRING (-121.5562925 39.0917464, -121.5562906 39.091803, -121.5562856 39.0926685, -121.5562849 39.0926832, -121.5562442 39.0935518)",,
10751338,residential,False,True,90.316,9th Avenue,"LINESTRING (-121.5573388 39.0917625, -121.5563528 39.0917473, -121.5562925 39.0917464)",,
10751659,residential,False,True,201.325,Western Avenue,"LINESTRING (-121.5561249 39.0998997, -121.5561515 39.0990691, -121.556163 39.0987112, -121.5561829 39.0980897)",,
10752055,residential,False,True,401.075,5th Avenue,"LINESTRING (-121.5561249 39.0998997, -121.5560422 39.099898, -121.5540056 39.0998628, -121.5519522 39.0998273, -121.5516604 39.0998223, -121.5516067 39.0998214, -121.5514782 39.0998192)",,
