osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,junction,width
1086221373,,Vernon Road,residential,True,False,4.409,"LINESTRING (-0.4009831 54.2806186, -0.4009913 54.2805946, -0.4010032 54.2805811)",,,roundabout,
65099483,,Harcourt Place,residential,False,False,12.968,"LINESTRING (-0.3994398 54.2810032, -0.3992662 54.2810609)",,,,
"[65099483, 317743431]",,"['Harcourt Place', 'Falconers Road']",residential,False,True,100.25399999999999,"LINESTRING (-0.3994398 54.2810032, -0.3996124 54.2809653, -0.3998046 54.2809279, -0.4000019 54.2808813, -0.4003952 54.2807893, -0.4006604 54.2807269, -0.4008754 54.2806717)",,,,
123352108,,Falconers Road,residential,True,False,9.151,"LINESTRING (-0.4008754 54.2806717, -0.4009831 54.2806186)",,,,
"[65099483, 317743431]",,"['Harcourt Place', 'Falconers Road']",residential,False,False,100.254,"LINESTRING (-0.4008754 54.2806717, -0.4006604 54.2807269, -0.4003952 54.2807893, -0.4000019 54.2808813, -0.3998046 54.2809279, -0.3996124 54.2809653, -0.3994398 54.2810032)",,,,
65099483,,Harcourt Place,residential,False,True,12.968,"LINESTRING (-0.3992662 54.2810609, -0.3994398 54.2810032)",,,,
5215729,,Saint Nicholas Cliff,residential,True,False,105.794,"LINESTRING (-0.3992662 54.2810609, -0.3992251 54.281022, -0.399098 54.2809115, -0.3988479 54.2807768, -0.3986961 54.2806874, -0.3986169 54.2806152, -0.3985371 54.2804969, -0.3984852 54.2803712, -0.3984792 54.2803238, -0.398515 54.2802693)",,,,
"[65099480, 185589044]",,"['Harcourt Place', 'St Nicholas Street']",residential,True,False,229.403,"LINESTRING (-0.3992662 54.2810609, -0.3990634 54.2811127, -0.3989257 54.2811498, -0.398622 54.2812186, -0.398501 54.2812474, -0.3984229 54.2813162, -0.3984034 54.2813901, -0.3984057 54.2814913, -0.3985872 54.2818193, -0.3986835 54.2819734, -0.3989582 54.2824129, -0.3991324 54.2826662, -0.3991831 54.2827305)",,,,
39837977,A165,Valley Bridge Parade,trunk,False,False,21.163,"LINESTRING (-0.4040061 54.2793733, -0.4039241 54.2791891)",30 mph,,,
5183561,A165,Filey Road,trunk,True,False,150.31300000000002,"LINESTRING (-0.4040061 54.2793733, -0.4042214 54.2796512, -0.4043415 54.2798062, -0.4045143 54.2800229, -0.4046717 54.2801738, -0.4047524 54.2802371, -0.404847 54.2802978, -0.4049865 54.2803501, -0.4052888 54.2804508)",30 mph,,,
"[5215825, 5215822]",,Westwood,residential,False,"[False, True]",29.072,"LINESTRING (-0.4040061 54.2793733, -0.4042911 54.2792194, -0.4043408 54.2792002)",,,,
289338940,,Somerset Terrace,residential,False,True,127.817,"LINESTRING (-0.4040061 54.2793733, -0.403794 54.2794487, -0.4032212 54.2796643, -0.4028251 54.2798111, -0.4025179 54.2799322, -0.4023782 54.2800151)",,,,
18964875,,Tollergate,residential,False,False,74.801,"LINESTRING (-0.3972876 54.2864851, -0.3971328 54.2858185)",,,,
300903978,,Castle Road,residential,False,True,14.021,"LINESTRING (-0.3972876 54.2864851, -0.3975029 54.2864749)",,,,
23620601,,Market Way,residential,False,False,57.111,"LINESTRING (-0.396335 54.2840739, -0.3965316 54.284027, -0.3966988 54.2839894, -0.3968468 54.2839483, -0.3969974 54.2838845, -0.397113 54.2838402)",,,,
58829032,,Friargate,residential,False,False,19.992,"LINESTRING (-0.396335 54.2840739, -0.3962154 54.2839635, -0.3961418 54.2839396)",,,,
58829032,,Friargate,residential,False,True,124.404,"LINESTRING (-0.396335 54.2840739, -0.3964712 54.2842156, -0.3966017 54.2843706, -0.3967626 54.284571, -0.3969369 54.285124)",,,,
65100380,,Eastborough,residential,False,False,50.084,"LINESTRING (-0.3958141 54.2834304, -0.3950674 54.2835438)",,,,
185589583,,Newborough,residential,False,True,57.696,"LINESTRING (-0.3958141 54.2834304, -0.3963442 54.2833497, -0.3966768 54.2833058)",,,,
"[150856580, 311170276]",,"['Leading Post Street', ""Merchant's Row""]",residential,False,False,91.815,"LINESTRING (-0.3958141 54.2834304, -0.3956691 54.2832991, -0.3955795 54.2832262, -0.3955368 54.2832051, -0.395087 54.283403, -0.3949865 54.2834532, -0.3949193 54.2835206, -0.3948819 54.2835798)",,,,2.5
1086221373,,Vernon Road,residential,True,False,5.949,"LINESTRING (-0.4012271 54.2806307, -0.4012234 54.2806406, -0.4012089 54.2806591, -0.4011825 54.2806762)",,,roundabout,
799181372,,Dean Road,residential,False,False,55.313,"LINESTRING (-0.4086118 54.285556, -0.4082161 54.2854971, -0.407792 54.2854208)",,,,
799181372,,Dean Road,residential,False,False,48.027,"LINESTRING (-0.4073536 54.2853378, -0.4066463 54.285211)",,,,
799181372,,Dean Road,residential,False,True,29.921,"LINESTRING (-0.4073536 54.2853378, -0.4074525 54.2853544, -0.407792 54.2854208)",,,,
8002657,,Albemarle Crescent,residential,True,False,99.134,"LINESTRING (-0.4046407 54.2817178, -0.4037004 54.2811057, -0.4036483 54.2810434)",,,,
14692697,,Albemarle Crescent,residential,True,False,143.46699999999998,"LINESTRING (-0.4046407 54.2817178, -0.4046561 54.2817273, -0.4048281 54.281841, -0.4048688 54.2818855, -0.4048974 54.2819332, -0.4049132 54.2819828, -0.4049159 54.2820332, -0.4049054 54.2820833, -0.404882 54.2821319, -0.4048462 54.2821778, -0.4047988 54.28222, -0.404741 54.2822576, -0.4046741 54.2822895, -0.4046381 54.282303, -0.4046004 54.2823149, -0.4045612 54.2823251, -0.4044824 54.2823398, -0.4044008 54.2823476, -0.4043181 54.2823484, -0.404236 54.2823422, -0.4041564 54.282329, -0.4040809 54.2823092, -0.4040112 54.2822832, -0.4039487 54.2822516, -0.4039012 54.2822144, -0.4037755 54.2821285)",,,,
8002657,,Albemarle Crescent,residential,True,False,72.388,"LINESTRING (-0.4037755 54.2821285, -0.4046407 54.2817178)",,,,
432746135,,Belvoir Terrace,residential,True,False,74.236,"LINESTRING (-0.4019701 54.2797964, -0.4018215 54.2798748, -0.4017479 54.2799159, -0.4016656 54.2799619, -0.4014607 54.2800818, -0.4013213 54.280156, -0.4012093 54.2802255, -0.4011335 54.2802483)",,,,
8002692,,The Crescent,residential,True,False,33.714,"LINESTRING (-0.4011335 54.2802483, -0.4011541 54.2803575, -0.4011884 54.2804427, -0.4012261 54.2805462)",,,,
432746138,,The Crescent,residential,True,False,309.992,"LINESTRING (-0.4011335 54.2802483, -0.4010258 54.2801779, -0.4010034 54.2800948, -0.4010475 54.2800089, -0.4012897 54.2796891, -0.4014213 54.2795251, -0.4014991 54.2793748, -0.4015379 54.2792617, -0.4015888 54.2790792, -0.4015956 54.2790258, -0.4016155 54.2789777, -0.4016938 54.2788911, -0.4018158 54.2788336, -0.4018979 54.2788157, -0.4019329 54.278808, -0.4020236 54.2788032, -0.4020837 54.2788088, -0.4021373 54.2788311, -0.4022295 54.278898, -0.4023096 54.279058, -0.4023306 54.2791406, -0.4023296 54.2792334, -0.4023166 54.2793331, -0.4022783 54.2794302, -0.4022239 54.2795261, -0.402175 54.2796025, -0.4020888 54.2796895, -0.4019701 54.2797964)",,,,
8002843,,Westborough,unclassified,True,False,62.361999999999995,"LINESTRING (-0.4036483 54.2810434, -0.404014 54.2809363, -0.4042902 54.2808366, -0.4044806 54.2807647)",,,,
307311400,,York Place,residential,True,False,141.10399999999998,"LINESTRING (-0.4036483 54.2810434, -0.4031166 54.28062, -0.4029268 54.2804688, -0.4028109 54.2803766, -0.4025678 54.280183, -0.40245 54.2800969, -0.4023782 54.2800151)",,,,
13203630,,Trafalgar Street West,residential,False,False,40.389,"LINESTRING (-0.4079225 54.2836282, -0.4081698 54.2832949)",,,,
13203630,,Trafalgar Street West,residential,False,True,68.53800000000001,"LINESTRING (-0.4079225 54.2836282, -0.4077824 54.283831, -0.407665 54.2840143, -0.4075388 54.2842024)",,,,
670733888,,Hoxton Road,residential,True,False,182.06199999999998,"LINESTRING (-0.4079225 54.2836282, -0.4069121 54.2834123, -0.4066509 54.2833481, -0.4053391 54.2829939)",,,,
10514942,B1364,Victoria Road,secondary,False,True,44.228,"LINESTRING (-0.4053391 54.2829939, -0.4056118 54.2826294)",,,,
10514942,B1364,Victoria Road,secondary,False,False,33.056,"LINESTRING (-0.4053391 54.2829939, -0.4052543 54.2830737, -0.4050419 54.2832349)",,,,
13203630,,Trafalgar Street West,residential,False,False,45.582,"LINESTRING (-0.4081698 54.2832949, -0.4084315 54.2829145)",,,,
13203630,,Trafalgar Street West,residential,False,True,40.389,"LINESTRING (-0.4081698 54.2832949, -0.4079225 54.2836282)",,,,
10514942,B1364,Victoria Road,secondary,False,False,44.228,"LINESTRING (-0.4056118 54.2826294, -0.4053391 54.2829939)",,,,
10514942,B1364,Victoria Road,secondary,False,True,6.297,"LINESTRING (-0.4056118 54.2826294, -0.4056525 54.282578)",,,,
670733887,,Nelson Street,residential,True,False,181.89700000000002,"LINESTRING (-0.4056118 54.2826294, -0.4062362 54.2827797, -0.4068799 54.2829426, -0.4076095 54.2831242, -0.4081698 54.2832949)",,,,
9728022,,,unclassified,False,False,159.95199999999997,"LINESTRING (-0.4052431 54.2779645, -0.4043381 54.2784759, -0.4042839 54.2785145, -0.4042596 54.2785318, -0.4042096 54.2785986, -0.4041639 54.278652, -0.4041667 54.2787139, -0.4041667 54.278764, -0.4041839 54.2788141, -0.4042096 54.2788642, -0.4042096 54.2789093, -0.4042011 54.2789544, -0.4041753 54.2790095, -0.404121 54.2790515, -0.4040174 54.2791078)",,,,
9728022,,,unclassified,False,False,10.882,"LINESTRING (-0.4040174 54.2791078, -0.4039241 54.2791891)",,,,
9728022,,,unclassified,False,True,159.952,"LINESTRING (-0.4040174 54.2791078, -0.404121 54.2790515, -0.4041753 54.2790095, -0.4042011 54.2789544, -0.4042096 54.2789093, -0.4042096 54.2788642, -0.4041839 54.2788141, -0.4041667 54.278764, -0.4041667 54.2787139, -0.4041639 54.278652, -0.4042096 54.2785986, -0.4042596 54.2785318, -0.4042839 54.2785145, -0.4043381 54.2784759, -0.4052431 54.2779645)",,,,
458182188,,Westwood,residential,True,False,23.993,"LINESTRING (-0.4040174 54.2791078, -0.4041742 54.2791796, -0.4043408 54.2792002)",,,,
13203630,,Trafalgar Street West,residential,False,True,5.156,"LINESTRING (-0.4088658 54.2820451, -0.4088435 54.2820896)",,,,
13203630,,Trafalgar Street West,residential,False,False,68.538,"LINESTRING (-0.4075388 54.2842024, -0.407665 54.2840143, -0.4077824 54.283831, -0.4079225 54.2836282)",,,,
13203630,,Trafalgar Street West,residential,False,True,126.26899999999999,"LINESTRING (-0.4075388 54.2842024, -0.4071271 54.2846442, -0.4070925 54.2846833, -0.4068262 54.2849844, -0.4066463 54.285211)",,,,
63617324,,Victoria Street,residential,False,False,202.60399999999998,"LINESTRING (-0.4075388 54.2842024, -0.4063756 54.283882, -0.4047317 54.283406)",,,,
799181372,,Dean Road,residential,False,False,14.555,"LINESTRING (-0.4066463 54.285211, -0.40644 54.2851597)",,,,
799181372,,Dean Road,residential,False,True,48.027,"LINESTRING (-0.4066463 54.285211, -0.4073536 54.2853378)",,,,
