osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge
11442147,Elm Street,primary,False,True,16.83,,25 mph,"LINESTRING (-69.6336143 44.5495523, -69.6337106 44.5494174)",,
827113917,Elm Street,primary,False,False,60.701,,25 mph,"LINESTRING (-69.6336143 44.5495523, -69.6332795 44.5500433)",,
11441359,Silver Street,primary,False,True,10.203,ME 137 Business,,"LINESTRING (-69.6317496 44.5488214, -69.6318362 44.5487535)",,
"[827113915, 241870654]","['Concourse East', 'Concourse West']",residential,False,False,208.57500000000005,,,"LINESTRING (-69.6317496 44.5488214, -69.6316319 44.5489648, -69.6314965 44.5491297, -69.6314368 44.5492034, -69.6313677 44.549271, -69.6312325 44.5494112, -69.6311846 44.5494677, -69.6311152 44.5496495, -69.631107 44.5497293, -69.6311179 44.549789, -69.6311327 44.5498539, -69.6311885 44.5499563, -69.6312017 44.5500007, -69.6312375 44.5501101, -69.6312333 44.5501478, -69.6312328 44.5502022, -69.6312164 44.5502502, -69.6311847 44.5503026, -69.6311335 44.5503634, -69.6310604 44.5504153, -69.6309309 44.5504726)",,
241870655,Spring Street,primary,True,False,168.785,,,"LINESTRING (-69.6317496 44.5488214, -69.6322115 44.5490287, -69.6324283 44.549121, -69.6325457 44.5491617, -69.6331301 44.5493713, -69.6336143 44.5495523)",,
1098602869,Spring Street,primary,True,False,64.651,ME 137 Business,,"LINESTRING (-69.6311291 44.5484439, -69.6317496 44.5488214)",,
11441950,Silver Street,residential,True,False,97.135,,,"LINESTRING (-69.6311291 44.5484439, -69.6311629 44.5485531, -69.6311658 44.5486202, -69.6310995 44.5487093, -69.6302698 44.5487633)",,
"[11441677, 39832174]",Main Street,secondary,False,True,59.868,US 201;ME 104,25 mph,"LINESTRING (-69.6293953 44.5480314, -69.6293754 44.5480788, -69.6293611 44.5481302, -69.6293591 44.5481926, -69.6293971 44.5482923, -69.6295125 44.5485503)",2,
121865067,Front Street,primary,False,False,55.760000000000005,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6282967 44.5557583, -69.6283129 44.5558934, -69.6283634 44.5560245, -69.6284411 44.5561727, -69.6284824 44.5562381)",1,
"[121865067, 52385359]",Front Street,primary,False,True,176.945,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6282967 44.5557583, -69.6282933 44.5554743, -69.6282929 44.5553463, -69.6282859 44.5551764, -69.6283005 44.554767, -69.6283287 44.5544972, -69.628328 44.55448, -69.6283509 44.5541684)","['1', '2']",
11442977,Sanger Avenue,residential,False,False,39.203,,25 mph,"LINESTRING (-69.6326333 44.556741, -69.6321629 44.5568503)",,
350973690,,residential,False,True,13.436,,,"LINESTRING (-69.6326333 44.556741, -69.6326412 44.5568617)",,
11442977,Sanger Avenue,residential,False,True,284.076,,25 mph,"LINESTRING (-69.6326333 44.556741, -69.6338045 44.5565086, -69.6342053 44.5564792, -69.6361283 44.5567728)",,
350973690,,residential,False,False,13.436,,,"LINESTRING (-69.6326412 44.5568617, -69.6326333 44.556741)",,
11437414,West Street,residential,False,False,81.85,,,"LINESTRING (-69.636905 44.5548128, -69.6366962 44.5555337)",,
11437414,West Street,residential,False,True,7.903,,,"LINESTRING (-69.636905 44.5548128, -69.6369252 44.5547432)",,
52385359,Front Street,primary,False,False,26.801,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6283685 44.5539277, -69.628366 44.553962, -69.6283509 44.5541684)",2,
52385359,Front Street,primary,False,True,104.661,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6283685 44.5539277, -69.628401 44.553482, -69.6284037 44.5533121, -69.628438 44.552988)",2,
353070532,Front Place,residential,False,False,96.86000000000001,,,"LINESTRING (-69.6283685 44.5539277, -69.6286341 44.5539365, -69.6288874 44.5539529, -69.6290447 44.5539655, -69.6291823 44.5539818, -69.6292584 44.5539922, -69.6293533 44.5540145, -69.6294721 44.5540895, -69.6295253 44.55412)",,
353070532,Front Place,residential,False,True,96.86,,,"LINESTRING (-69.6295253 44.55412, -69.6294721 44.5540895, -69.6293533 44.5540145, -69.6292584 44.5539922, -69.6291823 44.5539818, -69.6290447 44.5539655, -69.6288874 44.5539529, -69.6286341 44.5539365, -69.6283685 44.5539277)",,
353070531,Front Place,residential,False,False,46.239,,,"LINESTRING (-69.6283509 44.5541684, -69.6289321 44.5542058)",,
"[121865067, 52385359]",Front Street,primary,False,False,176.945,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6283509 44.5541684, -69.628328 44.55448, -69.6283287 44.5544972, -69.6283005 44.554767, -69.6282859 44.5551764, -69.6282929 44.5553463, -69.6282933 44.5554743, -69.6282967 44.5557583)","['1', '2']",
52385359,Front Street,primary,False,True,26.801,US 201;ME 100;ME 11,30 mph,"LINESTRING (-69.6283509 44.5541684, -69.628366 44.553962, -69.6283685 44.5539277)",2,
353070531,Front Place,residential,False,True,46.239,,,"LINESTRING (-69.6289321 44.5542058, -69.6283509 44.5541684)",,
11441677,Main Street,secondary,False,False,29.934,US 201;ME 104,25 mph,"LINESTRING (-69.6311837 44.5524776, -69.6310618 44.5522228)",2,
