osmid,oneway,name,highway,reversed,length,geometry,ref
21630623,False,Saint Leonards Circle,residential,False,15.225,"LINESTRING (-88.1342967 42.9049706, -88.134405 42.904859)",
21626052,True,Saint Leonards Circle,residential,False,58.574,"LINESTRING (-88.1342967 42.9049706, -88.1342617 42.9049594, -88.1342236 42.9049572, -88.1341866 42.9049643, -88.1341549 42.9049798, -88.1341318 42.9050021, -88.13412 42.9050288, -88.1341208 42.9050567, -88.134134 42.905083, -88.1341583 42.9051046, -88.1341909 42.9051192, -88.1342274 42.9051252, -88.1342647 42.9051222, -88.1342986 42.9051106, -88.1343257 42.9050917, -88.134343 42.9050673, -88.1343487 42.9050402, -88.1343423 42.9050132, -88.1343243 42.9049891, -88.1342967 42.9049706)",
21626731,True,Harbor Circle,residential,False,90.08799999999998,"LINESTRING (-88.13656 42.907765, -88.13653 42.907825, -88.136511 42.907849, -88.13645 42.907909, -88.136429 42.907944, -88.136423 42.907987, -88.13644 42.908025, -88.136467 42.908053, -88.13651 42.908072, -88.136553 42.908077, -88.136633 42.908073, -88.1366537 42.9080645, -88.136672 42.908057, -88.136698 42.908028, -88.136711 42.907985, -88.13669 42.907924, -88.13662 42.907856, -88.13656 42.907765)",
21664568,False,Harbor Circle,residential,False,125.475,"LINESTRING (-88.13656 42.907765, -88.136545 42.907709, -88.136526 42.907667, -88.136491 42.907626, -88.136398 42.907556, -88.136299 42.907501, -88.136063 42.907414, -88.135946 42.907382, -88.13566 42.907332, -88.13553 42.907324, -88.135265 42.90732)",
21630455,False,Harbor Circle,residential,False,58.808,"LINESTRING (-88.134236 42.908121, -88.133897 42.908203, -88.133547 42.908279)",
21664568,False,Harbor Circle,residential,False,104.471,"LINESTRING (-88.134236 42.908121, -88.1343 42.908203, -88.134518 42.908396, -88.134701 42.908527, -88.134801 42.908591, -88.135027 42.908711, -88.135153 42.908762)",
21664568,False,Harbor Circle,residential,True,139.28900000000002,"LINESTRING (-88.134236 42.908121, -88.134208 42.907988, -88.134211 42.907894, -88.134236 42.90781, -88.134289 42.907724, -88.134369 42.90764, -88.134456 42.907582, -88.134548 42.907532, -88.134663 42.907478, -88.134781 42.90743, -88.13479 42.9074272, -88.134924 42.907386, -88.135048 42.907355, -88.135133 42.907341, -88.135265 42.90732)",
21630455,False,Harbor Circle,residential,True,58.808,"LINESTRING (-88.133547 42.908279, -88.133897 42.908203, -88.134236 42.908121)",
21640775,False,Park Drive,residential,False,127.04799999999999,"LINESTRING (-88.133547 42.908279, -88.13346 42.908056, -88.133388 42.907901, -88.133229 42.907506, -88.1331285 42.9072605, -88.1330976 42.907185)",
21640775,False,Park Drive,residential,True,206.874,"LINESTRING (-88.133547 42.908279, -88.133734 42.908721, -88.134003 42.909384, -88.134041 42.909464, -88.134096 42.909602, -88.134137 42.909684, -88.134231 42.909915, -88.134267 42.909982, -88.134328 42.910045)",
