osmid,name,highway,oneway,reversed,length,geometry,lanes,width,maxspeed
9285509,Faith Avenue,residential,False,False,34.135,"LINESTRING (-70.563177 41.454108, -70.5628 41.453988)",,,
519615321,Dukes County Avenue,residential,False,False,82.62899999999999,"LINESTRING (-70.563177 41.454108, -70.562946 41.454505, -70.5627778 41.4547882)",2,7.6,
519615321,Dukes County Avenue,residential,False,True,191.48299999999998,"LINESTRING (-70.563177 41.454108, -70.563286 41.453832, -70.563384 41.453497, -70.56343 41.453265, -70.563468 41.452941, -70.563478 41.452856, -70.563536 41.452412)",2,7.6,
9284529,Perkins Avenue,residential,False,False,107.416,"LINESTRING (-70.5680114 41.45242, -70.5677843 41.4533709)",2,7.6,
9285542,Vineyard Avenue,residential,False,True,51.746,"LINESTRING (-70.5680114 41.45242, -70.5686177 41.4525203)",2,9.1,
9285542,Vineyard Avenue,residential,False,False,89.518,"LINESTRING (-70.5680114 41.45242, -70.5676514 41.4523605, -70.5669625 41.4522466)",2,9.1,
9284529,Perkins Avenue,residential,False,False,20.739,"LINESTRING (-70.5677843 41.4533709, -70.5677405 41.4535545)",2,7.6,
9284529,Perkins Avenue,residential,False,True,107.416,"LINESTRING (-70.5677843 41.4533709, -70.5680114 41.45242)",2,7.6,
629045932,Foster Avenue,residential,False,False,68.844,"LINESTRING (-70.5677843 41.4533709, -70.5669685 41.4532736)",,,
9285542,Vineyard Avenue,residential,False,False,66.158,"LINESTRING (-70.56508 41.4519353, -70.5643048 41.4518072)",2,9.1,
9285542,Vineyard Avenue,residential,False,True,62.336,"LINESTRING (-70.56508 41.4519353, -70.5658118 41.4520512)",2,9.1,
9284686,Shawmut Avenue,residential,False,True,299.623,"LINESTRING (-70.56508 41.4519353, -70.56514 41.451704, -70.56525 41.4513, -70.5653774 41.450769, -70.565455 41.450433, -70.565553 41.450011, -70.565653 41.449631, -70.565708 41.449283)",2,9.1,
9285542,Vineyard Avenue,residential,False,False,55.221,"LINESTRING (-70.574327 41.454182, -70.573731 41.453965)",2,9.1,
629045926,Johns Way,residential,False,False,81.739,"LINESTRING (-70.574327 41.454182, -70.5743641 41.4541277, -70.5743265 41.4534542)",,,
9285547,Forest Hill Avenue,residential,False,False,47.341,"LINESTRING (-70.57001 41.451535, -70.569465 41.451415)",2,9.1,
9285594,Norris Avenue,residential,False,False,22.532,"LINESTRING (-70.57001 41.451535, -70.5699709 41.4517355)",2,9.1,
9285594,Norris Avenue,residential,False,True,114.799,"LINESTRING (-70.57001 41.451535, -70.570045 41.451381, -70.57014 41.45096, -70.570231 41.450516)",2,9.1,
9284634,Circuit Avenue,tertiary,False,False,7.816,"LINESTRING (-70.5631272 41.4494924, -70.5630777 41.4495521)",2,9.1,
9285217,Windy Hill Road,residential,False,True,140.108,"LINESTRING (-70.572582 41.451287, -70.57216 41.451185, -70.572073 41.451151, -70.572058 41.451111, -70.572151 41.450882, -70.572425 41.450432, -70.572467 41.45036)",,,
9284666,School Street,residential,False,True,191.287,"LINESTRING (-70.5627778 41.4547882, -70.5630421 41.4548409, -70.5634498 41.454904, -70.5639525 41.4549832, -70.5642916 41.4550353, -70.5648459 41.4551177, -70.5650229 41.4551445)",2,12.2,
519615321,Dukes County Avenue,residential,False,True,82.62899999999999,"LINESTRING (-70.5627778 41.4547882, -70.562946 41.454505, -70.563177 41.454108)",2,7.6,
9284933,Simpson Avenue,residential,False,True,51.016,"LINESTRING (-70.565517 41.457712, -70.56497 41.457506)",2,7.6,
9284933,Simpson Avenue,residential,False,False,71.318,"LINESTRING (-70.565517 41.457712, -70.566056 41.457932, -70.566277 41.458006)",2,7.6,
