osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,lanes
430876301,Colby Avenue,secondary,False,False,143.838,"LINESTRING (-122.2085165 47.9832642, -122.2085193 47.9831473, -122.2085222 47.9830244, -122.2085318 47.9826278, -122.2085405 47.9822695, -122.2085416 47.9822229, -122.2085446 47.9820991, -122.2085477 47.9819708)",,,
6129700,26th Street,residential,False,True,101.48899999999999,"LINESTRING (-122.2071531 47.9832493, -122.2075045 47.9832533, -122.2077553 47.983256, -122.2078357 47.9832569, -122.2083331 47.9832622, -122.2085165 47.9832642)",,,
6139269,Wetmore Avenue,tertiary,False,False,143.807,"LINESTRING (-122.2071531 47.9832493, -122.2071558 47.9830801, -122.2071565 47.9830388, -122.2071625 47.9828382, -122.2071739 47.9824028, -122.2071833 47.9820882, -122.2071826 47.9819562)",,,
6138746,Kromer Avenue,residential,False,True,189.887,"LINESTRING (-122.2186983 47.9748606, -122.2186849 47.9753129, -122.2186409 47.975936, -122.218637 47.9760644, -122.2186251 47.9763096, -122.2185359 47.9764541, -122.2184253 47.9765234)",,,
430856638,Wetmore Avenue,tertiary,False,False,142.173,"LINESTRING (-122.2072209 47.9806025, -122.2072215 47.9805131, -122.207232 47.9801325, -122.2072396 47.9799009, -122.207241 47.9798255, -122.2072477 47.9793977, -122.2072443 47.9793241)",,,2
430856638,Wetmore Avenue,tertiary,False,True,150.797,"LINESTRING (-122.2072209 47.9806025, -122.2072195 47.9807246, -122.2072068 47.9812327, -122.207205 47.98131, -122.2072028 47.9814077, -122.2071907 47.9816357, -122.2071692 47.981695, -122.2071666 47.9818404, -122.2071826 47.9819562)",,,2
951261482,California Street,tertiary,False,False,102.29599999999999,"LINESTRING (-122.2072209 47.9806025, -122.2073388 47.9806037, -122.2079013 47.9806082, -122.208477 47.9806148, -122.2085951 47.9806158)",,,
258148631,California Street,tertiary,False,False,104.248,"LINESTRING (-122.2085951 47.9806158, -122.2087496 47.9806174, -122.2093108 47.9806236, -122.2098552 47.9806296, -122.2099955 47.9806312)",,,
430856621,Colby Avenue,secondary,False,False,142.016,"LINESTRING (-122.2085951 47.9806158, -122.2085972 47.9805284, -122.20861 47.9799866, -122.2086144 47.9798089, -122.2086239 47.9794207, -122.2086212 47.9793388)",,,2
430856621,Colby Avenue,secondary,False,True,150.711,"LINESTRING (-122.2085951 47.9806158, -122.2085909 47.9807349, -122.20857 47.9813022, -122.2085515 47.9818633, -122.2085477 47.9819708)",,,2
951261482,California Street,tertiary,False,True,102.296,"LINESTRING (-122.2085951 47.9806158, -122.208477 47.9806148, -122.2079013 47.9806082, -122.2073388 47.9806037, -122.2072209 47.9806025)",,,
430876309,Pacific Avenue,tertiary,False,True,16.091,"LINESTRING (-122.2182197 47.9764787, -122.2184253 47.9765234)",,,
6133811,Gedney Street,residential,False,True,140.133,"LINESTRING (-122.2182197 47.9764787, -122.2182155 47.9766211, -122.2182091 47.9768354, -122.2181823 47.9777387)",,,
430876309,Pacific Avenue,tertiary,False,False,75.035,"LINESTRING (-122.2182197 47.9764787, -122.2180909 47.9764647, -122.2179611 47.9764623, -122.2172137 47.9764486)",,,
430876309,Pacific Avenue,tertiary,False,False,16.091,"LINESTRING (-122.2184253 47.9765234, -122.2182197 47.9764787)",,,
6138746,Kromer Avenue,residential,False,False,189.887,"LINESTRING (-122.2184253 47.9765234, -122.2185359 47.9764541, -122.2186251 47.9763096, -122.218637 47.9760644, -122.2186409 47.975936, -122.2186849 47.9753129, -122.2186983 47.9748606)",,,
6138746,Kromer Avenue,residential,False,True,188.70699999999997,"LINESTRING (-122.2184253 47.9765234, -122.2185433 47.9765731, -122.2187111 47.9766439, -122.2188315 47.9767161, -122.2189368 47.9767915, -122.2190112 47.9768723, -122.2190695 47.9769558, -122.2191284 47.9771253, -122.2191449 47.9772584, -122.2191501 47.9773005, -122.2191458 47.9774767, -122.2190982 47.977669, -122.2190065 47.9777745, -122.2188562 47.9778707, -122.2187815 47.9779458)",,,
6136957,Pacific Avenue,tertiary,False,False,125.81400000000002,"LINESTRING (-122.2158375 47.9764255, -122.2156945 47.9764244, -122.2150183 47.9764191, -122.2143888 47.9764203, -122.2141474 47.976423)",,,
1193893411,Pacific Avenue,tertiary,False,True,102.47899999999998,"LINESTRING (-122.2158375 47.9764255, -122.2159365 47.9764265, -122.216392 47.9764312, -122.2165161 47.9764325, -122.2170558 47.976445, -122.2172137 47.9764486)",,,
1193893413,Nassau Street,tertiary,False,False,147.62599999999998,"LINESTRING (-122.2158375 47.9764255, -122.215834 47.9765654, -122.2158265 47.9768625, -122.215806 47.9776776, -122.2158046 47.9777315, -122.2157981 47.9777525)",,,
6124573,Colby Avenue,secondary,False,False,145.56400000000002,"LINESTRING (-122.2085356 47.9765268, -122.2085311 47.9764157, -122.2085243 47.9762269, -122.2084883 47.9752181)",,,
264249260,Pacific Avenue,tertiary,False,True,105.541,"LINESTRING (-122.2085356 47.9765268, -122.2087418 47.9765229, -122.2090898 47.9765164, -122.2092533 47.9765134, -122.2097161 47.9765047, -122.2098128 47.9765029, -122.2099529 47.9765003)",,,
