osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry,tunnel
"[691106537, 15517914]",False,4,US 60 WB,primary,30 mph,True,149.034,Veterans Memorial Boulevard,"LINESTRING (-82.4495326 38.4221375, -82.4493478 38.4221823, -82.4493191 38.4221897, -82.4492577 38.4222061, -82.4491954 38.4222255, -82.4491387 38.422245, -82.4490807 38.4222671, -82.4489757 38.4223116, -82.4489271 38.4223349, -82.4487823 38.4224036, -82.4486254 38.4224803, -82.4483129 38.4226306, -82.4482117 38.4226773, -82.4481051 38.4227188, -82.4480178 38.4227482)",
"[50287548, 635730215]",False,2,,residential,25 mph,False,74.158,5th Street,"LINESTRING (-82.4495536 38.4155338, -82.4495258 38.415439, -82.4494377 38.4151244, -82.4493699 38.4148826)",
50287548,False,2,,residential,25 mph,True,151.991,5th Street,"LINESTRING (-82.4495536 38.4155338, -82.4495789 38.41562, -82.4497434 38.4161992, -82.4499036 38.416781, -82.4499287 38.4168687)",
615943345,False,2,,residential,25 mph,False,152.05700000000002,7th Avenue,"LINESTRING (-82.4495536 38.4155338, -82.4494498 38.4155518, -82.4490459 38.4156217, -82.4479656 38.4158086, -82.4478494 38.4158288)",
"[754942764, 50287533]",False,4,WV 527,primary,30 mph,True,151.985,8th Street,"LINESTRING (-82.4444423 38.4164217, -82.4444687 38.416515, -82.4446309 38.4170895, -82.4446984 38.4173315, -82.4447916 38.4176658, -82.4448166 38.4177567)",
"[615943345, 749960374]",False,"['3', '2']",,residential,25 mph,True,151.92700000000002,7th Avenue,"LINESTRING (-82.4444423 38.4164217, -82.4445591 38.4164009, -82.4448427 38.4163474, -82.4449494 38.4163278, -82.4451912 38.4162872, -82.4457056 38.4161975, -82.4460299 38.4161433, -82.4461441 38.4161239)",
"[749960376, 749960375]",False,"['4', '2']",,residential,25 mph,False,152.17899999999997,7th Avenue,"LINESTRING (-82.4444423 38.4164217, -82.444325 38.4164418, -82.4439335 38.4165097, -82.4428533 38.416697, -82.4427367 38.4167169)",
"[927260770, 615828259, 615828258, 338390416, 338390417]",False,4,WV 527,primary,30 mph,False,189.561,8th Street,"LINESTRING (-82.4444423 38.4164217, -82.4444262 38.4163649, -82.4444144 38.4163238, -82.4442388 38.4157105, -82.444146 38.4153822, -82.444 38.414852, -82.443996 38.4148373, -82.443974 38.4147569)",yes
548194356,False,2,,residential,25 mph,False,70.657,9th Street,"LINESTRING (-82.4427367 38.4167169, -82.4427099 38.4166175, -82.4426188 38.4162756, -82.442569 38.4160952)",
548194356,False,2,,residential,25 mph,True,152.43099999999998,9th Street,"LINESTRING (-82.4427367 38.4167169, -82.4427616 38.4168092, -82.442919 38.4173853, -82.4430057 38.4176863, -82.4430852 38.4179625, -82.4431121 38.4180558)",
749960376,False,2,,residential,25 mph,False,157.609,7th Avenue,"LINESTRING (-82.4427367 38.4167169, -82.4426151 38.4167384, -82.4411448 38.4169984, -82.440972 38.4170288)",
"[749960376, 749960375]",False,"['4', '2']",,residential,25 mph,True,152.17900000000003,7th Avenue,"LINESTRING (-82.4427367 38.4167169, -82.4428533 38.416697, -82.4439335 38.4165097, -82.444325 38.4164418, -82.4444423 38.4164217)",
15520671,False,4,,residential,25 mph,True,152.89100000000002,10th Street,"LINESTRING (-82.440972 38.4170288, -82.4410045 38.4170633, -82.441034 38.4171064, -82.441038 38.4171148, -82.4410589 38.4171605, -82.441075 38.4172099, -82.4411065 38.4173087, -82.4412174 38.4176849, -82.4413813 38.4182582, -82.4414081 38.4183552)",
"[615943344, 371284963, 240659453]",False,2,,unclassified,25 mph,False,192.20100000000002,10th Street,"LINESTRING (-82.440972 38.4170288, -82.4409335 38.416993, -82.4409013 38.4169546, -82.4408868 38.4169328, -82.4408732 38.4169125, -82.4408423 38.4168505, -82.4408115 38.4167728, -82.4406889 38.4163195, -82.4405627 38.4158806, -82.4404762 38.4155828, -82.4404688 38.4155255, -82.4404715 38.4154677, -82.4404847 38.415362)",yes
749960376,False,2,,residential,25 mph,True,157.609,7th Avenue,"LINESTRING (-82.440972 38.4170288, -82.4411448 38.4169984, -82.4426151 38.4167384, -82.4427367 38.4167169)",
15518502,False,4,,residential,25 mph,False,155.40300000000002,11th Street,"LINESTRING (-82.4404714 38.4213808, -82.4404498 38.4213044, -82.440281 38.4207079, -82.4402433 38.4205761, -82.4401684 38.4203078, -82.4401112 38.4201078, -82.440085 38.4200164)",
"[15518502, 749961983]",False,4,,residential,25 mph,True,129.767,11th Street,"LINESTRING (-82.4404714 38.4213808, -82.4404962 38.4214675, -82.4406333 38.4219478, -82.44067 38.4220767, -82.4407149 38.4222338, -82.4407701 38.4224271, -82.4407965 38.4225197)",
"[50287525, 750593838]",False,3,,unclassified,25 mph,True,152.092,4th Avenue,"LINESTRING (-82.4404714 38.4213808, -82.4405665 38.4213633, -82.4410152 38.4212808, -82.4411721 38.4212535, -82.4413773 38.4212186, -82.4420284 38.421108, -82.4421753 38.421083)",
15520615,False,3,,primary,35 mph,False,152.98999999999998,4th Avenue,"LINESTRING (-82.4506983 38.4196032, -82.4506361 38.4196135, -82.450497 38.4196371, -82.4494143 38.4198207, -82.4491004 38.419874, -82.4489819 38.4198941)",
50287554,True,2,WV 527,primary,35 mph,False,155.481,5th Street,"LINESTRING (-82.4506983 38.4196032, -82.4506735 38.4195149, -82.4506476 38.4194224, -82.4506157 38.4193087, -82.4505094 38.4189294, -82.4503473 38.4183515, -82.4503153 38.4182375)",
"[50287548, 635730215]",False,2,,residential,25 mph,True,74.158,5th Street,"LINESTRING (-82.4493699 38.4148826, -82.4494377 38.4151244, -82.4495258 38.415439, -82.4495536 38.4155338)",
750330178,False,3,,unclassified,25 mph,False,12.047,4th Avenue,"LINESTRING (-82.4439499 38.4207783, -82.4438148 38.4208014)",
548194357,True,1,,unclassified,25 mph,False,145.385,9th Street,"LINESTRING (-82.4439499 38.4207783, -82.4439225 38.4206801, -82.443762 38.4201094, -82.4436405 38.4196937, -82.4436211 38.419656, -82.4435855 38.4196026, -82.4435435 38.4195527, -82.4435186 38.4195231)",
"[750330179, 614120910]",False,3,,unclassified,25 mph,True,146.362,4th Avenue,"LINESTRING (-82.4439499 38.4207783, -82.4440729 38.4207573, -82.4441036 38.420752, -82.4447746 38.4206351, -82.4453146 38.420541, -82.4454396 38.4205192, -82.4455891 38.42049)",
548194356,False,2,,residential,25 mph,True,70.657,9th Street,"LINESTRING (-82.442569 38.4160952, -82.4426188 38.4162756, -82.4427099 38.4166175, -82.4427367 38.4167169)",
"[699946388, 615943343]",False,"['3', '2']",,tertiary,30 mph,False,152.529,8th Avenue,"LINESTRING (-82.4422646 38.4150531, -82.4423863 38.415032, -82.4435204 38.4148355, -82.443849 38.4147786, -82.4438605 38.4147766, -82.443974 38.4147569)",
615943343,False,2,,tertiary,30 mph,True,158.831,8th Avenue,"LINESTRING (-82.4422646 38.4150531, -82.4421516 38.4150727, -82.4406816 38.4153278, -82.4404847 38.415362)",
"[754942766, 180210518]",False,4,,secondary,30 mph,True,155.148,8th Street,"LINESTRING (-82.4455891 38.42049, -82.4455638 38.4203986, -82.4453963 38.4198156, -82.4453936 38.4198055, -82.4453224 38.4195442, -82.4452412 38.4192463, -82.4452072 38.4191272)",
"[549204952, 754942767]",False,4,,secondary,30 mph,False,132.149,8th Street,"LINESTRING (-82.4455891 38.42049, -82.4456214 38.4206072, -82.4457159 38.4209332, -82.4457526 38.4210543, -82.4457829 38.421167, -82.4458033 38.4212429, -82.4458182 38.4212983, -82.4458775 38.421519, -82.4458835 38.4215515, -82.4458902 38.4215878, -82.4458978 38.4216529)",
"[750330179, 614120910]",False,3,,unclassified,25 mph,False,146.36200000000002,4th Avenue,"LINESTRING (-82.4455891 38.42049, -82.4454396 38.4205192, -82.4453146 38.420541, -82.4447746 38.4206351, -82.4441036 38.420752, -82.4440729 38.4207573, -82.4439499 38.4207783)",
"[547793600, 754946201, 827623951]",False,4,,unclassified,25 mph,True,151.833,4th Avenue,"LINESTRING (-82.4455891 38.42049, -82.4457167 38.4204651, -82.446213 38.4203786, -82.4470711 38.4202292, -82.4471771 38.4202107, -82.4472899 38.4201921)",
15520671,False,4,,residential,25 mph,False,155.709,10th Street,"LINESTRING (-82.4421753 38.421083, -82.4421442 38.4209721, -82.4419889 38.4204173, -82.4419447 38.420262, -82.4418125 38.419818, -82.4417833 38.4197168)",
15520671,False,4,,residential,25 mph,True,129.75600000000003,10th Street,"LINESTRING (-82.4421753 38.421083, -82.4422089 38.421201, -82.4423363 38.4216482, -82.4424617 38.4221063, -82.4424676 38.4221316, -82.4424758 38.4221667, -82.4424872 38.4222239)",
"[750330180, 750330181]",False,3,,unclassified,25 mph,True,146.222,4th Avenue,"LINESTRING (-82.4421753 38.421083, -82.4423247 38.4210565, -82.4429278 38.4209533, -82.4432311 38.4209013, -82.4433749 38.4208767, -82.4436646 38.4208271, -82.4436951 38.4208219, -82.4438148 38.4208014)",
"[50287525, 750593838]",False,3,,unclassified,25 mph,False,152.09199999999998,4th Avenue,"LINESTRING (-82.4421753 38.421083, -82.4420284 38.421108, -82.4413773 38.4212186, -82.4411721 38.4212535, -82.4410152 38.4212808, -82.4405665 38.4213633, -82.4404714 38.4213808)",
615943343,False,2,,tertiary,30 mph,False,158.831,8th Avenue,"LINESTRING (-82.4404847 38.415362, -82.4406816 38.4153278, -82.4421516 38.4150727, -82.4422646 38.4150531)",
"[615943344, 371284963, 240659453]",False,2,,unclassified,25 mph,True,192.20100000000002,10th Street,"LINESTRING (-82.4404847 38.415362, -82.4404715 38.4154677, -82.4404688 38.4155255, -82.4404762 38.4155828, -82.4405627 38.4158806, -82.4406889 38.4163195, -82.4408115 38.4167728, -82.4408423 38.4168505, -82.4408732 38.4169125, -82.4408868 38.4169328, -82.4409013 38.4169546, -82.4409335 38.416993, -82.440972 38.4170288)",yes
"[615828258, 615828259, 927260770, 338390416, 338390417]",False,4,WV 527,primary,30 mph,True,189.561,8th Street,"LINESTRING (-82.443974 38.4147569, -82.443996 38.4148373, -82.444 38.414852, -82.444146 38.4153822, -82.4442388 38.4157105, -82.4444144 38.4163238, -82.4444262 38.4163649, -82.4444423 38.4164217)",yes
"[699946388, 615943343]",False,"['3', '2']",,tertiary,30 mph,True,152.529,8th Avenue,"LINESTRING (-82.443974 38.4147569, -82.4438605 38.4147766, -82.443849 38.4147786, -82.4435204 38.4148355, -82.4423863 38.415032, -82.4422646 38.4150531)",
240684773,True,1,,residential,25 mph,False,148.282,Pullman Square,"LINESTRING (-82.4431108 38.4221187, -82.443142 38.4222314, -82.4432222 38.4225209, -82.4432305 38.422551, -82.443254 38.4225769, -82.4432929 38.4225931, -82.4433367 38.4225942, -82.4442189 38.4224414, -82.444322 38.4224236)",
749961976,False,3,,unclassified,25 mph,False,55.571,3rd Avenue,"LINESTRING (-82.4431108 38.4221187, -82.4426158 38.4222022, -82.4424872 38.4222239)",
"[749961976, 749961975]",False,3,,unclassified,25 mph,True,96.04100000000001,3rd Avenue,"LINESTRING (-82.4431108 38.4221187, -82.4436364 38.4220281, -82.4440907 38.4219498, -82.4441875 38.4219331)",
15519781,False,2,,unclassified,25 mph,False,55.786,9th Street,"LINESTRING (-82.444322 38.4224236, -82.4443023 38.4223516, -82.4442118 38.4220217, -82.4441875 38.4219331)",
15519781,False,2,,unclassified,25 mph,True,113.824,9th Street,"LINESTRING (-82.444322 38.4224236, -82.4443479 38.4225102, -82.444386 38.4226376, -82.4444834 38.4229907, -82.444574 38.423319, -82.4446028 38.4234233)",
15519781,False,2,,unclassified,25 mph,True,26.426000000000002,9th Street,"LINESTRING (-82.4441206 38.4217013, -82.4441564 38.4218233, -82.4441875 38.4219331)",
548194357,True,1,,unclassified,25 mph,False,105.12,9th Street,"LINESTRING (-82.4441206 38.4217013, -82.4441488 38.4216203, -82.4441609 38.4215741, -82.4441642 38.4215379, -82.4441075 38.421334, -82.4439846 38.4209041, -82.4439773 38.4208777, -82.4439499 38.4207783)",
548194356,False,2,,residential,25 mph,False,11.45,9th Street,"LINESTRING (-82.4435186 38.4195231, -82.4434943 38.4194219)",
548194358,True,1,,unclassified,25 mph,False,145.46300000000002,9th Street,"LINESTRING (-82.4435186 38.4195231, -82.4435111 38.4195585, -82.4434996 38.419613, -82.4434938 38.4197063, -82.4436242 38.4201327, -82.4437795 38.4206777, -82.4437866 38.4207027, -82.4438148 38.4208014)",
750330178,False,3,,unclassified,25 mph,True,12.047,4th Avenue,"LINESTRING (-82.4438148 38.4208014, -82.4439499 38.4207783)",
548194358,True,1,,unclassified,25 mph,False,104.15700000000001,9th Street,"LINESTRING (-82.4438148 38.4208014, -82.4438424 38.4209002, -82.4439705 38.4213574, -82.4440301 38.4215652, -82.4440462 38.4216051, -82.4440683 38.4216393, -82.4441206 38.4217013)",
"[750330180, 750330181]",False,3,,unclassified,25 mph,False,146.222,4th Avenue,"LINESTRING (-82.4438148 38.4208014, -82.4436951 38.4208219, -82.4436646 38.4208271, -82.4433749 38.4208767, -82.4432311 38.4209013, -82.4429278 38.4209533, -82.4423247 38.4210565, -82.4421753 38.421083)",
