osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed
441111212,Moravian Drive,tertiary,False,False,10.195,"LINESTRING (-82.917611 42.584345, -82.9175432 42.5844219)",2,45 mph
441111212,Moravian Drive,tertiary,False,True,26.387,"LINESTRING (-82.917611 42.584345, -82.9177872 42.5841463)",2,45 mph
8689053,Palm Meadow Drive,residential,False,False,8.8,"LINESTRING (-82.91606 42.583483, -82.9161114 42.5834135)",2,
8689053,Palm Meadow Drive,residential,False,True,10.689,"LINESTRING (-82.91606 42.583483, -82.9159912 42.5835647)",2,
8689053,Palm Meadow Drive,residential,False,True,8.8,"LINESTRING (-82.9161114 42.5834135, -82.91606 42.583483)",2,
8672068,Majestic Boulevard,residential,False,False,82.059,"LINESTRING (-82.9161114 42.5834135, -82.9157554 42.5832355, -82.9156224 42.5831605, -82.9155744 42.5831265, -82.9155384 42.5830925, -82.9154794 42.5830255, -82.9154044 42.5829125)",2,
8689053,Palm Meadow Drive,residential,False,False,100.2,"LINESTRING (-82.9161114 42.5834135, -82.916395 42.583095, -82.91651 42.58298, -82.916605 42.582902, -82.916868 42.58271)",2,
8673944,North Riverhill Drive,residential,False,False,80.387,"LINESTRING (-82.9183297 42.588706, -82.917348 42.58869)",,
8673944,North Riverhill Drive,residential,False,True,80.387,"LINESTRING (-82.917348 42.58869, -82.9183297 42.588706)",,
8673944,North Riverhill Drive,residential,False,False,141.301,"LINESTRING (-82.917348 42.58869, -82.916566 42.588703, -82.91644 42.5887, -82.916383 42.588689, -82.916335 42.588667, -82.916316 42.588651, -82.916294 42.58862, -82.916281 42.588578, -82.916295 42.588483, -82.916393 42.588169)",,
8682490,Cypress Street,residential,False,False,102.97099999999999,"LINESTRING (-82.917348 42.58869, -82.917338 42.589079, -82.917316 42.589298, -82.917271 42.589514, -82.917239 42.58961)",,
8673945,North Riverhill Drive,residential,False,False,160.587,"LINESTRING (-82.916393 42.588169, -82.9144701 42.5878836)",,
8673944,North Riverhill Drive,residential,False,True,141.301,"LINESTRING (-82.916393 42.588169, -82.916295 42.588483, -82.916281 42.588578, -82.916294 42.58862, -82.916316 42.588651, -82.916335 42.588667, -82.916383 42.588689, -82.91644 42.5887, -82.916566 42.588703, -82.917348 42.58869)",,
8684269,South Riverhill Drive,residential,False,True,274.899,"LINESTRING (-82.916393 42.588169, -82.916454 42.588043, -82.916499 42.587963, -82.916563 42.587888, -82.916606 42.587847, -82.916657 42.587809, -82.916713 42.587778, -82.916784 42.587746, -82.916931 42.587703, -82.917039 42.587689, -82.917201 42.587678, -82.917587 42.58766, -82.917955 42.587648, -82.918296 42.58765, -82.918529 42.587664, -82.918646 42.587678, -82.918969 42.587736, -82.919251 42.587798, -82.919384 42.58782)",,
8673945,North Riverhill Drive,residential,False,True,160.587,"LINESTRING (-82.9144701 42.5878836, -82.916393 42.588169)",,
441111211,Moravian Drive,tertiary,False,False,65.46,"LINESTRING (-82.9144701 42.5878836, -82.9140354 42.5883777)",3,
441111212,Moravian Drive,tertiary,False,True,164.89499999999998,"LINESTRING (-82.9144701 42.5878836, -82.9149795 42.5873373, -82.9150145 42.5872997, -82.9151953 42.5871058, -82.9153998 42.5868865, -82.9154102 42.5868753, -82.91561 42.586661)",2,45 mph
8675006,White Oaks Drive,residential,False,True,90.646,"LINESTRING (-82.91836 42.586104, -82.919463 42.586175)",,
8685992,Scarlet Court,residential,False,False,70.985,"LINESTRING (-82.91836 42.586104, -82.91832 42.5867417)",,
