osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge
111657821,CR 13,4th Avenue,tertiary,False,False,128.119,"LINESTRING (-95.1177453 43.8688527, -95.1177475 43.8700049)",,,
111657820,CR 13,12th Street,tertiary,False,True,111.895,"LINESTRING (-95.1177453 43.8688527, -95.1170621 43.8688565, -95.1163495 43.8688605)",,,
111657824,,12th Street,tertiary,False,False,112.19,"LINESTRING (-95.1177453 43.8688527, -95.1178528 43.868853, -95.1184432 43.8688547, -95.119006 43.8688563, -95.1191448 43.8688567)",,,
549079578,,4th Avenue,tertiary,False,True,127.13300000000001,"LINESTRING (-95.1177453 43.8688527, -95.1177496 43.8684469, -95.1177532 43.8681143, -95.1177575 43.8677094)",,,
111657821,CR 13,4th Avenue,tertiary,False,True,128.119,"LINESTRING (-95.1177475 43.8700049, -95.1177453 43.8688527)",,,
18053517,CR 13,County Road 13,tertiary,False,False,112.31500000000001,"LINESTRING (-95.1177475 43.8700049, -95.1178391 43.870005, -95.1184432 43.8700054, -95.1190009 43.8700059, -95.1191486 43.870006)",,,
18053644,,13th Street,residential,False,True,112.019,"LINESTRING (-95.1177475 43.8700049, -95.1170489 43.8700034, -95.1163501 43.8700019)",,,
18053498,,10th Street,tertiary,False,False,109.492,"LINESTRING (-95.1119659 43.8665567, -95.1133317 43.8665549)",,,
18053924,,Miller Avenue,residential,False,False,127.586,"LINESTRING (-95.1119659 43.8665567, -95.1119708 43.8677041)",,,
18053924,,Miller Avenue,residential,False,True,125.719,"LINESTRING (-95.1119659 43.8665567, -95.1119569 43.8654261)",,,
18053498,,10th Street,tertiary,False,True,109.492,"LINESTRING (-95.1133317 43.8665549, -95.1119659 43.8665567)",,,
18053515,,Hale Place,residential,False,False,128.593,"LINESTRING (-95.1133317 43.8665549, -95.1132977 43.8677111)",,,
18053515,,Hale Place,residential,False,True,124.751,"LINESTRING (-95.1133317 43.8665549, -95.1133246 43.865433)",,,
18053498,,10th Street,tertiary,False,False,63.117000000000004,"LINESTRING (-95.1133317 43.8665549, -95.1136355 43.8665571, -95.114119 43.8665571)",,,
18053498,,10th Street,tertiary,False,False,66.603,"LINESTRING (-95.114119 43.8665571, -95.1149498 43.8665554)",,,
18054060,,1st Avenue North,residential,False,True,125.612,"LINESTRING (-95.114119 43.8665571, -95.114134 43.8654275)",,,
18053498,,10th Street,tertiary,False,True,63.117000000000004,"LINESTRING (-95.114119 43.8665571, -95.1136355 43.8665571, -95.1133317 43.8665549)",,,
18054060,,1st Avenue North,residential,False,False,255.629,"LINESTRING (-95.114119 43.8665571, -95.114087 43.867731, -95.114108 43.8688557)",,,
18053498,,10th Street,tertiary,False,True,66.603,"LINESTRING (-95.1149498 43.8665554, -95.114119 43.8665571)",,,
18053805,US 71;MN 60,2nd Avenue North,trunk,False,True,126.734,"LINESTRING (-95.1149498 43.8665554, -95.1149641 43.8654157)",4,30 mph,
18053498,,10th Street,tertiary,False,False,113.293,"LINESTRING (-95.1149498 43.8665554, -95.1157023 43.8665537, -95.116363 43.866551)",,,
18053805,US 71;MN 60,2nd Avenue North,trunk,False,False,127.93,"LINESTRING (-95.1149498 43.8665554, -95.1149498 43.867128, -95.1149497 43.867639, -95.1149497 43.8677059)",4,30 mph,
18053498,,10th Street,tertiary,False,False,111.585,"LINESTRING (-95.116363 43.866551, -95.1175893 43.8665499, -95.1177549 43.8665498)",,,
18053498,,10th Street,tertiary,False,True,113.293,"LINESTRING (-95.116363 43.866551, -95.1157023 43.8665537, -95.1149498 43.8665554)",,,
"[1157576773, 1157576774, 18053767]",,3rd Avenue,residential,False,False,128.859,"LINESTRING (-95.116363 43.866551, -95.1163628 43.86662, -95.1163626 43.8666829, -95.1163612 43.867128, -95.1163148 43.8677089)",,,yes
18053767,,3rd Avenue,residential,False,True,125.887,"LINESTRING (-95.116363 43.866551, -95.116354 43.8655272, -95.1163531 43.8654189)",,,
18053498,,10th Street,tertiary,False,False,117.928,"LINESTRING (-95.1191525 43.8665616, -95.1192559 43.8665611, -95.1202194 43.866556, -95.1206235 43.8665539)",,,
18053498,,10th Street,tertiary,False,True,112.049,"LINESTRING (-95.1191525 43.8665616, -95.1190139 43.8665604, -95.1183762 43.866555, -95.1178504 43.8665506, -95.1177549 43.8665498)",,,
18053775,,5th Avenue,residential,False,False,128.132,"LINESTRING (-95.1191525 43.8665616, -95.1191529 43.8666541, -95.1191549 43.867128, -95.1191574 43.8677139)",,30 mph,
18053775,,5th Avenue,residential,False,True,128.922,"LINESTRING (-95.1191525 43.8665616, -95.119153 43.8664892, -95.1191608 43.8654022)",,30 mph,
18053498,,10th Street,tertiary,False,True,117.928,"LINESTRING (-95.1206235 43.8665539, -95.1202194 43.866556, -95.1192559 43.8665611, -95.1191525 43.8665616)",,,
18053728,,6th Avenue,tertiary,False,False,128.119,"LINESTRING (-95.1206235 43.8665539, -95.1206231 43.8666563, -95.1206186 43.8677061)",,,
18053515,,Hale Place,residential,False,False,67.75,"LINESTRING (-95.1133156 43.8636514, -95.1133008 43.8642606)",,,
18053515,,Hale Place,residential,False,False,124.751,"LINESTRING (-95.1133246 43.865433, -95.1133317 43.8665549)",,,
18053515,,Hale Place,residential,False,True,130.379,"LINESTRING (-95.1133246 43.865433, -95.1133008 43.8642606)",,,
18053840,,9th Street,residential,False,True,109.649,"LINESTRING (-95.1133246 43.865433, -95.1119569 43.8654261)",,,
18053840,,9th Street,residential,False,False,64.89099999999999,"LINESTRING (-95.1133246 43.865433, -95.1136229 43.8654315, -95.114134 43.8654275)",,,
18053515,,Hale Place,residential,False,False,126.874,"LINESTRING (-95.1132977 43.8677111, -95.1133189 43.868852)",,,
18053515,,Hale Place,residential,False,True,128.593,"LINESTRING (-95.1132977 43.8677111, -95.1133317 43.8665549)",,,
174867096,,11th Street,residential,False,False,106.374,"LINESTRING (-95.1132977 43.8677111, -95.1119708 43.8677041)",,,
18053515,,Hale Place,residential,False,False,79.174,"LINESTRING (-95.1133189 43.868852, -95.1133 43.8695639)",,,
18053515,,Hale Place,residential,False,True,126.874,"LINESTRING (-95.1133189 43.868852, -95.1132977 43.8677111)",,,
111657820,CR 13,12th Street,tertiary,False,True,107.107,"LINESTRING (-95.1133189 43.868852, -95.1119828 43.868853)",,,
111657820,CR 13,12th Street,tertiary,False,False,63.259,"LINESTRING (-95.1133189 43.868852, -95.1136194 43.8688543, -95.114108 43.8688557)",,,
18053515,,Hale Place,residential,False,True,79.174,"LINESTRING (-95.1133 43.8695639, -95.1133189 43.868852)",,,
18053517,CR 13,County Road 13,tertiary,False,True,127.698,"LINESTRING (-95.122202 43.8700082, -95.1214259 43.8700076, -95.1206965 43.8700071, -95.120609 43.870007)",,,
18053685,,7th Avenue,residential,False,True,106.35,"LINESTRING (-95.122202 43.8700082, -95.1222065 43.869599, -95.1222126 43.8690518)",,,
18053517,CR 13,County Road 13,tertiary,False,False,127.698,"LINESTRING (-95.120609 43.870007, -95.1206965 43.8700071, -95.1214259 43.8700076, -95.122202 43.8700082)",,,
18053517,CR 13,County Road 13,tertiary,False,True,117.07,"LINESTRING (-95.120609 43.870007, -95.1204638 43.8700069, -95.1198418 43.8700065, -95.1192505 43.8700061, -95.1191486 43.870006)",,,
18053728,,6th Avenue,tertiary,False,True,105.424,"LINESTRING (-95.120609 43.870007, -95.1206107 43.8695894, -95.1206129 43.8690589)",,,
18053644,,13th Street,residential,False,False,65.958,"LINESTRING (-95.1141209 43.8699982, -95.1149437 43.8700005)",,,
