osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,access
20130453,,Utica Street,residential,False,True,133.807,"LINESTRING (-77.9425542 43.2128864, -77.9425317 43.2129622, -77.9422286 43.2139805, -77.9422042 43.2140624)",,,
20131718,,Monroe Avenue,tertiary,False,False,113.3,"LINESTRING (-77.9425542 43.2128864, -77.9426367 43.212893, -77.943944 43.212997)",,,
20131718,,Monroe Avenue,tertiary,False,True,258.13599999999997,"LINESTRING (-77.9425542 43.2128864, -77.942468 43.2128789, -77.9404603 43.212705, -77.9401815 43.2126809, -77.9393912 43.2126124)",,,
20130453,,Utica Street,residential,False,False,206.97,"LINESTRING (-77.9428542 43.2119004, -77.9428575 43.2118026, -77.942858 43.2117849, -77.9428857 43.2109539, -77.9428936 43.2106396, -77.9428952 43.2100394)",,,
20130453,,Utica Street,residential,False,True,112.30099999999999,"LINESTRING (-77.9428542 43.2119004, -77.9428345 43.2119652, -77.9425786 43.212806, -77.9425671 43.212844, -77.9425542 43.2128864)",,,
20139081,,College Street,residential,False,True,261.734,"LINESTRING (-77.9428542 43.2119004, -77.9427633 43.2118991, -77.9404743 43.2118667, -77.9402553 43.2118634, -77.9397455 43.2118561, -77.9396252 43.2118544)",,,
20130453,,Utica Street,residential,False,True,206.97000000000003,"LINESTRING (-77.9428952 43.2100394, -77.9428936 43.2106396, -77.9428857 43.2109539, -77.942858 43.2117849, -77.9428575 43.2118026, -77.9428542 43.2119004)",,,
20130804,,Burroughs Terrace,residential,False,True,65.175,"LINESTRING (-77.9368612 43.2100234, -77.9369693 43.2094828, -77.9369772 43.2094434)",,,
106457135,NY 19,Main Street,secondary,False,False,28.852,"LINESTRING (-77.9393912 43.2126124, -77.9394702 43.2123594)",,,
20131718,,Monroe Avenue,tertiary,False,False,258.136,"LINESTRING (-77.9393912 43.2126124, -77.9401815 43.2126809, -77.9404603 43.212705, -77.942468 43.2128789, -77.9425542 43.2128864)",,,
960056340,NY 19,Main Street,secondary,False,True,80.34400000000001,"LINESTRING (-77.9393912 43.2126124, -77.9392578 43.2130586, -77.9391911 43.213282, -77.9391802 43.2133184)",,,
20138363,,King Street,residential,True,False,54.218,"LINESTRING (-77.9385892 43.2152934, -77.9387147 43.215307, -77.939251 43.215365)",,,
960056340,NY 19,Main Street,secondary,False,False,91.87,"LINESTRING (-77.9385892 43.2152934, -77.9388029 43.2145836, -77.9388322 43.2144864)",,,
960056340,NY 19,Main Street,secondary,False,True,31.401000000000003,"LINESTRING (-77.9385892 43.2152934, -77.938542 43.2154521, -77.9385072 43.2155694)",,,
106457135,NY 19,Main Street,secondary,False,True,57.541,"LINESTRING (-77.9396252 43.2118544, -77.9394702 43.2123594)",,,
20139081,,College Street,residential,False,False,261.734,"LINESTRING (-77.9396252 43.2118544, -77.9397455 43.2118561, -77.9402553 43.2118634, -77.9404743 43.2118667, -77.9427633 43.2118991, -77.9428542 43.2119004)",,,
106457135,NY 19,Main Street,secondary,False,False,292.431,"LINESTRING (-77.9396252 43.2118544, -77.9397164 43.2115573, -77.9397677 43.2113901, -77.9399302 43.2108606, -77.9399692 43.2107336, -77.9400282 43.2105414, -77.9400841 43.2103603, -77.9401509 43.210144, -77.9402084 43.2099251, -77.9403328 43.2095391, -77.9404001 43.2092861)",,,
20138363,,King Street,residential,True,False,58.4,"LINESTRING (-77.939251 43.215365, -77.9394916 43.2153955, -77.9397369 43.2154266, -77.93983 43.2154384, -77.939961 43.215455)",,,
1006814811,,Clinton Street,residential,False,False,5.759,"LINESTRING (-77.9402849 43.2163945, -77.940354 43.2164066)",,,
1006814811,,Clinton Street,residential,False,True,46.833,"LINESTRING (-77.9402849 43.2163945, -77.939723 43.216296)",,,
20141456,,Merchants Street,residential,False,False,131.46,"LINESTRING (-77.9402849 43.2163945, -77.9402706 43.2164386, -77.9402451 43.2165169, -77.940173 43.2165629, -77.9401054 43.2165846, -77.939999 43.2166082, -77.9398087 43.2166291, -77.9395223 43.2166114, -77.9393047 43.2165953, -77.939204 43.2165951, -77.9390857 43.2165948, -77.938838 43.216625)",,,
20141456,,Merchants Street,residential,False,True,131.46,"LINESTRING (-77.938838 43.216625, -77.9390857 43.2165948, -77.939204 43.2165951, -77.9393047 43.2165953, -77.9395223 43.2166114, -77.9398087 43.2166291, -77.939999 43.2166082, -77.9401054 43.2165846, -77.940173 43.2165629, -77.9402451 43.2165169, -77.9402706 43.2164386, -77.9402849 43.2163945)",,,
98830851,NY 19,North Main Street,secondary,False,False,26.99,"LINESTRING (-77.9378803 43.2176039, -77.937809 43.217841)",,,
"[20120752, 98830851, 20135268, 98830787]",NY 19,"['Main Street', 'North Main Street']",secondary,False,"[False, True]",175.516,"LINESTRING (-77.9378803 43.2176039, -77.938051 43.217036, -77.9380766 43.2169561, -77.9381 43.2168847, -77.9381474 43.2167176, -77.9382007 43.2165264, -77.9382126 43.2164875, -77.9383408 43.2160616)",,movable,no
690004220,,,residential,False,False,194.99900000000002,"LINESTRING (-77.9378803 43.2176039, -77.9366856 43.2176146, -77.9364359 43.2176168, -77.9361872 43.217619, -77.9361872 43.2173741, -77.9361872 43.2173039, -77.9361872 43.2170993)",,,
690004220,,,residential,False,True,194.99900000000002,"LINESTRING (-77.9361872 43.2170993, -77.9361872 43.2173039, -77.9361872 43.2173741, -77.9361872 43.217619, -77.9364359 43.2176168, -77.9366856 43.2176146, -77.9378803 43.2176039)",,,
20127802,,Lyman Street,residential,False,True,6.062,"LINESTRING (-77.9351302 43.2157011, -77.935205 43.215701)",,,
