osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
21380464,Avenue K,residential,False,True,111.02799999999999,"LINESTRING (-102.8235872 33.1858283, -102.823587 33.1863002, -102.8235875 33.1868268)",,,
21387155,13th Street,residential,False,True,102.348,"LINESTRING (-102.8235872 33.1858283, -102.8229932 33.1858255, -102.8224874 33.1858231)",,,
21380486,Avenue L,residential,False,False,75.32,"LINESTRING (-102.8224761 33.1851458, -102.8224857 33.1857189, -102.8224874 33.1858231)",,,
21380486,Avenue L,residential,False,False,51.039,"LINESTRING (-102.8224874 33.1858231, -102.8224812 33.1861275, -102.8223964 33.1862648)",,,
21380486,Avenue L,residential,False,True,75.32,"LINESTRING (-102.8224874 33.1858231, -102.8224857 33.1857189, -102.8224761 33.1851458)",,,
21387155,13th Street,residential,False,False,102.348,"LINESTRING (-102.8224874 33.1858231, -102.8229932 33.1858255, -102.8235872 33.1858283)",,,
117987580,Cowboy Way,primary,False,False,45.378,"LINESTRING (-102.8219756 33.1860586, -102.8223964 33.1862648)",4,US 82;US 380,55 mph
21387979,Beanes Place,residential,False,False,98.19200000000001,"LINESTRING (-102.8219756 33.1860586, -102.8219378 33.1862034, -102.8219272 33.1865508, -102.8219154 33.186938)",,,
21387679,11th Street,residential,False,False,96.743,"LINESTRING (-102.8225348 33.1877988, -102.8235744 33.1877949)",,,
21380488,Avenue L,residential,False,False,102.582,"LINESTRING (-102.8225348 33.1877988, -102.8225395 33.188247, -102.8225398 33.1882768, -102.8225445 33.1887213)",,,
"[21380488, 21387979]","['Avenue L', 'Beanes Place']",residential,False,True,126.259,"LINESTRING (-102.8225348 33.1877988, -102.8225304 33.1873919, -102.8225296 33.1873208, -102.8223987 33.187156, -102.8221348 33.1870424, -102.8219154 33.186938)",,,
21380488,Avenue L,residential,False,False,105.817,"LINESTRING (-102.8225445 33.1887213, -102.8225546 33.1896729)",,,
21380488,Avenue L,residential,False,True,102.582,"LINESTRING (-102.8225445 33.1887213, -102.8225398 33.1882768, -102.8225395 33.188247, -102.8225348 33.1877988)",,,
"[21380464, 21384579]","['10th Street', 'Avenue K']",residential,False,"[False, True]",199.109,"LINESTRING (-102.8225445 33.1887213, -102.8235927 33.1887081, -102.8235833 33.1882405, -102.8235744 33.1877949)",,,
21380488,Avenue L,residential,False,False,107.886,"LINESTRING (-102.8225546 33.1896729, -102.8225649 33.1906431)",,,
21380488,Avenue L,residential,False,True,105.817,"LINESTRING (-102.8225546 33.1896729, -102.8225445 33.1887213)",,,
1229551029,9th Street,residential,False,True,257.591,"LINESTRING (-102.8225546 33.1896729, -102.8253227 33.1896579)",,,
21380488,Avenue L,residential,False,True,107.886,"LINESTRING (-102.8225649 33.1906431, -102.8225546 33.1896729)",,,
21386881,8th Street,tertiary,False,False,308.801,"LINESTRING (-102.8225649 33.1906431, -102.8235771 33.1906443, -102.8246632 33.1906473, -102.8258834 33.1906507)",,,
21380496,5th Street,residential,False,False,213.173,"LINESTRING (-102.8281595 33.1934196, -102.8304504 33.1934288)",,,
21388233,Avenue G,tertiary,False,True,109.284,"LINESTRING (-102.8281595 33.1934196, -102.8281537 33.1924368)",,,
21380496,5th Street,residential,False,False,109.711,"LINESTRING (-102.8304504 33.1934288, -102.8316294 33.1934373)",,,
21380496,5th Street,residential,False,True,213.173,"LINESTRING (-102.8304504 33.1934288, -102.8281595 33.1934196)",,,
21388154,Avenue E,residential,False,True,109.617,"LINESTRING (-102.8304504 33.1934288, -102.8304494 33.193221, -102.8304503 33.192554, -102.8304503 33.192443)",,,
21380496,5th Street,residential,False,True,109.711,"LINESTRING (-102.8316294 33.1934373, -102.8304504 33.1934288)",,,
21386881,8th Street,tertiary,False,False,109.217,"LINESTRING (-102.8258834 33.1906507, -102.8270571 33.1906509)",,,
21386881,8th Street,tertiary,False,True,308.801,"LINESTRING (-102.8258834 33.1906507, -102.8246632 33.1906473, -102.8235771 33.1906443, -102.8225649 33.1906431)",,,
21387812,Ferrel Avenue,residential,False,False,106.381,"LINESTRING (-102.8258834 33.1906507, -102.8258816 33.1911073, -102.8258801 33.1916074)",,,
"[21387812, 162119182]","['Ferrel Avenue', '9th Street']",residential,False,True,215.331,"LINESTRING (-102.8258834 33.1906507, -102.8258929 33.1896851, -102.8270529 33.18967)",,,
21386881,8th Street,tertiary,False,False,106.128,"LINESTRING (-102.8281876 33.1906589, -102.8293281 33.1906615)",,,
21386881,8th Street,tertiary,False,True,105.201,"LINESTRING (-102.8281876 33.1906589, -102.8270571 33.1906509)",,,
21388233,Avenue G,tertiary,False,False,106.43799999999999,"LINESTRING (-102.8281876 33.1906589, -102.8281846 33.1911101, -102.8281813 33.1916161)",,,
21388233,Avenue G,tertiary,False,True,110.49799999999999,"LINESTRING (-102.8281876 33.1906589, -102.8281779 33.1901588, -102.8281683 33.1896653)",,,
21386881,8th Street,tertiary,False,False,104.519,"LINESTRING (-102.8293281 33.1906615, -102.8304513 33.1906636)",,,
21386881,8th Street,tertiary,False,True,106.128,"LINESTRING (-102.8293281 33.1906615, -102.8281876 33.1906589)",,,
21388193,Avenue F,residential,False,True,111.458,"LINESTRING (-102.8293281 33.1906615, -102.8293172 33.1901582, -102.8293066 33.1896593)",,,
21386881,8th Street,tertiary,False,False,103.384,"LINESTRING (-102.8304513 33.1906636, -102.8315623 33.1906667)",,,
21386881,8th Street,tertiary,False,True,104.519,"LINESTRING (-102.8304513 33.1906636, -102.8293281 33.1906615)",,,
21388154,Avenue E,residential,False,False,95.583,"LINESTRING (-102.8304513 33.1906636, -102.8304505 33.1911128, -102.8304508 33.1915232)",,,
21388154,Avenue E,residential,False,True,111.918,"LINESTRING (-102.8304513 33.1906636, -102.8304512 33.1901577, -102.8304513 33.1896571)",,,
21386881,8th Street,tertiary,False,True,103.384,"LINESTRING (-102.8315623 33.1906667, -102.8304513 33.1906636)",,,
"[21387416, 21388126]","['Avenue D', '7th Street']",residential,False,False,198.125,"LINESTRING (-102.8315623 33.1906667, -102.8315641 33.1911142, -102.8315667 33.1915146, -102.8304508 33.1915232)",,,
21388126,Avenue D,residential,False,True,110.352,"LINESTRING (-102.8315623 33.1906667, -102.8315714 33.1901572, -102.8315804 33.1896744)",,,
21388233,Avenue G,tertiary,False,False,106.702,"LINESTRING (-102.828154 33.1887058, -102.8281607 33.1889297, -102.8281683 33.1896653)",,,
21388233,Avenue G,tertiary,False,True,104.514,"LINESTRING (-102.828154 33.1887058, -102.828151 33.1882311, -102.8281482 33.1877659)",,,
117987580,Cowboy Way,primary,False,False,107.235,"LINESTRING (-102.828154 33.1887058, -102.8283881 33.1887247, -102.828722 33.1887352, -102.829305 33.1887287)",4,US 82;US 380,55 mph
117987580,Cowboy Way,primary,False,True,108.799,"LINESTRING (-102.828154 33.1887058, -102.8278783 33.1886786, -102.8275929 33.1886213, -102.827283 33.1885551, -102.827023 33.1884722)",4,US 82;US 380,55 mph
21388191,Avenue F,residential,False,True,107.293,"LINESTRING (-102.829305 33.1887287, -102.829306 33.1882311, -102.8293072 33.1877638)",,,
117987580,Cowboy Way,primary,False,False,106.735,"LINESTRING (-102.829305 33.1887287, -102.8298898 33.1887274, -102.830452 33.1887261)",4,US 82;US 380,55 mph
117987580,Cowboy Way,primary,False,True,107.235,"LINESTRING (-102.829305 33.1887287, -102.828722 33.1887352, -102.8283881 33.1887247, -102.828154 33.1887058)",4,US 82;US 380,55 mph
21388154,Avenue E,residential,False,False,103.523,"LINESTRING (-102.830452 33.1887261, -102.8304513 33.1896571)",,,
117987580,Cowboy Way,primary,False,False,104.223,"LINESTRING (-102.830452 33.1887261, -102.831572 33.188724)",4,US 82;US 380,55 mph
21388154,Avenue E,residential,False,True,107.226,"LINESTRING (-102.830452 33.1887261, -102.830452 33.1882303, -102.8304528 33.1877618)",,,
117987580,Cowboy Way,primary,False,True,106.735,"LINESTRING (-102.830452 33.1887261, -102.8298898 33.1887274, -102.829305 33.1887287)",4,US 82;US 380,55 mph
21388126,Avenue D,residential,False,False,105.683,"LINESTRING (-102.831572 33.188724, -102.8315804 33.1896744)",,,
117987580,Cowboy Way,primary,False,True,104.223,"LINESTRING (-102.831572 33.188724, -102.830452 33.1887261)",4,US 82;US 380,55 mph
21388126,Avenue D,residential,False,True,107.50800000000001,"LINESTRING (-102.831572 33.188724, -102.831578 33.1882296, -102.8315816 33.1877572)",,,
21387155,13th Street,residential,False,False,109.792,"LINESTRING (-102.8258424 33.1858357, -102.8264565 33.1858377, -102.8270222 33.1858395)",,,
21387155,13th Street,residential,False,True,100.737,"LINESTRING (-102.8258424 33.1858357, -102.8253175 33.1858339, -102.8247599 33.185832)",,,
21387807,Ferrel Avenue,residential,False,False,106.703,"LINESTRING (-102.8258424 33.1858357, -102.8258425 33.1863045, -102.8258435 33.1867953)",,,
21387155,13th Street,residential,False,False,108.43299999999999,"LINESTRING (-102.8281462 33.1858432, -102.8287565 33.1858452, -102.8293114 33.185847)",,,
21387155,13th Street,residential,False,True,104.6,"LINESTRING (-102.8281462 33.1858432, -102.8276058 33.1858414, -102.8270222 33.1858395)",,,
21388233,Avenue G,tertiary,False,False,106.214,"LINESTRING (-102.8281462 33.1858432, -102.8281465 33.1863089, -102.8281474 33.1867984)",,,
21387155,13th Street,residential,False,False,106.312,"LINESTRING (-102.8293114 33.185847, -102.8304538 33.1858508)",,,
21387155,13th Street,residential,False,True,108.43299999999999,"LINESTRING (-102.8293114 33.185847, -102.8287565 33.1858452, -102.8281462 33.1858432)",,,
21388191,Avenue F,residential,False,False,105.969,"LINESTRING (-102.8293114 33.185847, -102.82931 33.1863112, -102.8293093 33.1868)",,,
21387155,13th Street,residential,False,True,106.312,"LINESTRING (-102.8304538 33.1858508, -102.8293114 33.185847)",,,
