osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed
293638418,State Street North,primary,True,False,132.899,"LINESTRING (-72.9226853 41.3047666, -72.9226221 41.3048415, -72.9225058 41.3050067, -72.9223002 41.3052923, -72.9220839 41.3055876, -72.9219523 41.3057694, -72.921917 41.3058129)",2,,
1013412359,Court Street,tertiary,False,True,12.583,"LINESTRING (-72.921917 41.3058129, -72.9220476 41.3058693)",,,
"[132400914, 37052757, 618785366]",Court Street,residential,False,False,92.335,"LINESTRING (-72.921917 41.3058129, -72.9218514 41.3057859, -72.9215813 41.3056837, -72.9211445 41.3055307, -72.92104 41.3054991, -72.9209161 41.3054616)",,yes,
1106807198,State Street North,primary,True,False,157.785,"LINESTRING (-72.921917 41.3058129, -72.9218809 41.3058605, -72.9213838 41.306547, -72.9211193 41.306912, -72.9210122 41.3070585)",,,
293638415,Grand Avenue,primary,False,False,16.368,"LINESTRING (-72.9210122 41.3070585, -72.9212071 41.3070432)",,,
39360681,Grand Avenue,secondary,False,True,38.331,"LINESTRING (-72.9210122 41.3070585, -72.9209292 41.3070726, -72.9208182 41.3070928, -72.9205654 41.3071371)",,,
293638419,State Street North,primary,True,False,29.412,"LINESTRING (-72.9210122 41.3070585, -72.9209278 41.307174, -72.9208443 41.307291)",2,,
293638419,State Street North,primary,True,False,112.94200000000001,"LINESTRING (-72.9208443 41.307291, -72.9205674 41.3076733, -72.9202121 41.3081888)",2,,
17227350,Wall Street,residential,True,False,11.401,"LINESTRING (-72.9202121 41.3081888, -72.920332 41.3082378)",,,
293638420,State Street North,primary,True,False,125.847,"LINESTRING (-72.9202121 41.3081888, -72.9199765 41.3085015, -72.9197886 41.3087208, -72.9195457 41.3089793, -72.9195003 41.3090206, -72.9193801 41.3091298)",,,
658342173,Olive Street,tertiary,False,False,18.422,"LINESTRING (-72.9193801 41.3091298, -72.9195795 41.3092006)",,,
39435612,Grand Avenue,secondary,False,False,30.462,"LINESTRING (-72.9202109 41.3072014, -72.9205654 41.3071371)",,yes,
"[39275905, 39435612]",Grand Avenue,secondary,False,True,33.942,"LINESTRING (-72.9202109 41.3072014, -72.9200499 41.3072266, -72.9198144 41.3072681)",,yes,
132400917,Court Street,tertiary,True,False,140.262,"LINESTRING (-72.9235347 41.306455, -72.9234512 41.3064228, -72.92286 41.3061932, -72.9227709 41.3061585, -72.9221304 41.3059052, -72.9220476 41.3058693)",,,
295029453,Orange Street,secondary,True,False,129.304,"LINESTRING (-72.9235347 41.306455, -72.9235757 41.3064, -72.9239173 41.3059408, -72.9242414 41.3055051, -72.9242899 41.3054399)",1,,
17226392,Lincoln Street,residential,False,False,65.428,"LINESTRING (-72.9205424 41.3119477, -72.9205029 41.3120017, -72.9202251 41.3123811, -72.9202077 41.3124061, -72.9201657 41.3124636)",,,
17212629,Olive Street,tertiary,False,False,29.919,"LINESTRING (-72.9192944 41.3071021, -72.9193748 41.3068399)",,,
17212629,Olive Street,tertiary,False,True,32.019,"LINESTRING (-72.9192944 41.3071021, -72.9192329 41.3073077, -72.9192126 41.3073834)",,,
"[39275905, 39435612]",Grand Avenue,secondary,False,False,33.942,"LINESTRING (-72.9198144 41.3072681, -72.9200499 41.3072266, -72.9202109 41.3072014)",,yes,
39275905,Grand Avenue,secondary,False,True,51.88999999999999,"LINESTRING (-72.9198144 41.3072681, -72.9194761 41.3073273, -72.9193017 41.3073643, -72.9192126 41.3073834)",,,
249840348,Grand Avenue,tertiary,True,False,52.937000000000005,"LINESTRING (-72.9198144 41.3072681, -72.9195161 41.3072695, -72.9194674 41.3072634, -72.9194303 41.3072523, -72.9194067 41.3072411, -72.9193912 41.3072306, -72.9193493 41.3071862, -72.9193182 41.3071447, -72.9192944 41.3071021)",,,
37136834,George Street,secondary,True,False,165.339,"LINESTRING (-72.9303457 41.3050726, -72.9302598 41.3050369, -72.929839 41.3048602, -72.9297035 41.3048033, -72.9292675 41.3046202, -72.9286933 41.3043791, -72.9286183 41.3043466)",3,,
37136835,College Street,primary,True,False,103.556,"LINESTRING (-72.9303457 41.3050726, -72.9303938 41.3050073, -72.9306756 41.3046353, -72.9308809 41.3043592, -72.9309383 41.3042554)",4,,
17205224,Broadway,primary,True,False,46.25,"LINESTRING (-72.9301798 41.3107842, -72.9302934 41.3108992, -72.9303487 41.3109599, -72.9305013 41.3111228)",2,,
45252402,Elm Street,primary,False,False,15.657,"LINESTRING (-72.9301798 41.3107842, -72.9301471 41.3107707, -72.9301033 41.3107528, -72.9300153 41.3107167)",3,,
37114312,Broadway,primary,True,False,12.223,"LINESTRING (-72.9307256 41.3110135, -72.9306102 41.3109459)",3,,
45205304,Broadway,primary,True,False,26.288999999999998,"LINESTRING (-72.9307256 41.3110135, -72.9306438 41.3110183, -72.9305854 41.3110241, -72.9305462 41.3110362, -72.9305227 41.3110536, -72.9305083 41.3110672, -72.9305003 41.311086, -72.9305013 41.3111228)",1,,
1080994292,Crown Street,secondary,False,False,16.36,"LINESTRING (-72.9250934 41.3040833, -72.9252626 41.3041574)",2,,
