osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed
1024846338,West 6th Street,secondary,False,True,164.95999999999998,"LINESTRING (-96.8352713 39.0282557, -96.835821 39.0282561, -96.836095 39.0282563, -96.836199 39.0282564, -96.8367092 39.0282569, -96.8369669 39.0282572, -96.837181 39.0282574)",,,30 mph
1024846338,West 6th Street,secondary,False,True,165.142,"LINESTRING (-96.8333595 39.0282537, -96.8352713 39.0282557)",,,30 mph
13078679,North Adams Street,residential,False,False,115.12,"LINESTRING (-96.8333595 39.0282537, -96.8333589 39.028772, -96.8333583 39.029289)",,,
13078679,North Adams Street,residential,False,True,117.055,"LINESTRING (-96.8333595 39.0282537, -96.8333601 39.027726, -96.8333608 39.027201)",,,
"[1024846338, 202173342]",West 6th Street,secondary,False,False,165.626,"LINESTRING (-96.8333595 39.0282537, -96.8317232 39.0282521, -96.8314421 39.0282524)",,,"['20 mph', '30 mph']"
202173323,North Jefferson Street,residential,False,False,116.04399999999998,"LINESTRING (-96.8314421 39.0282524, -96.8314396 39.0288031, -96.8314388 39.0289531, -96.8314371 39.029296)",,,20 mph
202173323,North Jefferson Street,residential,False,True,116.577,"LINESTRING (-96.8314421 39.0282524, -96.8314446 39.027721, -96.8314451 39.0276222, -96.8314471 39.027204)",,,20 mph
202173342,West 6th Street,secondary,False,False,168.934,"LINESTRING (-96.8314421 39.0282524, -96.8296391 39.0282548, -96.8294864 39.028255)",,,20 mph
"[1024846338, 202173342]",West 6th Street,secondary,False,True,165.626,"LINESTRING (-96.8314421 39.0282524, -96.8317232 39.0282521, -96.8333595 39.0282537)",,,"['20 mph', '30 mph']"
49170513,North Washington Street,secondary,False,False,116.53699999999999,"LINESTRING (-96.8294864 39.028255, -96.8294865 39.028347, -96.8294924 39.0288024, -96.8294873 39.029303)",,57,20 mph
178114989,North Washington Street,secondary,False,True,117.422,"LINESTRING (-96.8294864 39.028255, -96.8294866 39.0281464, -96.8294864 39.027199)",,US 40 Business,20 mph
"[202173306, 178114975]",East 6th Street,secondary,False,True,166.56799999999998,"LINESTRING (-96.8294864 39.028255, -96.8293577 39.0282547, -96.8288473 39.0282534, -96.8285336 39.0282526, -96.8275581 39.0282501)",4,US 40 Business;KS 57,"['20 mph', '30 mph']"
202173342,West 6th Street,secondary,False,True,168.934,"LINESTRING (-96.8294864 39.028255, -96.8296391 39.0282548, -96.8314421 39.0282524)",,,20 mph
13075586,East 10th Street,residential,False,False,167.592,"LINESTRING (-96.82755 39.032439, -96.82949 39.0324647)",,,
13075586,East 10th Street,residential,False,True,162.742,"LINESTRING (-96.82755 39.032439, -96.825666 39.032422)",,,
13077109,North Franklin Street,residential,False,False,114.673,"LINESTRING (-96.82755 39.032439, -96.827547 39.031929, -96.8275858 39.0314086)",,,
13075586,East 10th Street,residential,False,True,167.592,"LINESTRING (-96.82949 39.0324647, -96.82755 39.032439)",,,
13075970,West 10th Street,residential,False,False,166.868,"LINESTRING (-96.82949 39.0324647, -96.8314219 39.0324619)",,,
49170513,North Washington Street,secondary,False,True,119.32300000000001,"LINESTRING (-96.82949 39.0324647, -96.8294895 39.031938, -96.8294895 39.0313916)",,57,20 mph
13075718,West 7th Street,residential,False,False,168.424,"LINESTRING (-96.8294873 39.029303, -96.8314371 39.029296)",,,
13076963,East 7th Street,residential,False,True,164.492,"LINESTRING (-96.8294873 39.029303, -96.827583 39.0293032)",,,
49170513,North Washington Street,secondary,False,False,118.993,"LINESTRING (-96.8294873 39.029303, -96.8294985 39.0298555, -96.8294882 39.030373)",,57,20 mph
49170513,North Washington Street,secondary,False,True,116.53699999999999,"LINESTRING (-96.8294873 39.029303, -96.8294924 39.0288024, -96.8294865 39.028347, -96.8294864 39.028255)",,57,20 mph
13075718,West 7th Street,residential,False,True,168.424,"LINESTRING (-96.8314371 39.029296, -96.8294873 39.029303)",,,
13075718,West 7th Street,residential,False,False,165.954,"LINESTRING (-96.8314371 39.029296, -96.8321904 39.0292933, -96.8323405 39.0292927, -96.8325218 39.029292, -96.8333583 39.029289)",,,
