osmid,highway,oneway,reversed,length,geometry,name,maxspeed,junction
182209175,residential,False,True,61.066,"LINESTRING (71.6662202 29.3972701, 71.6664524 29.3972657, 71.6665876 29.3972673, 71.6668504 29.3972728)",,20,
182208668,residential,False,False,71.767,"LINESTRING (71.6668561 29.3979182, 71.6668504 29.3972728)",,20,
182208668,residential,False,True,85.967,"LINESTRING (71.6668561 29.3979182, 71.6668629 29.3986913)",,20,
182209011,residential,False,False,61.188,"LINESTRING (71.6668561 29.3979182, 71.6662245 29.3979204)",,20,
182209011,residential,False,True,93.748,"LINESTRING (71.6668561 29.3979182, 71.6678238 29.3979149)",,20,
182208661,residential,False,False,71.948,"LINESTRING (71.6678238 29.3979149, 71.6678149 29.3972679)",,20,
182208661,residential,False,True,85.459,"LINESTRING (71.6678238 29.3979149, 71.6678343 29.3986834)",,20,
182209011,residential,False,False,93.748,"LINESTRING (71.6678238 29.3979149, 71.6668561 29.3979182)",,20,
182209011,residential,False,True,85.95,"LINESTRING (71.6678238 29.3979149, 71.668711 29.397912)",,20,
25525994,tertiary,False,False,61.335,"LINESTRING (71.6668629 29.3986913, 71.6662298 29.3986964)",,,
25525994,tertiary,False,True,94.109,"LINESTRING (71.6668629 29.3986913, 71.6678343 29.3986834)",,,
182208668,residential,False,False,85.967,"LINESTRING (71.6668629 29.3986913, 71.6668561 29.3979182)",,20,
25525994,tertiary,False,False,113.156,"LINESTRING (71.6662298 29.3986964, 71.6650618 29.3987055)",,,
25525994,tertiary,False,True,61.335,"LINESTRING (71.6662298 29.3986964, 71.6668629 29.3986913)",,,
182209102,residential,False,True,86.289,"LINESTRING (71.6662298 29.3986964, 71.6662245 29.3979204)",,20,
25525994,tertiary,False,False,35.565,"LINESTRING (71.6643055 29.3987114, 71.6639384 29.3987143)",,,
25525994,tertiary,False,True,61.897,"LINESTRING (71.6643055 29.3987114, 71.6649444 29.3987064)",,,
25525994,tertiary,False,True,113.156,"LINESTRING (71.6650618 29.3987055, 71.6662298 29.3986964)",,,
182208662,secondary,True,False,86.9,"LINESTRING (71.6650618 29.3987055, 71.6650827 29.3979242)",,56,
25525994,tertiary,False,False,11.373999999999999,"LINESTRING (71.6650618 29.3987055, 71.6650005 29.398706, 71.6649444 29.3987064)",,,
25525994,tertiary,False,False,45.417,"LINESTRING (71.6594819 29.3987495, 71.6590131 29.3987532)",,,
25525994,tertiary,False,True,95.611,"LINESTRING (71.6594819 29.3987495, 71.6604688 29.3987417)",,,
300649381,unclassified,False,True,42.498999999999995,"LINESTRING (71.6594819 29.3987495, 71.659496 29.3990476, 71.6594587 29.3991249)",,,
689720243,residential,False,False,50.759,"LINESTRING (71.6587596 29.39912, 71.6589086 29.3990388, 71.6589837 29.3989103, 71.6590131 29.3987532)",,,
182208581,secondary,True,False,297.253,"LINESTRING (71.6623295 29.3964107, 71.6647847 29.3948074)",ریلوے روڈ,56,
301261266,residential,False,True,61.082,"LINESTRING (71.6623295 29.3964107, 71.66296 29.39641)",,,
410667457,secondary,True,False,7.148,"LINESTRING (71.6647847 29.3948074, 71.6648506 29.3948363)",,,roundabout
182209440,secondary,True,False,366.44500000000005,"LINESTRING (71.6652035 29.3945306, 71.6668076 29.3934798, 71.6682228 29.3925456)",,56,
410667457,secondary,True,False,12.511,"LINESTRING (71.6652035 29.3945306, 71.6651758 29.3944798, 71.6651354 29.3944359)",,,roundabout
300649381,unclassified,False,False,42.498999999999995,"LINESTRING (71.6594587 29.3991249, 71.659496 29.3990476, 71.6594819 29.3987495)",,,
25525994,tertiary,False,False,28.115,"LINESTRING (71.6590131 29.3987532, 71.6587229 29.3987555)",,,
25525994,tertiary,False,True,45.417,"LINESTRING (71.6590131 29.3987532, 71.6594819 29.3987495)",,,
689720243,residential,False,True,50.759,"LINESTRING (71.6590131 29.3987532, 71.6589837 29.3989103, 71.6589086 29.3990388, 71.6587596 29.39912)",,,
182208466,residential,False,True,218.006,"LINESTRING (71.6587566 29.3922941, 71.6609 29.392891)",Ghaznavi Road,20,
182208953,secondary,True,False,54.819,"LINESTRING (71.6683615 29.395205, 71.6683615 29.394712)",,56,
"[855624309, 855624310]",residential,False,True,76.869,"LINESTRING (71.6622412 29.3922221, 71.6625309 29.392332, 71.6625631 29.3923355, 71.6625845 29.3923203, 71.6627428 29.3919838)",,,
855624308,residential,False,True,41.964,"LINESTRING (71.6629279 29.3916426, 71.6627428 29.3919838)",,,
855624307,residential,False,True,136.43,"LINESTRING (71.6627428 29.3919838, 71.661428 29.3915444)",,,
855624308,residential,False,False,41.964,"LINESTRING (71.6627428 29.3919838, 71.6629279 29.3916426)",,,
"[855624309, 855624310]",residential,False,False,76.869,"LINESTRING (71.6627428 29.3919838, 71.6625845 29.3923203, 71.6625631 29.3923355, 71.6625309 29.392332, 71.6622412 29.3922221)",,,
25525994,tertiary,False,False,34.906,"LINESTRING (71.6608291 29.3987389, 71.6604688 29.3987417)",,,
25525994,tertiary,False,True,50.474,"LINESTRING (71.6608291 29.3987389, 71.6613501 29.3987348)",,,
25525994,tertiary,False,False,22.185,"LINESTRING (71.6631894 29.3987203, 71.6629604 29.3987221)",,,
25525994,tertiary,False,True,72.563,"LINESTRING (71.6631894 29.3987203, 71.6639384 29.3987143)",,,
