osmid,ref,highway,oneway,reversed,length,geometry,name
56810365,713,tertiary,False,False,104.703,"LINESTRING (122.8042359 10.5188215, 122.803429 10.5183143)",
56810365,713,tertiary,False,True,150.344,"LINESTRING (122.8042359 10.5188215, 122.8053946 10.5195497)",
318320946,,residential,False,False,65.004,"LINESTRING (122.8042359 10.5188215, 122.8039307 10.5193232)",Riego Street
791197998,,tertiary,False,False,148.236,"LINESTRING (122.8014328 10.523445, 122.8021252 10.5222988)",
"[659007829, 791197998]",,tertiary,False,True,433.464,"LINESTRING (122.8014328 10.523445, 122.8006509 10.5247596, 122.8002472 10.5254189, 122.7998323 10.5261068, 122.7992367 10.5255529)",
318321208,713,tertiary,False,True,101.919,"LINESTRING (122.7978739 10.5222208, 122.7986176 10.5216681)",Veraguth Street
659007829,,tertiary,False,False,20.879,"LINESTRING (122.7978739 10.5222208, 122.7977192 10.5223309)",
492457960,,unclassified,False,True,130.692,"LINESTRING (122.8055768 10.5232499, 122.8055507 10.523162, 122.8053446 10.5221923, 122.805327 10.5221008)",Yanson Street
787329896,,residential,False,True,59.809,"LINESTRING (122.8031655 10.5216619, 122.8026666 10.5214412)",
787329895,,residential,False,True,59.397,"LINESTRING (122.8031655 10.5216619, 122.8031427 10.5218206, 122.8031306 10.5219393, 122.8031266 10.5220065, 122.8031279 10.5220909, 122.8031239 10.5221937)",
787329896,,residential,False,False,79.247,"LINESTRING (122.8031655 10.5216619, 122.8033814 10.521752, 122.8037247 10.5220962)",
787329895,,residential,False,False,59.397000000000006,"LINESTRING (122.8031239 10.5221937, 122.8031279 10.5220909, 122.8031266 10.5220065, 122.8031306 10.5219393, 122.8031427 10.5218206, 122.8031655 10.5216619)",
787329896,,residential,False,False,59.809,"LINESTRING (122.8026666 10.5214412, 122.8031655 10.5216619)",
