osmid,lanes,name,highway,oneway,reversed,length,maxspeed,ref,geometry,bridge
609997384,,Kaligtasan,unclassified,False,False,255.986,,,"LINESTRING (120.9023907 14.4473534, 120.9025575 14.447026, 120.9026688 14.4468234, 120.9028056 14.4465987, 120.9030486 14.4462039, 120.9030933 14.4461065, 120.9031308 14.446, 120.9031587 14.4458515, 120.9031635 14.4455388, 120.9031671 14.4452345)",
24238990,2,Tanggulan Street,residential,False,False,61.9,,,"LINESTRING (120.9047869 14.4455478, 120.9053617 14.4455552)",
24238990,2,Tanggulan Street,residential,False,True,23.534,,,"LINESTRING (120.9047869 14.4455478, 120.9045688 14.4455342)",
33772575,,,residential,False,False,27.433,,,"LINESTRING (120.9047869 14.4455478, 120.9047847 14.4457945)",
33772575,,,residential,False,True,27.433,,,"LINESTRING (120.9047847 14.4457945, 120.9047869 14.4455478)",
"[33772577, 33772583]",,Don Pedro Subdivision,residential,False,"[False, True]",91.449,,,"LINESTRING (120.9047847 14.4457945, 120.904738 14.4458335, 120.9047042 14.4465955)",
"[33772580, 33772583]",,Kaingin,residential,False,"[False, True]",89.665,,,"LINESTRING (120.9047847 14.4457945, 120.9049563 14.4458031, 120.9049371 14.4464428)",
33772577,,Don Pedro Subdivision,residential,False,False,7.381,,,"LINESTRING (120.9047009 14.4466618, 120.9047042 14.4465955)",
33772580,,Kaingin,residential,False,True,16.964,,,"LINESTRING (120.9049326 14.4465953, 120.9049371 14.4464428)",
33772582,,,residential,False,False,24.594,,,"LINESTRING (120.9049326 14.4465953, 120.9047042 14.4465955)",
33772580,,Kaingin,residential,False,False,49.601,,,"LINESTRING (120.9049326 14.4465953, 120.9049326 14.4467366, 120.9052473 14.4467401)",
33772577,,Don Pedro Subdivision,residential,False,True,7.381,,,"LINESTRING (120.9047042 14.4465955, 120.9047009 14.4466618)",
33772582,,,residential,False,True,24.594,,,"LINESTRING (120.9047042 14.4465955, 120.9049326 14.4465953)",
"[33772577, 33772583]",,Don Pedro Subdivision,residential,False,"[False, True]",91.449,,,"LINESTRING (120.9047042 14.4465955, 120.904738 14.4458335, 120.9047847 14.4457945)",
105241189,2,,residential,False,False,72.489,,,"LINESTRING (120.9028175 14.4408825, 120.9027008 14.4409201, 120.9025298 14.4409201, 120.9024006 14.4408325, 120.9022276 14.4406986)",
105241189,2,,residential,False,True,50.077,,,"LINESTRING (120.9028175 14.4408825, 120.9029509 14.4408075, 120.9031094 14.4407866, 120.9032599 14.4407963)",
105241192,,Kagitingan,residential,False,False,95.10399999999998,,,"LINESTRING (120.9028175 14.4408825, 120.9028527 14.4404688, 120.9028596 14.4403878, 120.9028901 14.4400301)",
105241191,,,residential,False,False,102.106,,,"LINESTRING (120.9028901 14.4400301, 120.903272 14.4404508, 120.903313 14.4405579, 120.9032599 14.4407963)",
105241192,,Kagitingan,residential,False,True,95.10399999999998,,,"LINESTRING (120.9028901 14.4400301, 120.9028596 14.4403878, 120.9028527 14.4404688, 120.9028175 14.4408825)",
105241196,1,Kapitan M.S. Victa,residential,False,False,187.881,,,"LINESTRING (120.9043128 14.4428748, 120.9046396 14.4430703, 120.9048969 14.4431804, 120.9050546 14.443206, 120.9054902 14.4433759, 120.9059224 14.4434968)",
105241196,1,Kapitan M.S. Victa,residential,False,True,88.577,,,"LINESTRING (120.9043128 14.4428748, 120.9039462 14.4426771, 120.9036281 14.4425005, 120.9035962 14.4424837)",
105241198,,,residential,False,False,80.592,,,"LINESTRING (120.9043128 14.4428748, 120.9040407 14.4432731, 120.9039347 14.4434283, 120.9038999 14.4434793)",
105241189,2,,residential,False,True,72.489,,,"LINESTRING (120.9022276 14.4406986, 120.9024006 14.4408325, 120.9025298 14.4409201, 120.9027008 14.4409201, 120.9028175 14.4408825)",
105241199,2,,residential,False,True,37.946,,,"LINESTRING (120.9022276 14.4406986, 120.902015 14.4408746, 120.9019591 14.4409196)",
105241189,2,,residential,False,True,61.292,,,"LINESTRING (120.9032599 14.4407963, 120.9037919 14.4409923)",
893592189,,,residential,False,True,61.044,,,"LINESTRING (120.9032599 14.4407963, 120.9031208 14.4413285)",
105241189,2,,residential,False,False,50.077,,,"LINESTRING (120.9032599 14.4407963, 120.9031094 14.4407866, 120.9029509 14.4408075, 120.9028175 14.4408825)",
105241191,,,residential,False,True,102.106,,,"LINESTRING (120.9032599 14.4407963, 120.903313 14.4405579, 120.903272 14.4404508, 120.9028901 14.4400301)",
58493803,2,Gregoria Street,tertiary,False,False,32.058,,,"LINESTRING (120.9037919 14.4409923, 120.9037761 14.4412802)",
105241189,2,,residential,False,False,61.292,,,"LINESTRING (120.9037919 14.4409923, 120.9032599 14.4407963)",
58493803,2,Gregoria Street,tertiary,False,True,118.245,,,"LINESTRING (120.9037919 14.4409923, 120.903808 14.4401863, 120.9038132 14.4399291)",
105241198,,,residential,False,True,80.592,,,"LINESTRING (120.9038999 14.4434793, 120.9039347 14.4434283, 120.9040407 14.4432731, 120.9043128 14.4428748)",
105241196,1,Kapitan M.S. Victa,residential,False,True,187.881,,,"LINESTRING (120.9059224 14.4434968, 120.9054902 14.4433759, 120.9050546 14.443206, 120.9048969 14.4431804, 120.9046396 14.4430703, 120.9043128 14.4428748)",
58493803,2,Gregoria Street,tertiary,False,True,32.058,,,"LINESTRING (120.9037761 14.4412802, 120.9037919 14.4409923)",
1060881245,2,Apo,residential,False,False,31.275,,,"LINESTRING (120.9037761 14.4412802, 120.9040665 14.4412847)",
58493803,2,Gregoria Street,tertiary,False,False,117.74700000000001,,,"LINESTRING (120.9037761 14.4412802, 120.9037318 14.4419916, 120.9037173 14.4421808, 120.9036908 14.4422324, 120.9036239 14.4423071)",
24238990,2,Tanggulan Street,residential,False,False,103.024,,,"LINESTRING (120.8986913 14.4432871, 120.8995866 14.4436138)",
105241618,,,residential,False,False,22.929,,,"LINESTRING (120.8986913 14.4432871, 120.8987806 14.4430999)",
"[105241621, 1164773287]","['2', '4']",Magdiwang Highway,secondary,False,True,92.441,50,62,"LINESTRING (120.9002836 14.4401278, 120.90068 14.4402778, 120.901069 14.4404617)",
1060881244,2,,residential,False,False,11.664000000000001,,,"LINESTRING (120.9002836 14.4401278, 120.9002475 14.440198, 120.9002374 14.4402226)",
105241613,,,residential,False,True,65.011,,,"LINESTRING (120.8993793 14.4431753, 120.8987806 14.4430999)",
105241613,,,residential,False,False,65.011,,,"LINESTRING (120.8987806 14.4430999, 120.8993793 14.4431753)",
105241618,,,residential,False,True,22.929,,,"LINESTRING (120.8987806 14.4430999, 120.8986913 14.4432871)",
24238832,2,Centennial Loop,secondary,False,False,48.951,40,,"LINESTRING (120.9064892 14.4459896, 120.906486 14.4459179, 120.9064776 14.4457948, 120.9064749 14.4456773, 120.9064797 14.4455941, 120.9064885 14.4455507)",
24238832,2,Centennial Loop,secondary,False,True,43.615,40,,"LINESTRING (120.9064892 14.4459896, 120.906498 14.4461305, 120.9065064 14.4462644, 120.9065141 14.4463811)",
158322311,2,Freedom Street,residential,False,True,86.701,,,"LINESTRING (120.9064892 14.4459896, 120.9062556 14.4459909, 120.9061188 14.446011, 120.9060695 14.4460314, 120.9060575 14.4460373, 120.9060545 14.4460471, 120.906049 14.4463914)",
158322299,2,Freedom Street,residential,False,True,50.095,,,"LINESTRING (120.9065141 14.4463811, 120.906049 14.4463914)",
24238832,2,Centennial Loop,secondary,False,False,43.615,40,,"LINESTRING (120.9065141 14.4463811, 120.9065064 14.4462644, 120.906498 14.4461305, 120.9064892 14.4459896)",
