osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,junction,bridge
303576750,False,,,Alabat Street,residential,False,93.178,"LINESTRING (125.9758359 8.502027, 125.9760187 8.501467, 125.9760565 8.5013784, 125.9761384 8.5012482)",,
303576750,False,,,Alabat Street,residential,True,91.28200000000001,"LINESTRING (125.9758359 8.502027, 125.975799 8.5021636, 125.9757664 8.5022654, 125.9756461 8.5025934, 125.9755978 8.5026756, 125.9755136 8.5027738)",,
315645366,False,,,Layno Street,residential,True,104.375,"LINESTRING (125.9767254 8.5050017, 125.9765849 8.5049039, 125.9764623 8.5048377, 125.9758922 8.5045553)",,
770761761,True,2,1,San Francisco Rotonda,trunk,False,43.037,"LINESTRING (125.9767254 8.5050017, 125.9767323 8.5049469, 125.9767475 8.5048936, 125.9767705 8.5048432, 125.9768008 8.5047968, 125.9768378 8.5047553, 125.9768806 8.5047198, 125.9769283 8.5046909)",roundabout,
245970582,False,,,Sanchez Street,residential,False,131.607,"LINESTRING (125.9758922 8.5045553, 125.976447 8.5035066)",,
315645366,False,,,Layno Street,residential,False,104.375,"LINESTRING (125.9758922 8.5045553, 125.9764623 8.5048377, 125.9765849 8.5049039, 125.9767254 8.5050017)",,
315645366,False,,,Layno Street,residential,True,120.759,"LINESTRING (125.9758922 8.5045553, 125.9755924 8.5043866, 125.9754583 8.5042911, 125.9753296 8.5041744, 125.9751337 8.5039728, 125.9750387 8.5038842)",,
238668704,False,,,Lapu-Lapu Street,residential,False,97.1,"LINESTRING (125.9755978 8.5033304, 125.9757049 8.5033405, 125.9758176 8.5033352, 125.9759331 8.5033308, 125.9760268 8.5033405, 125.9761181 8.5033706, 125.976447 8.5035066)",,
238668704,False,,,Lapu-Lapu Street,residential,True,63.551,"LINESTRING (125.9755978 8.5033304, 125.9755556 8.5032156, 125.9755173 8.5030921, 125.9754986 8.5029621, 125.9755136 8.5027738)",,
568001690,False,,,Samson Street,residential,True,87.999,"LINESTRING (125.9755978 8.5033304, 125.9755008 8.503495, 125.975433 8.503565, 125.9750387 8.5038842)",,
315645362,False,,,,tertiary,False,12.156,"LINESTRING (125.9778741 8.5064521, 125.9779667 8.5065118)",,
334472830,False,,,Orange Street,tertiary,True,56.42700000000001,"LINESTRING (125.9778741 8.5064521, 125.9777319 8.5062035, 125.9776233 8.5060094)",,
128955396,False,2,,Quezon Street,secondary,False,14.52,"LINESTRING (125.9767273 8.5080199, 125.9768254 8.5081073)",,
128955396,False,2,,Quezon Street,secondary,True,55.305,"LINESTRING (125.9767273 8.5080199, 125.9763514 8.5076895)",,
775872873,True,2,,Roxas Street,tertiary,False,82.204,"LINESTRING (125.9767273 8.5080199, 125.9771765 8.507429)",,
230785229,False,,,,residential,False,56.963,"LINESTRING (125.9796103 8.5067438, 125.9790947 8.5066948)",,
230785229,False,,,,residential,True,80.588,"LINESTRING (125.9796103 8.5067438, 125.9803431 8.5067412)",,
246449158,False,2,,Ipil Street,residential,False,99.928,"LINESTRING (125.9796103 8.5067438, 125.9795842 8.5076421)",,
246449158,False,2,,Ipil Street,residential,True,81.542,"LINESTRING (125.9796103 8.5067438, 125.9796185 8.5065534, 125.9796266 8.506421, 125.9796352 8.5062662, 125.9796472 8.5060114)",,
231334201,False,,,,unclassified,False,63.969,"LINESTRING (125.9781422 8.5078516, 125.978626 8.508171)",,
231334201,False,,,,unclassified,True,20.321,"LINESTRING (125.9781422 8.5078516, 125.9779882 8.5077506)",,
892168941,False,,,,unclassified,False,63.203,"LINESTRING (125.9781422 8.5078516, 125.978473 8.5073868)",,
892168941,False,,,,unclassified,True,24.04,"LINESTRING (125.9781422 8.5078516, 125.9780174 8.5080291)",,
656679246,False,,,,residential,True,38.656,"LINESTRING (125.9735583 8.5076329, 125.9732933 8.5078613)",,
233959512,False,,,,residential,True,116.58099999999999,"LINESTRING (125.9735583 8.5076329, 125.9741692 8.508355, 125.9742366 8.5084386)",,
"[303576745, 246447471]",False,,,,residential,"[False, True]",212.07999999999998,"LINESTRING (125.9735583 8.5076329, 125.9738241 8.5073647, 125.9739456 8.5072303, 125.9741135 8.5070382, 125.9744462 8.5073582, 125.9748889 8.507823)",,
303576743,False,,,,residential,False,45.784,"LINESTRING (125.9732933 8.5078613, 125.9729599 8.5081079)",,
656679246,False,,,,residential,False,38.656,"LINESTRING (125.9732933 8.5078613, 125.9735583 8.5076329)",,
228801959,True,2,1,Davao-Agusan National Highway,trunk,False,5.271,"LINESTRING (125.9742366 8.5084386, 125.97427 8.5084046)",,
233959512,False,,,,residential,True,9.947,"LINESTRING (125.9742366 8.5084386, 125.97429 8.5085108)",,
233959512,False,,,,residential,False,116.58099999999999,"LINESTRING (125.9742366 8.5084386, 125.9741692 8.508355, 125.9735583 8.5076329)",,
568001690,False,,,Samson Street,residential,False,99.847,"LINESTRING (125.9735916 8.505147, 125.9742748 8.5045556)",,
794461788,False,,,,residential,False,102.327,"LINESTRING (125.9735916 8.505147, 125.9742037 8.5058401)",,
858059327,False,,,,residential,True,102.901,"LINESTRING (125.9735916 8.505147, 125.9734064 8.5049118, 125.9732938 8.5047872, 125.9731758 8.5046519, 125.9730738 8.5045643, 125.9730041 8.5045166, 125.9729451 8.5044901)",,
231655408,False,,,,tertiary,False,54.082,"LINESTRING (125.9784572 8.5065469, 125.9779667 8.5065118)",,
231655408,False,,,,tertiary,True,70.8,"LINESTRING (125.9784572 8.5065469, 125.979101 8.506548)",,
235463747,False,,,,unclassified,True,30.159,"LINESTRING (125.9784572 8.5065469, 125.9783745 8.5068055)",,
231330948,True,2,,Roxas Street,tertiary,False,49.713,"LINESTRING (125.9771765 8.507429, 125.9774429 8.5070678)",,
235550029,False,,,,residential,True,13.573,"LINESTRING (125.9771765 8.507429, 125.9772305 8.5074648, 125.977279 8.507497)",,
235550030,False,,,,residential,True,12.315,"LINESTRING (125.9774429 8.5070678, 125.9775365 8.5071286)",,
892168920,True,2,,Roxas Street,tertiary,False,83.281,"LINESTRING (125.9774429 8.5070678, 125.9778741 8.5064521)",,
236146060,False,,,,residential,False,103.116,"LINESTRING (125.9786633 8.5074635, 125.9787052 8.506924, 125.9786998 8.5068815, 125.9786864 8.5068576, 125.9786596 8.5068417, 125.9786059 8.5068258, 125.9783745 8.5068055)",,
236146060,False,,,,residential,True,43.884,"LINESTRING (125.9786633 8.5074635, 125.9788446 8.5074889, 125.9790602 8.5075009)",,
238567594,False,,,,residential,False,22.777,"LINESTRING (125.9786633 8.5074635, 125.9786381 8.5074545, 125.9785925 8.5074452, 125.9785335 8.5074226, 125.978473 8.5073868)",,
128982707,False,2,,Obedoza Street,secondary,False,13.633,"LINESTRING (125.9790602 8.5075009, 125.979055 8.5076234)",,
128982707,False,2,,Obedoza Street,secondary,True,89.715,"LINESTRING (125.9790602 8.5075009, 125.9790947 8.5066948)",,
236146060,False,,,,residential,False,43.884,"LINESTRING (125.9790602 8.5075009, 125.9788446 8.5074889, 125.9786633 8.5074635)",,
235463747,False,,,,unclassified,False,30.159,"LINESTRING (125.9783745 8.5068055, 125.9784572 8.5065469)",,
235463747,False,,,,unclassified,True,19.231,"LINESTRING (125.9783745 8.5068055, 125.9783452 8.506976)",,
236146060,False,,,,residential,True,103.11599999999999,"LINESTRING (125.9783745 8.5068055, 125.9786059 8.5068258, 125.9786596 8.5068417, 125.9786864 8.5068576, 125.9786998 8.5068815, 125.9787052 8.506924, 125.9786633 8.5074635)",,
128982707,False,2,,Obedoza Street,secondary,False,16.338,"LINESTRING (125.979101 8.506548, 125.9790947 8.5066948)",,
128982707,False,2,,Obedoza Street,secondary,True,58.964,"LINESTRING (125.979101 8.506548, 125.9791237 8.5060182)",,
231655408,False,,,,tertiary,False,70.8,"LINESTRING (125.979101 8.506548, 125.9784572 8.5065469)",,
334471888,False,2,,Obedoza Street,secondary,False,41.079,"LINESTRING (125.9790367 8.5080506, 125.9790209 8.5084197)",,
1057082028,False,2,,Obedoza Street,secondary,True,47.545,"LINESTRING (125.9790367 8.5080506, 125.979055 8.5076234)",,
"[399345460, 858089375]",False,,,,residential,"[False, True]",53.918,"LINESTRING (125.9790367 8.5080506, 125.9788171 8.508032, 125.9787105 8.508046, 125.9786743 8.5080633, 125.9786502 8.5080924, 125.9786337 8.5081239, 125.978626 8.508171)",,
238668704,False,,,Lapu-Lapu Street,residential,True,94.075,"LINESTRING (125.9775755 8.5040233, 125.9767992 8.5036679)",,
858089374,True,3,1,Davao-Agusan National Highway,trunk,False,139.902,"LINESTRING (125.9775755 8.5040233, 125.9776846 8.5038057, 125.9777704 8.5036306, 125.9778374 8.5034714, 125.9780501 8.5028582)",,
238668704,False,,,Lapu-Lapu Street,residential,False,42.684,"LINESTRING (125.976447 8.5035066, 125.9767992 8.5036679)",,
245970582,False,,,Sanchez Street,residential,True,131.607,"LINESTRING (125.976447 8.5035066, 125.9758922 8.5045553)",,
238668704,False,,,Lapu-Lapu Street,residential,True,97.1,"LINESTRING (125.976447 8.5035066, 125.9761181 8.5033706, 125.9760268 8.5033405, 125.9759331 8.5033308, 125.9758176 8.5033352, 125.9757049 8.5033405, 125.9755978 8.5033304)",,
238668704,False,,,Lapu-Lapu Street,residential,False,94.075,"LINESTRING (125.9767992 8.5036679, 125.9775755 8.5040233)",,
238668704,False,,,Lapu-Lapu Street,residential,True,42.684,"LINESTRING (125.9767992 8.5036679, 125.976447 8.5035066)",,
238668708,False,,,,residential,True,132.08800000000002,"LINESTRING (125.9767992 8.5036679, 125.9769282 8.5033229, 125.9770006 8.5031213, 125.977073 8.502925, 125.9771931 8.502546)",,
