osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,junction
822624935,,,residential,False,True,75.16499999999999,"LINESTRING (124.4417686 6.8596816, 124.4420448 6.8598217, 124.4423774 6.8599842)",,,,
822624924,,,residential,False,False,155.834,"LINESTRING (124.4450717 6.8628016, 124.4458035 6.8616032)",,,,
867696207,,,residential,False,True,79.222,"LINESTRING (124.4450717 6.8628016, 124.4456604 6.863209)",,,,
"[251432608, 822624923, 822624924]",,,residential,False,True,99.34599999999999,"LINESTRING (124.4450717 6.8628016, 124.4449979 6.8629427, 124.4449174 6.8630786, 124.4446197 6.8635739)",,,yes,
867696207,,,residential,False,False,79.222,"LINESTRING (124.4456604 6.863209, 124.4450717 6.8628016)",,,,
335253902,,,unclassified,False,True,174.563,"LINESTRING (124.4456604 6.863209, 124.4461169 6.8626348, 124.4465729 6.8620523, 124.4466341 6.8619721)",,,,
"[822635466, 335253901]",,,unclassified,False,True,281.135,"LINESTRING (124.4456604 6.863209, 124.4462237 6.8635845, 124.4462934 6.8635685, 124.4463551 6.8635499, 124.4464061 6.8635286, 124.4464892 6.863502, 124.4465563 6.8634807, 124.4466099 6.8634594, 124.4466555 6.8634354, 124.446736 6.8633555, 124.4469184 6.8631318, 124.4475326 6.8623409)",,,,
335897175,,,residential,False,True,16.399,"LINESTRING (124.4488469 6.8645578, 124.4487892 6.8646937)",,,,
867696206,,,residential,False,True,115.087,"LINESTRING (124.4488469 6.8645578, 124.4487905 6.8645379, 124.4487369 6.8645086, 124.4486833 6.8644899, 124.4486216 6.8644606, 124.4485518 6.864418, 124.4481388 6.8641864, 124.4479242 6.8640798)",,,,
251432615,,,residential,False,False,115.647,"LINESTRING (124.4400426 6.8625144, 124.4408996 6.8631125)",,,,
156178362,2,Maganoy-Tuka Road,primary,False,True,155.503,"LINESTRING (124.4488254 6.8628961, 124.4475326 6.8623409)",,,,
822635465,,,residential,False,False,166.7,"LINESTRING (124.4488254 6.8628961, 124.4487637 6.8630519, 124.4487101 6.8631505, 124.4486484 6.8632676, 124.4485921 6.8633528, 124.4485277 6.8634407, 124.448466 6.8635179, 124.4483614 6.8636404, 124.4482487 6.8637629, 124.4479242 6.8640798)",,,,
339124651,,,residential,False,False,121.967,"LINESTRING (124.4479242 6.8640798, 124.4478759 6.8640532, 124.4478089 6.8640372, 124.4477472 6.8640292, 124.4476211 6.8640426, 124.4475621 6.8640692, 124.4475165 6.8641118, 124.4474548 6.864173, 124.4474146 6.8642023, 124.447377 6.8642263, 124.4473207 6.8642529, 124.4472536 6.8642716, 124.4471517 6.8642955, 124.4470257 6.8643248, 124.4469157 6.8643621)",,,,
822635465,,,residential,False,True,166.70000000000002,"LINESTRING (124.4479242 6.8640798, 124.4482487 6.8637629, 124.4483614 6.8636404, 124.448466 6.8635179, 124.4485277 6.8634407, 124.4485921 6.8633528, 124.4486484 6.8632676, 124.4487101 6.8631505, 124.4487637 6.8630519, 124.4488254 6.8628961)",,,,
867696206,,,residential,False,False,115.087,"LINESTRING (124.4479242 6.8640798, 124.4481388 6.8641864, 124.4485518 6.864418, 124.4486216 6.8644606, 124.4486833 6.8644899, 124.4487369 6.8645086, 124.4487905 6.8645379, 124.4488469 6.8645578)",,,,
339124651,,,residential,False,True,121.96700000000003,"LINESTRING (124.4469157 6.8643621, 124.4470257 6.8643248, 124.4471517 6.8642955, 124.4472536 6.8642716, 124.4473207 6.8642529, 124.447377 6.8642263, 124.4474146 6.8642023, 124.4474548 6.864173, 124.4475165 6.8641118, 124.4475621 6.8640692, 124.4476211 6.8640426, 124.4477472 6.8640292, 124.4478089 6.8640372, 124.4478759 6.8640532, 124.4479242 6.8640798)",,,,
251432617,,,residential,False,True,249.31099999999998,"LINESTRING (124.4421382 6.8654334, 124.4419187 6.8652995, 124.4412643 6.8649, 124.4410443 6.8647616, 124.4407198 6.8645645, 124.4402226 6.8642462)",,,,
822233957,4,Cotabato-Koronadal Highway,trunk,False,True,42.457,"LINESTRING (124.4421382 6.8654334, 124.4422503 6.8652407, 124.4423345 6.8651051)",1,60,,
251432608,,,residential,False,False,9.361,"LINESTRING (124.4445766 6.8636464, 124.4446197 6.8635739)",,,,
251432608,,,residential,False,True,103.55,"LINESTRING (124.4445766 6.8636464, 124.444098 6.8644473)",,,,
