osmid,lanes,highway,oneway,reversed,length,name,bridge,geometry,ref,maxspeed
152457655,1.5,tertiary,False,True,45.047,Captain Yoyo Jocson,,"LINESTRING (120.7664988 14.3183281, 120.7661368 14.3181254)",,
152459153,1,residential,False,True,78.469,,,"LINESTRING (120.7664988 14.3183281, 120.7669184 14.3177513)",,
"[1237434529, 152457794, 152457859, 152457680, 152457655]",1.5,tertiary,False,"[False, True]",364.034,Captain Yoyo Jocson,yes,"LINESTRING (120.7664988 14.3183281, 120.7668624 14.3185318, 120.7670736 14.3186691, 120.7672496 14.3188608, 120.7674868 14.3191365, 120.7677442 14.31941, 120.767835 14.3196804, 120.7681406 14.319739, 120.768297 14.3197624, 120.768313 14.3196208, 120.7687499 14.3196508, 120.7687219 14.3199781)",,
152459153,1,residential,False,False,225.63400000000001,,,"LINESTRING (120.7664988 14.3183281, 120.7658413 14.3191378, 120.7652674 14.3199676)",,
879491979,2,secondary,False,True,93.431,Naic-Ternate Road,,"LINESTRING (120.7600194 14.3183904, 120.7608295 14.3180906)",,
152457759,2,tertiary,False,False,101.264,NIA Sapa Road,,"LINESTRING (120.7600194 14.3183904, 120.7601771 14.3178509, 120.7603832 14.3175635)",,
152457825,,unclassified,False,False,21.582,A. Mabini,,"LINESTRING (120.7637817 14.318467, 120.7635909 14.3184079)",,
152457825,,unclassified,False,True,65.918,A. Mabini,,"LINESTRING (120.7637817 14.318467, 120.764354 14.3186766)",,
152457843,,residential,False,True,157.654,,,"LINESTRING (120.7637817 14.318467, 120.7644293 14.3171956)",,
"[879491977, 152457802]",,residential,False,False,112.054,Pelaez,,"LINESTRING (120.7627744 14.3193182, 120.7630071 14.3193417, 120.7633674 14.3193437, 120.7634692 14.3189232)",,
152457656,2,secondary,False,False,57.277,J. Poblete Street,,"LINESTRING (120.7648265 14.3196798, 120.7652674 14.3199676)",402,40
152457656,2,secondary,False,True,64.172,J. Poblete Street,,"LINESTRING (120.7648265 14.3196798, 120.7648125 14.3196718, 120.7643284 14.3193634)",402,40
152457656,2,secondary,False,True,57.277,J. Poblete Street,,"LINESTRING (120.7652674 14.3199676, 120.7648265 14.3196798)",402,40
"[152457656, 78959755, 78959773]",2,secondary,False,False,100.544,"['J. Poblete Street', 'Sabang Road', 'Kay-Alamang Bridge']",yes,"LINESTRING (120.7652674 14.3199676, 120.7653874 14.3200568, 120.7655416 14.320201, 120.7658225 14.3205235, 120.7659033 14.3206248)",402,40
152459153,1,residential,False,True,225.63400000000001,,,"LINESTRING (120.7652674 14.3199676, 120.7658413 14.3191378, 120.7664988 14.3183281)",,
"[1237434529, 152457794, 152457859, 152457680, 152457655]",1.5,tertiary,False,"[False, True]",364.03399999999993,Captain Yoyo Jocson,yes,"LINESTRING (120.7687219 14.3199781, 120.7687499 14.3196508, 120.768313 14.3196208, 120.768297 14.3197624, 120.7681406 14.319739, 120.767835 14.3196804, 120.7677442 14.31941, 120.7674868 14.3191365, 120.7672496 14.3188608, 120.7670736 14.3186691, 120.7668624 14.3185318, 120.7664988 14.3183281)",,
"[1237434530, 1237434531, 892519628]",,tertiary,False,"[False, True]",189.454,,,"LINESTRING (120.7687219 14.3199781, 120.7686628 14.3202986, 120.7682062 14.3202751, 120.7681602 14.3205448, 120.7681461 14.3206412, 120.768145 14.3206484, 120.768662 14.3208163, 120.7686896 14.3208272)",,
