osmid,name,highway,oneway,reversed,length,geometry,lanes
60146379,Kasoy Street,residential,False,False,154.301,"LINESTRING (125.1745259 6.1155358, 125.1759215 6.1155318)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,True,88.378,"LINESTRING (125.174544 6.1119973, 125.174543 6.1127921)",
60146363,Narangita Street,residential,False,False,154.394,"LINESTRING (125.174544 6.1119973, 125.1759404 6.1120074)",
60146363,Narangita Street,residential,False,True,75.884,"LINESTRING (125.174544 6.1119973, 125.1742458 6.1120011, 125.1742027 6.111999, 125.1741625 6.1119884, 125.1741121 6.1119683, 125.1739172 6.1118141)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,False,72.819,"LINESTRING (125.1745349 6.1142322, 125.1745449 6.1135774)",
57886932,"Teodulo Ramirez, Sr. Street",residential,False,True,72.458,"LINESTRING (125.1745349 6.1142322, 125.1745289 6.1148838)",
60146369,Camia Street,residential,False,False,153.365,"LINESTRING (125.1745349 6.1142322, 125.1759219 6.1142516)",
60146366,Lapu-Lapu Street,residential,False,False,72.64,"LINESTRING (125.1738879 6.1135792, 125.1745449 6.1135774)",
60146366,Lapu-Lapu Street,residential,False,True,77.845,"LINESTRING (125.1738879 6.1135792, 125.1731839 6.1135688)",
60146371,Sampaguita Street,residential,False,False,145.201,"LINESTRING (125.1738879 6.1135792, 125.1738799 6.114885)",2
60237876,Balagtas Street,residential,False,True,78.665,"LINESTRING (125.170315 6.1135772, 125.1696035 6.113577)",
791211459,Pendatun Avenue,secondary,False,False,88.203,"LINESTRING (125.170315 6.1135772, 125.170322 6.112784)",4
791211459,Pendatun Avenue,secondary,False,True,144.606,"LINESTRING (125.170315 6.1135772, 125.1702839 6.1148773)",4
60237882,Abubacar Banisil Street,residential,False,False,113.671,"LINESTRING (125.1691728 6.111315, 125.169912 6.1106045)",
60237882,Abubacar Banisil Street,residential,False,True,179.442,"LINESTRING (125.1691728 6.111315, 125.1675501 6.1113453)",
60237888,Lukban Street,residential,False,True,70.535,"LINESTRING (125.1691728 6.111315, 125.1696077 6.1117791)",
53127795,M. Quezon Avenue,tertiary,False,False,87.533,"LINESTRING (125.1675484 6.1135699, 125.1675481 6.1127827)",4
53127795,M. Quezon Avenue,tertiary,False,True,74.302,"LINESTRING (125.1675484 6.1135699, 125.1675436 6.1142381)",4
60237876,Balagtas Street,residential,False,False,153.329,"LINESTRING (125.1675484 6.1135699, 125.168935 6.1135936)",
57743591,J. P. Laurel Avenue,tertiary,False,False,71.724,"LINESTRING (125.1695851 6.1163398, 125.1689364 6.116335)",2
57743591,J. P. Laurel Avenue,tertiary,False,True,76.41,"LINESTRING (125.1695851 6.1163398, 125.1702759 6.1163601)",2
60237872,Abdawa Street,residential,False,False,162.651,"LINESTRING (125.1695851 6.1163398, 125.169598 6.1148771)",
1226928867,M. Quezon Avenue,tertiary,False,False,85.444,"LINESTRING (125.1709317 6.1093388, 125.1717045 6.1093413)",4
1226928867,M. Quezon Avenue,tertiary,False,True,72.287,"LINESTRING (125.1709317 6.1093388, 125.1702779 6.109337)",4
357084106,Manuela Jandoc Street,residential,False,False,219.599,"LINESTRING (125.1709317 6.1093388, 125.1709522 6.1103608, 125.1709513 6.1105151, 125.1703667 6.1110624)",
60237876,Balagtas Street,residential,False,False,73.934,"LINESTRING (125.168935 6.1135936, 125.1696035 6.113577)",
60237876,Balagtas Street,residential,False,True,153.329,"LINESTRING (125.168935 6.1135936, 125.1675484 6.1135699)",
60237887,C. M. Recto Street,residential,False,False,90.347,"LINESTRING (125.168935 6.1135936, 125.1689322 6.1127811)",
60237887,C. M. Recto Street,residential,False,True,74.101,"LINESTRING (125.168935 6.1135936, 125.1689373 6.11426)",
60237883,Santol Street,residential,False,False,72.817,"LINESTRING (125.1689394 6.1148736, 125.169598 6.1148771)",
60237883,Santol Street,residential,False,True,155.287,"LINESTRING (125.1689394 6.1148736, 125.1675349 6.1148815)",
60237887,C. M. Recto Street,residential,False,False,68.23,"LINESTRING (125.1689394 6.1148736, 125.1689373 6.11426)",
60237887,C. M. Recto Street,residential,False,True,73.156,"LINESTRING (125.1689394 6.1148736, 125.1689417 6.1155315)",
53127795,M. Quezon Avenue,tertiary,False,False,73.191,"LINESTRING (125.1675453 6.1120035, 125.1675501 6.1113453)",4
53127795,M. Quezon Avenue,tertiary,False,True,86.644,"LINESTRING (125.1675453 6.1120035, 125.1675481 6.1127827)",4
1051181429,,residential,False,False,153.041,"LINESTRING (125.1675453 6.1120035, 125.1689295 6.1120042)",
53127795,M. Quezon Avenue,tertiary,False,False,51.73,"LINESTRING (125.1675501 6.1113453, 125.1675543 6.1108801)",4
