osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
52483476,,Oostendestraat,tertiary,,True,False,53.927,"LINESTRING (3.0985527 51.065627, 3.0988026 51.0655907, 3.0990532 51.0655844, 3.0993169 51.0655968)",,,
57936202,,Bruggestraat,tertiary,30,False,False,75.992,"LINESTRING (3.1027248 51.0679524, 3.1028249 51.0680563, 3.1029879 51.0682254, 3.1031355 51.0683812, 3.10328 51.06854)",,,
"[49055849, 658500006]",,Vestingstraat,residential,,True,False,114.71799999999999,"LINESTRING (3.1027248 51.0679524, 3.1026312 51.0679853, 3.1024053 51.0680647, 3.1019207 51.068235, 3.10178 51.0682643, 3.1015449 51.0682792, 3.101385 51.0682777, 3.1012741 51.068274, 3.1012135 51.0682593)",,,
49056657,,Zuidstraat,residential,30,False,True,50.602000000000004,"LINESTRING (3.1037795 51.0629052, 3.1036701 51.0629228, 3.1031818 51.0631538)",,,
49056658,,Bassinstraat,residential,30,False,False,87.739,"LINESTRING (3.1037795 51.0629052, 3.1038406 51.0629178, 3.1049726 51.0631509)",,,
94583785,,Lichterveldestraat,residential,30,True,False,212.967,"LINESTRING (3.1037795 51.0629052, 3.1044095 51.0619017, 3.1045668 51.0615041, 3.1046991 51.0612119, 3.1047322 51.0611634, 3.1048045 51.0611099)",,,
36987033,,Kortemarkstraat,tertiary,50,False,True,165.48899999999998,"LINESTRING (3.0997197 51.0617138, 3.0999155 51.0617239, 3.1000487 51.0617307, 3.1001666 51.0617678, 3.1002504 51.0617941, 3.1014967 51.062402, 3.1015735 51.0624331, 3.1017102 51.0624605)",,,
"[49056656, 49056655]",,Karel de Ghelderelaan,residential,,False,False,130.68900000000002,"LINESTRING (3.0997197 51.0617138, 3.099631 51.0618106, 3.0994922 51.0619672, 3.0993761 51.0620414, 3.0991732 51.062123, 3.0985673 51.0623665, 3.0983518 51.0624803)",,,
1242066327,,Gitsstraat,residential,50,False,True,91.592,"LINESTRING (3.0997197 51.0617138, 3.099782 51.06167, 3.0998021 51.061627, 3.0997297 51.0613261, 3.0996157 51.0609165)",,,
784904450,,Brildam,residential,50,False,True,104.863,"LINESTRING (3.1065287 51.0665522, 3.1065896 51.066622, 3.1066567 51.0666671, 3.1067365 51.0667056, 3.1068287 51.0667316, 3.1068954 51.0667433, 3.1069185 51.0667473, 3.1072794 51.0668099, 3.1076882 51.0668793, 3.1077179 51.0668829, 3.1078679 51.0669012)",,,
"[932227820, 49276863]",,Papebrugstraat,residential,50,False,False,136.513,"LINESTRING (3.1065287 51.0665522, 3.1063745 51.0665781, 3.106294 51.0665957, 3.1062415 51.0666044, 3.1061331 51.0666187, 3.1060596 51.066622, 3.1059889 51.0666167, 3.1058366 51.0665999, 3.1052852 51.0665151, 3.1051555 51.0664952, 3.1048635 51.0664503, 3.104754 51.0664116, 3.1046952 51.0663482)",,,
"[59282481, 970846396]",,Ganzevijverstraat,residential,50,False,True,133.986,"LINESTRING (3.1065287 51.0665522, 3.1064802 51.066467, 3.10647 51.0663962, 3.1065315 51.0660881, 3.1066119 51.0655729, 3.1066688 51.0653607)",,,
"[1032954811, 81954348]",,"['Aartrijkestraat', 'Burg']",unclassified,,True,False,99.878,"LINESTRING (3.1012921 51.0676051, 3.1012964 51.067452, 3.1012888 51.0673354, 3.1013114 51.0671645, 3.1013141 51.0671442, 3.1013347 51.0669394, 3.1013499 51.0668487, 3.1013972 51.0667921, 3.1014954 51.0667474)",,,
81977638,,Burg,tertiary,30,False,True,65.095,"LINESTRING (3.1014954 51.0667474, 3.1014048 51.0666384, 3.101339 51.0665289, 3.1013471 51.066421, 3.1013853 51.0662882, 3.1013774 51.0661859)",,,
432889535,,Burg,tertiary,30,True,False,60.69799999999999,"LINESTRING (3.1014954 51.0667474, 3.1017795 51.0671004, 3.1018875 51.0672345)",,,
56684803,2,Stationsstraat,residential,50,False,True,15.49,"LINESTRING (3.105302 51.0647846, 3.1050804 51.064781)",,,
52830465,,Viaductstraat,residential,50,True,False,56.446,"LINESTRING (3.105302 51.0647846, 3.1053196 51.0648818, 3.1053256 51.0649524, 3.1052877 51.0650586, 3.1051964 51.0652816)",,,
54076995,2,Hertog van Arenbergstraat,residential,50,False,True,89.009,"LINESTRING (3.1011839 51.0607006, 3.1014829 51.060684, 3.1022751 51.0607521, 3.1024469 51.0607352)",,,
54077007,,Hertog van Arenbergstraat,residential,50,True,False,112.41399999999999,"LINESTRING (3.0996157 51.0609165, 3.1002467 51.0607978, 3.1011839 51.0607006)",,,
1242066327,,Gitsstraat,residential,50,False,False,91.592,"LINESTRING (3.0996157 51.0609165, 3.0997297 51.0613261, 3.0998021 51.061627, 3.099782 51.06167, 3.0997197 51.0617138)",,,
1135386246,,August Vermeylenlaan,residential,50,False,False,46.974,"LINESTRING (3.1069357 51.0646455, 3.1074204 51.0643528)",,,
1135386247,,Guido Gezellelaan,residential,50,False,False,75.371,"LINESTRING (3.1069357 51.0646455, 3.1068649 51.0648792, 3.1067447 51.0651552, 3.1066894 51.065305)",,,
