osmid,highway,oneway,reversed,length,geometry,ref
791502985,residential,False,True,69.83,"LINESTRING (76.8058813 24.237029, 76.8058008 24.2364616, 76.8058169 24.2364077)",
791502982,residential,False,False,57.446,"LINESTRING (76.8060046 24.2370877, 76.8061334 24.237357, 76.8062461 24.237445, 76.806289 24.2375233)",
791502982,residential,False,True,14.828,"LINESTRING (76.8060046 24.2370877, 76.8059779 24.2370536, 76.8058813 24.237029)",
791502983,residential,False,False,103.732,"LINESTRING (76.8060046 24.2370877, 76.8058598 24.2371807, 76.8055594 24.2372541, 76.8050444 24.2373861)",
791502983,residential,False,True,148.972,"LINESTRING (76.8060046 24.2370877, 76.8070775 24.2368921, 76.8072438 24.2368333, 76.8072814 24.2366572)",
791502983,residential,False,True,19.028,"LINESTRING (76.8072814 24.2366572, 76.807394 24.2365203)",
791502983,residential,False,False,148.972,"LINESTRING (76.8072814 24.2366572, 76.8072438 24.2368333, 76.8070775 24.2368921, 76.8060046 24.2370877)",
791502984,residential,False,True,153.199,"LINESTRING (76.8072814 24.2366572, 76.806761 24.2366621, 76.8063533 24.2366034, 76.8058169 24.2364077)",
791504557,residential,False,True,36.261,"LINESTRING (76.8050444 24.2373861, 76.8050928 24.2377092)",
791502983,residential,False,False,86.62599999999999,"LINESTRING (76.8050444 24.2373861, 76.8046743 24.2374106, 76.8043148 24.2373959, 76.8041915 24.2374008)",
791502983,residential,False,True,103.732,"LINESTRING (76.8050444 24.2373861, 76.8055594 24.2372541, 76.8058598 24.2371807, 76.8060046 24.2370877)",
791502983,residential,False,False,113.345,"LINESTRING (76.8041915 24.2374008, 76.8041271 24.2373568, 76.8039393 24.2373421, 76.8036497 24.2374008, 76.8034834 24.2373715, 76.8034726 24.2373274, 76.8034941 24.2370241)",
791502983,residential,False,True,86.626,"LINESTRING (76.8041915 24.2374008, 76.8043148 24.2373959, 76.8046743 24.2374106, 76.8050444 24.2373861)",
791504558,residential,False,True,47.068,"LINESTRING (76.8041915 24.2374008, 76.8041809 24.2374597, 76.804256 24.2378168)",
791502983,residential,False,False,30.811,"LINESTRING (76.8034941 24.2370241, 76.8034726 24.2369654, 76.8034726 24.2367502)",
791502983,residential,False,True,113.345,"LINESTRING (76.8034941 24.2370241, 76.8034726 24.2373274, 76.8034834 24.2373715, 76.8036497 24.2374008, 76.8039393 24.2373421, 76.8041271 24.2373568, 76.8041915 24.2374008)",
791504546,residential,False,True,74.29,"LINESTRING (76.8034941 24.2370241, 76.8038535 24.2369801, 76.8039607 24.2370095, 76.8042186 24.2369997)",
791502983,residential,False,True,30.811,"LINESTRING (76.8034726 24.2367502, 76.8034726 24.2369654, 76.8034941 24.2370241)",
791502987,residential,False,False,12.074,"LINESTRING (76.8053394 24.2361631, 76.8053234 24.2360555)",
791502984,residential,False,False,56.549,"LINESTRING (76.8053394 24.2361631, 76.8055165 24.2362023, 76.8058169 24.2364077)",
791502986,residential,False,False,98.63900000000001,"LINESTRING (76.8053394 24.2361631, 76.805318 24.2362023, 76.8052483 24.2365398, 76.8052161 24.2370388)",
791502984,residential,False,False,153.199,"LINESTRING (76.8058169 24.2364077, 76.8063533 24.2366034, 76.806761 24.2366621, 76.8072814 24.2366572)",
791502984,residential,False,True,56.549,"LINESTRING (76.8058169 24.2364077, 76.8055165 24.2362023, 76.8053394 24.2361631)",
791502985,residential,False,False,69.83,"LINESTRING (76.8058169 24.2364077, 76.8058008 24.2364616, 76.8058813 24.237029)",
791502987,residential,False,True,12.074,"LINESTRING (76.8053234 24.2360555, 76.8053394 24.2361631)",
791502989,residential,False,False,51.368,"LINESTRING (76.8053234 24.2360555, 76.8048191 24.2360996)",
791502987,residential,False,False,105.017,"LINESTRING (76.8053234 24.2360555, 76.8052429 24.2355321, 76.8052322 24.2351163)",
791502989,residential,False,True,26.722,"LINESTRING (76.8053234 24.2360555, 76.8055379 24.236036, 76.8055808 24.2360164)",
791502987,residential,False,False,221.338,"LINESTRING (76.8052322 24.2351163, 76.8052161 24.2346271, 76.8052912 24.2342993, 76.8053824 24.2342357, 76.8057525 24.2341868, 76.8058008 24.2341917, 76.8058598 24.2345048, 76.8059295 24.2346417, 76.8059617 24.2348472)",
791502987,residential,False,True,105.017,"LINESTRING (76.8052322 24.2351163, 76.8052429 24.2355321, 76.8053234 24.2360555)",
791502991,residential,False,True,118.89500000000001,"LINESTRING (76.8052322 24.2351163, 76.8056291 24.2350918, 76.8059832 24.2350282, 76.8063962 24.2350527)",
791502987,residential,False,True,221.338,"LINESTRING (76.8059617 24.2348472, 76.8059295 24.2346417, 76.8058598 24.2345048, 76.8058008 24.2341917, 76.8057525 24.2341868, 76.8053824 24.2342357, 76.8052912 24.2342993, 76.8052161 24.2346271, 76.8052322 24.2351163)",
791502988,residential,False,False,12.687,"LINESTRING (76.8061387 24.2354489, 76.806246 24.2353902)",
791502988,residential,False,True,87.18,"LINESTRING (76.8061387 24.2354489, 76.805951 24.2355321, 76.8058276 24.2356446, 76.8055808 24.2360164)",
791502990,residential,False,False,26.96,"LINESTRING (76.8061387 24.2354489, 76.8061602 24.2355174, 76.8061602 24.2356886)",
