osmid,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction
298103767,residential,False,True,7.503,,,"LINESTRING (77.2911889 30.1210873, 77.2911285 30.12113)",,
298106956,residential,False,True,42.993,,,"LINESTRING (77.2845554 30.1211734, 77.2843191 30.1215016)",,
298106981,residential,False,True,79.559,,,"LINESTRING (77.287661 30.1211267, 77.2871241 30.1205824)",,
298130176,residential,False,False,46.099000000000004,,,"LINESTRING (77.287661 30.1211267, 77.2878119 30.1209783, 77.2878581 30.1209423, 77.2879237 30.1209041, 77.2880255 30.1208691)",,
"[298130176, 298107005]",residential,False,True,30.828000000000003,,,"LINESTRING (77.287661 30.1211267, 77.2875543 30.1212424, 77.287532 30.1212556, 77.2875085 30.1212531, 77.2874831 30.1212425, 77.287439 30.1211949)",,
298106993,residential,False,False,33.358,,,"LINESTRING (77.2849867 30.1212701, 77.2852529 30.1210778)",,
298106966,residential,False,False,38.62,,,"LINESTRING (77.2840644 30.1212803, 77.2843212 30.1210133)",,
298106944,residential,False,False,32.997,,,"LINESTRING (77.2840644 30.1212803, 77.2840118 30.1212159, 77.2839744 30.1211471, 77.2839059 30.1210182)",,
298106944,residential,False,True,34.735,,,"LINESTRING (77.2840644 30.1212803, 77.2842482 30.1214454, 77.2843191 30.1215016)",,
298103740,residential,False,True,121.705,,,"LINESTRING (77.2857348 30.1212819, 77.2862997 30.1222613)",,
298106942,residential,False,True,22.551,,,"LINESTRING (77.2857348 30.1212819, 77.2858802 30.1211228)",,
298103740,residential,False,False,39.75,,,"LINESTRING (77.2857348 30.1212819, 77.2856561 30.1211662, 77.2855358 30.1209687)",,
298106944,residential,False,False,93.032,,,"LINESTRING (77.2857348 30.1212819, 77.2851732 30.1215719, 77.2850844 30.1216052, 77.2849733 30.1216303, 77.2848723 30.1216398)",,
298106944,residential,False,True,2.918,,,"LINESTRING (77.2843191 30.1215016, 77.2843459 30.1215139)",,
298106956,residential,False,False,42.993,,,"LINESTRING (77.2843191 30.1215016, 77.2845554 30.1211734)",,
298106944,residential,False,False,34.735,,,"LINESTRING (77.2843191 30.1215016, 77.2842482 30.1214454, 77.2840644 30.1212803)",,
298106944,residential,False,False,2.918,,,"LINESTRING (77.2843459 30.1215139, 77.2843191 30.1215016)",,
298106944,residential,False,True,53.203,,,"LINESTRING (77.2843459 30.1215139, 77.2844359 30.1215609, 77.2845362 30.1215903, 77.2847169 30.1216294, 77.2848723 30.1216398)",,
