osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
1187911153,Nazareth - Eral Road,secondary,False,True,41.919,"LINESTRING (77.9708908 8.561797, 77.9708391 8.5614235)",,MDR1160,
1241530167,Jubilee Street,residential,False,True,144.913,"LINESTRING (77.9708908 8.561797, 77.9722022 8.5616675)",,,
390023357,,residential,False,False,136.78199999999998,"LINESTRING (77.9708908 8.561797, 77.9697426 8.5619619, 77.969689 8.5620255)",,,
390023358,,residential,False,False,35.855,"LINESTRING (77.969689 8.5620255, 77.9695126 8.5617543)",,,
390023357,,residential,False,False,37.283,"LINESTRING (77.969689 8.5620255, 77.969641 8.5620596, 77.9693644 8.5621024)",,,
390023357,,residential,False,True,136.78199999999998,"LINESTRING (77.969689 8.5620255, 77.9697426 8.5619619, 77.9708908 8.561797)",,,
390023358,,residential,False,True,146.239,"LINESTRING (77.969689 8.5620255, 77.9698446 8.5622032, 77.9709292 8.5620754)",,,
390023357,,residential,False,True,37.283,"LINESTRING (77.9693644 8.5621024, 77.969641 8.5620596, 77.969689 8.5620255)",,,
390023358,,residential,False,False,40.165,"LINESTRING (77.9695126 8.5617543, 77.969315 8.5614505)",,,
390023358,,residential,False,True,35.855,"LINESTRING (77.9695126 8.5617543, 77.969689 8.5620255)",,,
1241530165,,residential,False,True,150.423,"LINESTRING (77.9695126 8.5617543, 77.9708391 8.5614235)",,,
390023358,,residential,False,False,25.788,"LINESTRING (77.969315 8.5614505, 77.9691882 8.5612554)",,,
390023358,,residential,False,True,40.165,"LINESTRING (77.969315 8.5614505, 77.9695126 8.5617543)",,,
390023360,,residential,False,True,167.856,"LINESTRING (77.969315 8.5614505, 77.9698097 8.5612961, 77.970789 8.5610607)",,,
390023355,நாட்டையர் தெரு,residential,False,False,154.018,"LINESTRING (77.9735541 8.5611768, 77.9730123 8.5612139, 77.9721551 8.5612405)",,,
