osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
123986280,False,,,unclassified,,False,50.808,"LINESTRING (140.1515306 35.9823785, 140.1516306 35.9828282)",
123986280,False,,,unclassified,,True,94.631,"LINESTRING (140.1515306 35.9823785, 140.1513486 35.9815403)",
203709298,False,,,residential,,False,74.263,"LINESTRING (140.1515306 35.9823785, 140.15073 35.9825408)",
123986274,False,,,unclassified,,False,123.363,"LINESTRING (140.1508892 35.9784534, 140.1508962 35.978506, 140.1510377 35.9795563)",
124077193,False,2,ぶどう園通り,tertiary,40,False,36.942,"LINESTRING (140.1508892 35.9784534, 140.1505222 35.9784051, 140.150484 35.9784)",
124077193,False,2,ぶどう園通り,tertiary,40,True,68.55,"LINESTRING (140.1508892 35.9784534, 140.1514149 35.978514, 140.1514993 35.9785237, 140.1516434 35.9785403)",
109088466,False,,,unclassified,,True,41.468,"LINESTRING (140.1457177 35.9802799, 140.14566 35.9799099)",
124077188,False,,,unclassified,,False,147.613,"LINESTRING (140.1457177 35.9802799, 140.1473572 35.9802339)",
264447457,False,,,residential,,False,81.823,"LINESTRING (140.1457177 35.9802799, 140.1448094 35.980315)",
601296755,False,,,unclassified,,True,48.846000000000004,"LINESTRING (140.1457177 35.9802799, 140.1457275 35.9805047, 140.145733 35.980719)",
123986277,False,2,,tertiary,,False,69.288,"LINESTRING (140.150348 35.9802287, 140.1504426 35.9796103)",
123986277,False,2,,tertiary,,True,33.981,"LINESTRING (140.150348 35.9802287, 140.1503094 35.9805327)",
264447440,False,,,residential,,False,71.157,"LINESTRING (140.150348 35.9802287, 140.1511361 35.9802815)",
124077188,False,,,unclassified,,True,141.92,"LINESTRING (140.150348 35.9802287, 140.1491436 35.9801987, 140.1487715 35.9801903)",
124077193,False,2,ぶどう園通り,tertiary,40,True,6.287,"LINESTRING (140.1462057 35.9766914, 140.146265 35.9767213)",
124077194,False,,,unclassified,,True,58.715,"LINESTRING (140.1462057 35.9766914, 140.1457642 35.9770802)",
