osmid,highway,oneway,reversed,length,lanes,width,geometry,bridge,maxspeed
61434138,unclassified,False,True,37.606,,,"LINESTRING (130.4724292 33.5353159, 130.4726737 33.5355858)",,
61434139,unclassified,False,False,88.195,,,"LINESTRING (130.4724292 33.5353159, 130.4732667 33.5349394)",,
61434139,unclassified,False,True,29.522,,,"LINESTRING (130.4724292 33.5353159, 130.4721489 33.535442)",,
61434138,unclassified,False,False,61.278,,,"LINESTRING (130.4724292 33.5353159, 130.4722492 33.5350814, 130.4720385 33.5348728)",,
172131872,unclassified,False,True,46.573,,,"LINESTRING (130.4720385 33.5348728, 130.4716785 33.5345806)",,
729010544,unclassified,False,False,23.52,,,"LINESTRING (130.4720385 33.5348728, 130.4718706 33.5350314)",,
729010544,unclassified,False,True,113.444,,,"LINESTRING (130.4720385 33.5348728, 130.4728483 33.5341078)",,
61434138,unclassified,False,True,61.278,,,"LINESTRING (130.4720385 33.5348728, 130.4722492 33.5350814, 130.4724292 33.5353159)",,
61434139,unclassified,False,False,29.522,,,"LINESTRING (130.4721489 33.535442, 130.4724292 33.5353159)",,
61434144,unclassified,False,False,52.845,,,"LINESTRING (130.4721489 33.535442, 130.4720394 33.5352207, 130.4718706 33.5350314)",,
61434144,unclassified,False,True,52.313,,,"LINESTRING (130.4721489 33.535442, 130.472217 33.5355772, 130.4722891 33.5358954)",,
729010544,unclassified,False,True,23.52,,,"LINESTRING (130.4718706 33.5350314, 130.4720385 33.5348728)",,
61434144,unclassified,False,False,49.638,,,"LINESTRING (130.4718706 33.5350314, 130.4717413 33.5349301, 130.4715691 33.5348849, 130.4713919 33.5348754)",,
61434144,unclassified,False,True,52.845,,,"LINESTRING (130.4718706 33.5350314, 130.4720394 33.5352207, 130.4721489 33.535442)",,
172017140,unclassified,False,False,42.733,,,"LINESTRING (130.4712837 33.5357251, 130.4711259 33.535364)",,
172017140,unclassified,False,True,50.111,,,"LINESTRING (130.4712837 33.5357251, 130.4714984 33.5361387)",,
61434141,unclassified,False,False,87.03999999999999,,,"LINESTRING (130.4712837 33.5357251, 130.4709034 33.5358891, 130.47066 33.5357781, 130.4705538 33.5356048)",,
61434141,unclassified,False,False,24.689,,,"LINESTRING (130.4705538 33.5356048, 130.4704307 33.5354079)",,
61434141,unclassified,False,True,87.03999999999999,,,"LINESTRING (130.4705538 33.5356048, 130.47066 33.5357781, 130.4709034 33.5358891, 130.4712837 33.5357251)",,
61434143,unclassified,False,False,59.41799999999999,,,"LINESTRING (130.4705538 33.5356048, 130.4708904 33.5354699, 130.4711259 33.535364)",,
61434141,unclassified,False,False,44.198,,,"LINESTRING (130.4704307 33.5354079, 130.4700297 33.5351928)",,
61434141,unclassified,False,True,24.689,,,"LINESTRING (130.4704307 33.5354079, 130.4705538 33.5356048)",,
61434144,unclassified,False,True,33.346,,,"LINESTRING (130.4704307 33.5354079, 130.470668 33.5351825)",,
56453002,unclassified,False,False,9.909,,,"LINESTRING (130.4700297 33.5351928, 130.4699705 33.535267)",,
56453002,unclassified,False,True,32.188,,,"LINESTRING (130.4700297 33.5351928, 130.4701993 33.5349402)",,
61434141,unclassified,False,True,44.198,,,"LINESTRING (130.4700297 33.5351928, 130.4704307 33.5354079)",,
61434142,unclassified,False,True,78.193,,,"LINESTRING (130.4725188 33.5366323, 130.4731283 33.5361461)",,
172017167,unclassified,False,False,5.118,,,"LINESTRING (130.4725188 33.5366323, 130.4725168 33.5366783)",,
61434144,unclassified,False,False,58.039,,,"LINESTRING (130.4725188 33.5366323, 130.472471 33.5365131, 130.4723761 33.5361248)",,
172017167,unclassified,False,True,5.118,,,"LINESTRING (130.4725168 33.5366783, 130.4725188 33.5366323)",,
172017166,unclassified,False,True,70.935,,,"LINESTRING (130.4725168 33.5366783, 130.472937 33.5366409, 130.4729864 33.5366573, 130.4730335 33.5366909, 130.4731489 33.5368544)",,
172017167,unclassified,False,False,91.196,,,"LINESTRING (130.4725168 33.5366783, 130.4720786 33.5367563, 130.4719328 33.5367512, 130.4717258 33.5366596, 130.4716819 33.5365352)",,
61964647,unclassified,False,False,55.893,,,"LINESTRING (130.4716819 33.5365352, 130.4713791 33.5369699)",,
172017140,unclassified,False,False,47.256,,,"LINESTRING (130.4716819 33.5365352, 130.4714984 33.5361387)",,
172017167,unclassified,False,True,91.196,,,"LINESTRING (130.4716819 33.5365352, 130.4717258 33.5366596, 130.4719328 33.5367512, 130.4720786 33.5367563, 130.4725168 33.5366783)",,
172017140,unclassified,False,False,47.329,,,"LINESTRING (130.4711259 33.535364, 130.4709333 33.5349698)",,
172017140,unclassified,False,True,42.733,,,"LINESTRING (130.4711259 33.535364, 130.4712837 33.5357251)",,
61434143,unclassified,False,True,59.41799999999999,,,"LINESTRING (130.4711259 33.535364, 130.4708904 33.5354699, 130.4705538 33.5356048)",,
61434144,unclassified,False,False,34.118,,,"LINESTRING (130.4709333 33.5349698, 130.470668 33.5351825)",,
172017140,unclassified,False,False,62.572,,,"LINESTRING (130.4709333 33.5349698, 130.4704666 33.5345632)",,
172017140,unclassified,False,True,47.329,,,"LINESTRING (130.4709333 33.5349698, 130.4711259 33.535364)",,
61434144,unclassified,False,True,43.97,,,"LINESTRING (130.4709333 33.5349698, 130.4711526 33.5349059, 130.4713919 33.5348754)",,
56453002,unclassified,False,False,42.795,,,"LINESTRING (130.4704666 33.5345632, 130.4702347 33.534896)",,
56453002,unclassified,False,True,3.878,,,"LINESTRING (130.4704666 33.5345632, 130.4704902 33.5345344)",,
172017140,unclassified,False,True,62.572,,,"LINESTRING (130.4704666 33.5345632, 130.4709333 33.5349698)",,
61434144,unclassified,False,False,26.752,,,"LINESTRING (130.4723761 33.5361248, 130.4722891 33.5358954)",,
172131861,unclassified,False,False,56.381,,,"LINESTRING (130.4723761 33.5361248, 130.4729002 33.5358674)",,
61434144,unclassified,False,True,58.039,,,"LINESTRING (130.4723761 33.5361248, 130.472471 33.5365131, 130.4725188 33.5366323)",,
61434144,unclassified,False,False,33.346,,,"LINESTRING (130.470668 33.5351825, 130.4704307 33.5354079)",,
61434144,unclassified,False,True,34.118,,,"LINESTRING (130.470668 33.5351825, 130.4709333 33.5349698)",,
61434145,unclassified,False,True,51.262,,,"LINESTRING (130.470668 33.5351825, 130.4702347 33.534896)",,
56453002,unclassified,False,False,5.909,,,"LINESTRING (130.4702347 33.534896, 130.4701993 33.5349402)",,
56453002,unclassified,False,True,42.795,,,"LINESTRING (130.4702347 33.534896, 130.4704666 33.5345632)",,
61434145,unclassified,False,False,51.262,,,"LINESTRING (130.4702347 33.534896, 130.470668 33.5351825)",,
56453002,unclassified,False,False,42.681,,,"LINESTRING (130.4699705 33.535267, 130.4697739 33.5356141)",,
56453002,unclassified,False,True,9.909,,,"LINESTRING (130.4699705 33.535267, 130.4700297 33.5351928)",,
61434146,unclassified,False,False,76.764,,,"LINESTRING (130.4699705 33.535267, 130.46939 33.5347746)",,
56453001,unclassified,False,False,40.242,,,"LINESTRING (130.46939 33.5347746, 130.4690901 33.5350363)",,
61434146,unclassified,False,True,76.764,,,"LINESTRING (130.46939 33.5347746, 130.4699705 33.535267)",,
56453001,unclassified,False,True,107.50999999999999,,,"LINESTRING (130.46939 33.5347746, 130.4696831 33.5345112, 130.4701993 33.5349402)",,
56453001,unclassified,False,True,40.242,,,"LINESTRING (130.4690901 33.5350363, 130.46939 33.5347746)",,
59141304,unclassified,False,False,90.248,,,"LINESTRING (130.4690901 33.5350363, 130.4697739 33.5356141)",,
56453001,unclassified,False,False,55.796,,,"LINESTRING (130.4690901 33.5350363, 130.4688228 33.5352591, 130.4689525 33.5354113)",,
57717859,tertiary,False,False,49.763,,,"LINESTRING (130.4753762 33.5303618, 130.4757578 33.5306766)",,
57717859,tertiary,False,True,13.415,,,"LINESTRING (130.4753762 33.5303618, 130.4752683 33.5302814)",,
"[61434185, 64269109, 64269111]",unclassified,False,"[False, True]",90.576,,,"LINESTRING (130.4753762 33.5303618, 130.475819 33.5299854, 130.4760128 33.5298163, 130.4760593 33.5297794)",yes,
61434184,tertiary,False,False,38.395,2,5,"LINESTRING (130.4744268 33.5327547, 130.4741417 33.5330052)",,
61434184,tertiary,False,True,34.493,2,5,"LINESTRING (130.4744268 33.5327547, 130.47469 33.5325354)",,
181050270,tertiary,False,False,102.526,2,5,"LINESTRING (130.4744268 33.5327547, 130.4752197 33.5333976)",,
181050270,tertiary,False,True,136.011,2,5,"LINESTRING (130.4744268 33.5327547, 130.4733844 33.5318938)",,
57717859,tertiary,False,False,13.415,,,"LINESTRING (130.4752683 33.5302814, 130.4753762 33.5303618)",,
61984286,unclassified,False,True,29.441,,,"LINESTRING (130.4752683 33.5302814, 130.4750581 33.5304799)",,
57717859,tertiary,False,True,66.372,,,"LINESTRING (130.4752683 33.5302814, 130.4749357 33.5300175, 130.4749047 33.5299882, 130.474818 33.5298986, 130.4748003 33.5298405)",,
57901367,tertiary,False,False,40.231,2,5,"LINESTRING (130.4742806 33.5353038, 130.4739763 33.5350458)",,
57901367,tertiary,False,True,37.319,2,5,"LINESTRING (130.4742806 33.5353038, 130.4741953 33.5356318)",,
61836424,unclassified,False,True,46.538,,,"LINESTRING (130.4742806 33.5353038, 130.474678 33.5355596)",,
62262373,unclassified,False,True,93.24,,,"LINESTRING (130.4742806 33.5353038, 130.474991 33.5347101)",,
172131875,unclassified,False,True,77.429,,,"LINESTRING (130.4742806 33.5353038, 130.4734464 33.5352666)",,
57901367,tertiary,False,False,39.298,2,5,"LINESTRING (130.4728483 33.5341078, 130.4725485 33.5338579)",,
57901367,tertiary,False,True,43.454,2,5,"LINESTRING (130.4728483 33.5341078, 130.4731808 33.5343833)",,
61434184,tertiary,False,True,171.475,2,5,"LINESTRING (130.4728483 33.5341078, 130.4741417 33.5330052)",,
729010544,unclassified,False,False,113.444,,,"LINESTRING (130.4728483 33.5341078, 130.4720385 33.5348728)",,
57901367,tertiary,False,False,89.61,2,5,"LINESTRING (130.4725485 33.5338579, 130.4718647 33.5332882)",,
57901367,tertiary,False,True,39.298,2,5,"LINESTRING (130.4725485 33.5338579, 130.4728483 33.5341078)",,
172131848,unclassified,False,True,79.914,,,"LINESTRING (130.4725485 33.5338579, 130.4719379 33.5343653)",,
57717858,tertiary,False,False,63.669,2,5,"LINESTRING (130.4750363 33.5358758, 130.4745808 33.5363044)",,
57717858,tertiary,False,True,91.775,2,5,"LINESTRING (130.4750363 33.5358758, 130.4756774 33.5352468)",,
61836424,unclassified,False,False,48.364,,,"LINESTRING (130.4750363 33.5358758, 130.474678 33.5355596)",,
