osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
192633634,,,,tertiary,False,False,128.391,"LINESTRING (136.3170325 36.303545, 136.3169859 36.3035142, 136.316256 36.3030097, 136.3159518 36.3027871)",
587986720,,,,residential,False,True,59.68,"LINESTRING (136.3170325 36.303545, 136.3167897 36.3037536, 136.3167901 36.3040043)",
588274170,,19,橋立港線,primary,False,False,59.594,"LINESTRING (136.3144774 36.3067474, 136.3148705 36.3071797)",
588274170,,19,橋立港線,primary,False,True,58.992,"LINESTRING (136.3144774 36.3067474, 136.3140867 36.3063204)",
588251400,,,,residential,False,False,116.58399999999999,"LINESTRING (136.3144774 36.3067474, 136.3147085 36.3065974, 136.3147853 36.3064894, 136.3148443 36.3064289, 136.3149516 36.3063143, 136.3151095 36.3061532, 136.3151313 36.3061176, 136.3151608 36.3059544, 136.3151816 36.3059026)",
588272161,,,,residential,False,False,63.89,"LINESTRING (136.3180977 36.3069844, 136.3188107 36.3069842)",
197604470,,,,residential,False,True,61.592,"LINESTRING (136.3180977 36.3069844, 136.3181 36.3069108, 136.3181146 36.306852, 136.3181533 36.3067735, 136.3182745 36.3065689, 136.31835 36.3064783)",
588272161,,,,residential,False,True,63.89,"LINESTRING (136.3188107 36.3069842, 136.3180977 36.3069844)",
588272161,,,,residential,False,False,26.749000000000002,"LINESTRING (136.3188107 36.3069842, 136.3188006 36.3069514, 136.3187919 36.3069136, 136.3187919 36.306879, 136.3188026 36.3068536, 136.3188726 36.3067628)",
393546628,2,305;365,国道305号,trunk,False,False,5.367,"LINESTRING (136.3188726 36.3067628, 136.3188227 36.3067361)",
393546628,2,305;365,国道305号,trunk,False,True,129.418,"LINESTRING (136.3188726 36.3067628, 136.3191464 36.3069048, 136.3193056 36.3069669, 136.3195028 36.3070058, 136.3196773 36.3070277, 136.3202377 36.3070638)",
588272161,,,,residential,False,True,26.749,"LINESTRING (136.3188726 36.3067628, 136.3188026 36.3068536, 136.3187919 36.306879, 136.3187919 36.3069136, 136.3188006 36.3069514, 136.3188107 36.3069842)",
197605924,,,,residential,False,False,13.527000000000001,"LINESTRING (136.3171938 36.3065153, 136.3171612 36.306531, 136.3170847 36.3065715, 136.3170638 36.3065754)",
588272163,,,,residential,False,False,65.938,"LINESTRING (136.3171938 36.3065153, 136.3174286 36.3063981, 136.317463 36.3063886, 136.3175539 36.3063896, 136.3175809 36.3063754, 136.317737 36.3061688)",
393546628,2,305;365,国道305号,trunk,False,False,12.662,"LINESTRING (136.317737 36.3061688, 136.3176166 36.3061092)",
393546628,2,305;365,国道305号,trunk,False,True,64.82,"LINESTRING (136.317737 36.3061688, 136.31835 36.3064783)",
588272163,,,,residential,False,True,65.938,"LINESTRING (136.317737 36.3061688, 136.3175809 36.3063754, 136.3175539 36.3063896, 136.317463 36.3063886, 136.3174286 36.3063981, 136.3171938 36.3065153)",
197603018,,,,unclassified,False,False,38.817,"LINESTRING (136.3191627 36.3063655, 136.3191698 36.3063581, 136.3194265 36.3060886)",
197603018,,,,unclassified,False,True,51.256,"LINESTRING (136.3191627 36.3063655, 136.3190347 36.3064987, 136.3188227 36.3067361)",
589445143,,,,residential,False,True,95.232,"LINESTRING (136.3191627 36.3063655, 136.3192847 36.3064386, 136.3193183 36.3064527, 136.3193545 36.3064656, 136.3194081 36.3064721, 136.3198386 36.3064732, 136.3198534 36.3064624, 136.3198507 36.3061976)",
197603560,,,,unclassified,False,True,54.011,"LINESTRING (136.3198507 36.3061976, 136.3204533 36.3061868)",
197603560,,,,unclassified,False,False,41.475,"LINESTRING (136.3198507 36.3061976, 136.3197052 36.3061984, 136.3196455 36.3061922, 136.3196059 36.3061863, 136.3195634 36.3061681, 136.3194265 36.3060886)",
589445143,,,,residential,False,False,95.232,"LINESTRING (136.3198507 36.3061976, 136.3198534 36.3064624, 136.3198386 36.3064732, 136.3194081 36.3064721, 136.3193545 36.3064656, 136.3193183 36.3064527, 136.3192847 36.3064386, 136.3191627 36.3063655)",
1183812017,2,305;365,国道305号,trunk,False,False,4.065,"LINESTRING (136.3204649 36.3065759, 136.3204675 36.3066124)",
1183812017,2,305;365,国道305号,trunk,False,True,43.278,"LINESTRING (136.3204649 36.3065759, 136.3204533 36.3061868)",
587986716,,,,residential,False,True,75.842,"LINESTRING (136.3204649 36.3065759, 136.3202369 36.3065737, 136.3202129 36.3065939, 136.3202228 36.3068271, 136.3202377 36.3070638)",
197600724,,,,unclassified,False,True,1.427,"LINESTRING (136.3180127 36.3056578, 136.3180244 36.3056491)",
197600724,,,,unclassified,False,False,61.515,"LINESTRING (136.3180127 36.3056578, 136.3179698 36.3056967, 136.3176166 36.3061092)",
197605023,,,,unclassified,False,False,121.976,"LINESTRING (136.3180127 36.3056578, 136.3173663 36.3052676, 136.3173491 36.3052463, 136.3173455 36.3052195, 136.3173448 36.3051855, 136.3173492 36.3049029, 136.3173505 36.3048258)",
595646657,,,,residential,False,True,29.468,"LINESTRING (136.3118792 36.3014905, 136.3118828 36.3012255)",
192633634,,,,tertiary,False,False,62.18300000000001,"LINESTRING (136.3118792 36.3014905, 136.3118137 36.301475, 136.3115786 36.3014088, 136.3112393 36.3012771)",
192633634,,,,tertiary,False,True,83.68900000000001,"LINESTRING (136.3118792 36.3014905, 136.312079 36.3015378, 136.3127806 36.3016871)",
192582837,,,,unclassified,False,False,19.618,"LINESTRING (136.3128606 36.30534, 136.3130342 36.3052325)",
192582837,,,,unclassified,False,True,67.87,"LINESTRING (136.3128606 36.30534, 136.3124084 36.3056522, 136.3122854 36.3057371)",
595655799,,,,residential,False,False,67.26400000000001,"LINESTRING (136.3128606 36.30534, 136.3126463 36.3051071, 136.3126369 36.3050769, 136.3125755 36.3047974)",
197603985,,,,residential,False,False,3.104,"LINESTRING (136.3131049 36.3021047, 136.3131393 36.302108)",
197603985,,,,residential,False,True,58.499,"LINESTRING (136.3131049 36.3021047, 136.3124751 36.3019663)",
393604875,,,,residential,False,True,80.905,"LINESTRING (136.3131049 36.3021047, 136.3130178 36.3023544, 136.3129821 36.3023608, 136.3124574 36.3022438)",
588251400,,,,residential,False,False,8.046,"LINESTRING (136.3151816 36.3059026, 136.3151779 36.3058303)",
197605083,,,,residential,False,True,56.762,"LINESTRING (136.3151816 36.3059026, 136.3154669 36.3060542, 136.3157015 36.3061939)",
588251400,,,,residential,False,True,116.58399999999999,"LINESTRING (136.3151816 36.3059026, 136.3151608 36.3059544, 136.3151313 36.3061176, 136.3151095 36.3061532, 136.3149516 36.3063143, 136.3148443 36.3064289, 136.3147853 36.3064894, 136.3147085 36.3065974, 136.3144774 36.3067474)",
520774841,,,,residential,False,False,24.758,"LINESTRING (136.3198078 36.3046964, 136.3200252 36.3048338)",
520774841,,,,residential,False,True,63.399,"LINESTRING (136.3198078 36.3046964, 136.3192419 36.3043542)",
595988666,,,,residential,False,False,45.508,"LINESTRING (136.3198078 36.3046964, 136.3201179 36.3043723)",
1183812017,2,305;365,国道305号,trunk,False,False,3.978,"LINESTRING (136.3204823 36.3070406, 136.3204867 36.3070762)",
1183812017,2,305;365,国道305号,trunk,False,True,47.632,"LINESTRING (136.3204823 36.3070406, 136.3204675 36.3066124)",
596097001,,,,residential,False,True,18.76,"LINESTRING (136.3169126 36.3066867, 136.3170464 36.3066072, 136.3170638 36.3065754)",
590898277,,,,tertiary,False,False,201.76100000000002,"LINESTRING (136.3106352 36.3008535, 136.3104971 36.3006991, 136.3104091 36.3005752, 136.3103617 36.3004918, 136.3102172 36.3002373, 136.3101658 36.3001335, 136.3101439 36.3000893, 136.3099991 36.2997968, 136.3098282 36.2994187, 136.309711 36.2992056)",
"[590898276, 590898277]",,,,tertiary,False,True,18.945,"LINESTRING (136.3106352 36.3008535, 136.3106549 36.3008756, 136.3107732 36.3009824)",yes
604686705,,,,residential,False,True,50.329,"LINESTRING (136.3106352 36.3008535, 136.3104147 36.3011374, 136.3103408 36.3012389)",
"[192583005, 590898278, 590898279]",,,,unclassified,False,False,52.56099999999999,"LINESTRING (136.3103408 36.3012389, 136.3103666 36.3012375, 136.3105321 36.3012347, 136.3107732 36.3009824)",yes
604686705,,,,residential,False,False,50.329,"LINESTRING (136.3103408 36.3012389, 136.3104147 36.3011374, 136.3106352 36.3008535)",
