osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,access
758897590,,улица Ленина,residential,False,True,205.539,"LINESTRING (32.4608519 57.6433104, 32.4623793 57.6432734, 32.4624511 57.6432716, 32.4635627 57.6432392, 32.4640418 57.6431962, 32.4642581 57.643125)",,,,
1219652678,,улица Володарского,residential,False,True,123.55499999999999,"LINESTRING (32.4608519 57.6433104, 32.4608272 57.6432367, 32.4607589 57.6430468, 32.460716 57.6429577, 32.4605408 57.6426172, 32.4603426 57.6422339)",,,,
26252596,,улица К.Маркса,residential,False,True,150.296,"LINESTRING (32.4580396 57.6425413, 32.4580036 57.6424617, 32.4574408 57.6412282)",,,,
"[758897590, 758897591]",,"['улица Ленина', 'улица К.Маркса']",residential,False,"[False, True]",240.147,"LINESTRING (32.4580396 57.6425413, 32.4581483 57.6428195, 32.4582436 57.6431055, 32.4583382 57.6433141, 32.4583961 57.6433555, 32.4584872 57.6433717, 32.4594247 57.6433489, 32.4594967 57.6433461, 32.46021 57.64332, 32.4608519 57.6433104)",,,,
1219652677,49К-17,улица 1 Мая,primary,False,True,141.262,"LINESTRING (32.4580396 57.6425413, 32.4586584 57.6424539, 32.4597268 57.6423108, 32.4603426 57.6422339)",40,,,
26252695,,улица Ленина,residential,False,True,163.215,"LINESTRING (32.4697201 57.6423798, 32.4723212 57.6419145)",,,,
26256725,,улица Ефищенко,residential,False,True,140.683,"LINESTRING (32.4697201 57.6423798, 32.4691319 57.6411544)",,,,
26252695,,улица Ленина,residential,False,False,337.318,"LINESTRING (32.4697201 57.6423798, 32.4682585 57.6426227, 32.467305 57.6427681, 32.4668973 57.6428045, 32.4665269 57.6428015, 32.4653118 57.6429046, 32.465027 57.6429528, 32.4642581 57.643125)",,,,
26252695,,улица Ленина,residential,False,False,163.215,"LINESTRING (32.4723212 57.6419145, 32.4697201 57.6423798)",,,,
26256742,,улица Ремизова,residential,False,True,125.031,"LINESTRING (32.4723212 57.6419145, 32.4719274 57.64081)",,,,
26252771,,улица Будённого,residential,False,True,255.925,"LINESTRING (32.4706685 57.6452162, 32.4695672 57.6452941, 32.4689675 57.645341, 32.46662 57.6456666, 32.4665432 57.6456773, 32.4664663 57.6456879)",,,,
28424403,,Школьная улица,residential,False,True,81.87700000000001,"LINESTRING (32.4706685 57.6452162, 32.47044 57.6447482, 32.4703318 57.6445023)",,,,
28424403,,Школьная улица,residential,False,False,81.87700000000001,"LINESTRING (32.4703318 57.6445023, 32.47044 57.6447482, 32.4706685 57.6452162)",,,,
28424403,,Школьная улица,residential,False,True,67.997,"LINESTRING (32.4703318 57.6445023, 32.4700578 57.6439944, 32.4700148 57.6439148)",,,,
726691092,,Пожарный переулок,residential,False,False,46.258,"LINESTRING (32.4629111 57.6412752, 32.4636789 57.6412105)",,,,
190864985,А-122,улица Урицкого,primary,False,False,78.781,"LINESTRING (32.4629111 57.6412752, 32.4626383 57.6406658, 32.4626027 57.6405862)",,,,
190864985,А-122,улица Урицкого,primary,False,True,73.74,"LINESTRING (32.4629111 57.6412752, 32.4630666 57.6415818, 32.4631834 57.6418325, 32.4632228 57.641917)",,,,
726691092,,Пожарный переулок,residential,False,True,46.258,"LINESTRING (32.4636789 57.6412105, 32.4629111 57.6412752)",,,,
28424444,,улица Силина,residential,False,True,176.142,"LINESTRING (32.4656277 57.6401923, 32.4684991 57.6398085)",,,,
28424444,,улица Силина,residential,False,False,185.28400000000002,"LINESTRING (32.4656277 57.6401923, 32.4655055 57.6402086, 32.4627201 57.6405709, 32.4626027 57.6405862)",,,,
28424448,,улица Карла Либкнехта,residential,False,False,164.131,"LINESTRING (32.4656277 57.6401923, 32.4652803 57.6397936, 32.4648952 57.6393351, 32.4646954 57.6388125)",,,,
1075197100,,улица Карла Либкнехта,residential,False,True,153.08100000000002,"LINESTRING (32.4656277 57.6401923, 32.4657418 57.6402661, 32.4660064 57.6409049, 32.466281 57.641514)",,,,no
28424456,,улица Володарского,residential,False,False,6.328,"LINESTRING (32.4598329 57.6409315, 32.4598063 57.6409866)",,,,
1105502221,,улица Силина,residential,False,True,169.417,"LINESTRING (32.4598329 57.6409315, 32.4599323 57.640906, 32.4626027 57.6405862)",,,,
"[1105502224, 26252631]",,"['улица Крупской', 'улица Володарского']",residential,False,True,218.338,"LINESTRING (32.4598329 57.6409315, 32.4594683 57.6403129, 32.4593394 57.6402424, 32.4591368 57.6402272, 32.4570966 57.6404075)",,,,
