osmid,ref,highway,oneway,reversed,length,name,geometry
237692033,,residential,False,False,243.207,улица Маяковского,"LINESTRING (45.9609897 53.0246656, 45.9612792 53.0247914, 45.961644 53.024956, 45.9621904 53.025135, 45.9624969 53.0253141, 45.9628081 53.0256013, 45.9631943 53.025953, 45.9634459 53.026215)"
237712510,,residential,False,False,26.857,,"LINESTRING (45.958941 53.026915, 45.9593155 53.0270022)"
217452850,,residential,False,False,181.911,,"LINESTRING (45.958941 53.026915, 45.9589731 53.0268921, 45.9592299 53.0268787, 45.9610239 53.0259086)"
217452850,,residential,False,True,90.80000000000001,,"LINESTRING (45.958941 53.026915, 45.9586189 53.027145, 45.9580951 53.0275535)"
237712510,,residential,False,True,101.617,,"LINESTRING (45.958941 53.026915, 45.9587621 53.0267591, 45.9578051 53.0263192)"
237712510,,residential,False,True,26.857,,"LINESTRING (45.9593155 53.0270022, 45.958941 53.026915)"
237712510,,residential,False,False,77.369,,"LINESTRING (45.9593155 53.0270022, 45.9593706 53.0271216, 45.959867 53.0274135, 45.9601207 53.0274367)"
237712646,,residential,False,False,61.358,,"LINESTRING (45.9593155 53.0270022, 45.9595912 53.027042, 45.9600269 53.027178, 45.9601384 53.0272319)"
237712510,,residential,False,False,71.007,,"LINESTRING (45.9601207 53.0274367, 45.9603799 53.0277551, 45.9604278 53.0280377)"
237712510,,residential,False,True,77.369,,"LINESTRING (45.9601207 53.0274367, 45.959867 53.0274135, 45.9593706 53.0271216, 45.9593155 53.0270022)"
237712711,,residential,False,False,22.868000000000002,,"LINESTRING (45.9601207 53.0274367, 45.9601428 53.0273239, 45.9601428 53.0272775, 45.9601384 53.0272319)"
237712646,,residential,False,False,103.166,,"LINESTRING (45.9606193 53.0273769, 45.9609811 53.0274467, 45.9612623 53.0275959, 45.9614278 53.0277021, 45.9615547 53.027848, 45.961655 53.028)"
237712646,,residential,False,True,36.28,,"LINESTRING (45.9606193 53.0273769, 45.9602531 53.0272874, 45.9601384 53.0272319)"
237712760,,residential,False,False,147.828,,"LINESTRING (45.9606193 53.0273769, 45.9608399 53.0272177, 45.9610661 53.0270585, 45.9612922 53.0269722, 45.9615404 53.0268428, 45.9618768 53.0267035, 45.9618933 53.026614, 45.9617113 53.0264249)"
237712646,,residential,False,False,36.28,,"LINESTRING (45.9601384 53.0272319, 45.9602531 53.0272874, 45.9606193 53.0273769)"
237712646,,residential,False,True,61.358000000000004,,"LINESTRING (45.9601384 53.0272319, 45.9600269 53.027178, 45.9595912 53.027042, 45.9593155 53.0270022)"
237712711,,residential,False,True,22.868000000000002,,"LINESTRING (45.9601384 53.0272319, 45.9601428 53.0272775, 45.9601428 53.0273239, 45.9601207 53.0274367)"
237712760,,residential,False,True,147.828,,"LINESTRING (45.9617113 53.0264249, 45.9618933 53.026614, 45.9618768 53.0267035, 45.9615404 53.0268428, 45.9612922 53.0269722, 45.9610661 53.0270585, 45.9608399 53.0272177, 45.9606193 53.0273769)"
237712768,,residential,False,False,62.159,,"LINESTRING (45.9637277 53.0291682, 45.9646161 53.0290038)"
237712891,,residential,False,True,7.267,,"LINESTRING (45.9637277 53.0291682, 45.9636835 53.0292279)"
237712891,,residential,False,False,185.483,,"LINESTRING (45.9637277 53.0291682, 45.9635898 53.028999, 45.963496 53.0288597, 45.9633857 53.0285977, 45.9633471 53.0284849, 45.9631651 53.0282825, 45.9628949 53.0281101, 45.9627901 53.0280603, 45.9628452 53.0279077, 45.9628397 53.0278149, 45.9627956 53.0277153, 45.9627721 53.0276731)"
237712768,,residential,False,True,62.159,,"LINESTRING (45.9646161 53.0290038, 45.9637277 53.0291682)"
237693199,,residential,False,True,195.039,Возвышенная улица,"LINESTRING (45.9646161 53.0290038, 45.9641811 53.0280448, 45.9639774 53.0277146, 45.9637449 53.0275019, 45.9635786 53.0273858)"
237712891,,residential,False,False,7.267,,"LINESTRING (45.9636835 53.0292279, 45.9637277 53.0291682)"
217452818,,residential,False,False,62.687,,"LINESTRING (45.9627721 53.0276731, 45.9635786 53.0273858)"
217452818,,residential,False,True,83.419,,"LINESTRING (45.9627721 53.0276731, 45.9621685 53.027887, 45.961655 53.028)"
237712891,,residential,False,True,185.48299999999998,,"LINESTRING (45.9627721 53.0276731, 45.9627956 53.0277153, 45.9628397 53.0278149, 45.9628452 53.0279077, 45.9627901 53.0280603, 45.9628949 53.0281101, 45.9631651 53.0282825, 45.9633471 53.0284849, 45.9633857 53.0285977, 45.963496 53.0288597, 45.9635898 53.028999, 45.9637277 53.0291682)"
237283348,,residential,False,True,65.154,,"LINESTRING (45.9571298 53.0240812, 45.957444 53.0239256, 45.9577859 53.0236534)"
237740101,,residential,False,False,157.86599999999999,Овражная улица,"LINESTRING (45.9571298 53.0240812, 45.9573921 53.0242065, 45.9576152 53.0243244, 45.9577729 53.0244471, 45.9581152 53.0246136, 45.9590421 53.0248843)"
239012838,,residential,False,False,54.141000000000005,Овражная улица,"LINESTRING (45.9571298 53.0240812, 45.9567046 53.0239997, 45.9563455 53.0240326)"
237740101,,residential,False,True,157.86599999999999,Овражная улица,"LINESTRING (45.9590421 53.0248843, 45.9581152 53.0246136, 45.9577729 53.0244471, 45.9576152 53.0243244, 45.9573921 53.0242065, 45.9571298 53.0240812)"
239011924,,residential,False,True,75.189,Овражная улица,"LINESTRING (45.9548191 53.0231377, 45.955737 53.0235281)"
239013370,,residential,False,False,87.95,,"LINESTRING (45.9565601 53.0254911, 45.955563 53.0249754)"
217452827,,residential,False,False,193.82199999999997,,"LINESTRING (45.9565601 53.0254911, 45.9566402 53.0254349, 45.9571129 53.0249609, 45.9571194 53.0248042, 45.9570412 53.024718, 45.9563923 53.0243697, 45.9563455 53.0240326)"
217452827,,residential,False,True,85.175,,"LINESTRING (45.9565601 53.0254911, 45.9557788 53.0260393, 45.9557471 53.0260789)"
239013370,,residential,False,True,87.95,,"LINESTRING (45.955563 53.0249754, 45.9565601 53.0254911)"
237712510,,residential,False,False,101.617,,"LINESTRING (45.9578051 53.0263192, 45.9587621 53.0267591, 45.958941 53.026915)"
