osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
359092458,611,Poděbradská,secondary,False,True,7.655,"LINESTRING (14.9842147 50.1339137, 14.9843221 50.1339137)",2,,
31976408,,Třebízského,residential,False,False,158.218,"LINESTRING (14.9842147 50.1339137, 14.9842588 50.1343069, 14.9841705 50.1345976, 14.9839504 50.1353164)",,,
359092458,611,Poděbradská,secondary,False,False,224.619,"LINESTRING (14.9842147 50.1339137, 14.983537 50.1339018, 14.9823716 50.1338619, 14.9812474 50.1337973, 14.9810701 50.1337897)",2,,
1163664721,,Jordán,residential,False,False,7.416,"LINESTRING (14.9810701 50.1337897, 14.9810522 50.1338554)",,30,
359092458,611,Poděbradská,secondary,False,True,224.61900000000003,"LINESTRING (14.9810701 50.1337897, 14.9812474 50.1337973, 14.9823716 50.1338619, 14.983537 50.1339018, 14.9842147 50.1339137)",2,,
1163664721,,Jordán,residential,False,True,7.416,"LINESTRING (14.9810522 50.1338554, 14.9810701 50.1337897)",,30,
894691284,334,Československé armády,secondary,False,False,12.163,"LINESTRING (14.9855496 50.1334176, 14.9855736 50.1335259)",,,
31976425,334,Československé armády,secondary,False,True,197.547,"LINESTRING (14.9855496 50.1334176, 14.9851958 50.1327718, 14.9843266 50.1318325)",,,
31976426,,Husínek,residential,False,False,213.81,"LINESTRING (14.9855496 50.1334176, 14.9856212 50.1333654, 14.9858096 50.1332422, 14.9858856 50.1332149, 14.9859653 50.1331957, 14.9860573 50.1331786, 14.9861439 50.1331724, 14.9862077 50.1331684, 14.9862661 50.1331696, 14.9867845 50.1332923, 14.9873845 50.1334439, 14.9882572 50.1336794)",,,
31976495,,Na Valech,residential,False,True,160.494,"LINESTRING (14.9895062 50.1322662, 14.9895991 50.1325637, 14.9900709 50.1336628)",,,
31976496,,U Nadjezdu,residential,False,False,229.62099999999998,"LINESTRING (14.9895062 50.1322662, 14.9910833 50.1319398, 14.9913626 50.1327274, 14.9910682 50.1327765)",,,
