osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,area,junction,bridge
32276816,Dvořákova,residential,,False,True,115.155,"LINESTRING (16.2207187 50.0037913, 16.2203355 50.0047972)",,,,,,
718277856,Smetanova,residential,,False,False,116.451,"LINESTRING (16.2207187 50.0037913, 16.2223048 50.0040311)",,,,,,
727382093,Smetanova,residential,,False,True,112.392,"LINESTRING (16.2207187 50.0037913, 16.2191881 50.0035593)",,,,,,
718277856,Smetanova,residential,,False,True,116.451,"LINESTRING (16.2223048 50.0040311, 16.2207187 50.0037913)",,,,,,
718279006,Záměstí,residential,,False,False,35.124,"LINESTRING (16.2223048 50.0040311, 16.2221675 50.0043344)",,,,,,
"[718826981, 718279006]",Záměstí,residential,,False,True,140.42000000000002,"LINESTRING (16.2223048 50.0040311, 16.2225285 50.0035095, 16.2226384 50.003294, 16.2226908 50.0031953, 16.2228353 50.0028158)",,,,,,
32276792,Újezdská,residential,,False,False,71.413,"LINESTRING (16.2193505 50.0031022, 16.2185114 50.0034509)",,,,,,
32276802,Újezdská,residential,,False,False,91.007,"LINESTRING (16.2193505 50.0031022, 16.2196157 50.0023017)",,,,,,
32276792,Újezdská,residential,,False,True,150.024,"LINESTRING (16.2193505 50.0031022, 16.2199141 50.0029075, 16.2205393 50.0027499, 16.2211633 50.0025975, 16.2212236 50.0025768, 16.2212603 50.0025533)",,,,,,
32276798,Sv. Čecha,residential,,False,False,20.662,"LINESTRING (16.2196157 50.0023017, 16.2198954 50.0023487)",,,,,,
32276798,Sv. Čecha,residential,,False,True,52.736,"LINESTRING (16.2196157 50.0023017, 16.2189008 50.0021843)",,,,,,
32276802,Újezdská,residential,,False,True,91.007,"LINESTRING (16.2196157 50.0023017, 16.2193505 50.0031022)",,,,,,
32276773,U Hřiště,residential,,False,True,97.019,"LINESTRING (16.2193896 50.0009512, 16.2180322 50.0009468)",,,,,,
32276807,Fügnerova,residential,,False,False,141.495,"LINESTRING (16.2193896 50.0009512, 16.2189008 50.0021843)",,,,,,
393733395,Dolní,residential,,False,False,71.886,"LINESTRING (16.2193896 50.0009512, 16.2203941 50.0009837)",,,,,,
32276818,Pod Vinicí,residential,,False,False,113.484,"LINESTRING (16.2187945 50.004551, 16.2203355 50.0047972)",,,,,,
718278608,T. N. Kautníka,residential,,False,False,113.804,"LINESTRING (16.2187945 50.004551, 16.2191881 50.0035593)",,,,,,
32276818,Pod Vinicí,residential,,False,True,146.586,"LINESTRING (16.2187945 50.004551, 16.2177037 50.0043789, 16.2170973 50.0042857, 16.2168085 50.0042239)",,,,,,
32276816,Dvořákova,residential,,False,False,115.155,"LINESTRING (16.2203355 50.0047972, 16.2207187 50.0037913)",,,,,,
32276818,Pod Vinicí,residential,,False,True,113.484,"LINESTRING (16.2203355 50.0047972, 16.2187945 50.004551)",,,,,,
32276816,Dvořákova,residential,,False,True,112.603,"LINESTRING (16.2203355 50.0047972, 16.2203039 50.0048761, 16.2202772 50.0049719, 16.2199505 50.0057789)",,,,,,
32276820,Dvořákova,residential,,False,False,66.542,"LINESTRING (16.2208528 50.0059266, 16.2199505 50.0057789)",,,,,,
32276816,Dvořákova,residential,,False,True,39.466,"LINESTRING (16.2199505 50.0057789, 16.2198261 50.0061247)",,,,,,
32276820,Dvořákova,residential,,False,True,66.542,"LINESTRING (16.2199505 50.0057789, 16.2208528 50.0059266)",,,,,,
32276816,Dvořákova,residential,,False,False,112.603,"LINESTRING (16.2199505 50.0057789, 16.2202772 50.0049719, 16.2203039 50.0048761, 16.2203355 50.0047972)",,,,,,
32276824,Dvořákova,residential,,False,False,25.663,"LINESTRING (16.2191308 50.0062608, 16.2192262 50.0060383)",,,,,,
32276824,Dvořákova,residential,,False,True,27.544,"LINESTRING (16.2193041 50.0057957, 16.2192262 50.0060383)",,,,,,
32276824,Dvořákova,residential,,False,False,27.544,"LINESTRING (16.2192262 50.0060383, 16.2193041 50.0057957)",,,,,,
32276824,Dvořákova,residential,,False,True,25.663,"LINESTRING (16.2192262 50.0060383, 16.2191308 50.0062608)",,,,,,
32276825,Dvořákova,residential,,False,False,43.936,"LINESTRING (16.2192262 50.0060383, 16.2198261 50.0061247)",,,,,,
32276816,Dvořákova,residential,,False,False,39.466,"LINESTRING (16.2198261 50.0061247, 16.2199505 50.0057789)",,,,,,
32276825,Dvořákova,residential,,False,True,43.936,"LINESTRING (16.2198261 50.0061247, 16.2192262 50.0060383)",,,,,,
718279006,Záměstí,residential,,False,True,35.124,"LINESTRING (16.2221675 50.0043344, 16.2223048 50.0040311)",,,,,,
32276826,Záměstí,residential,,False,False,133.96699999999998,"LINESTRING (16.2221675 50.0043344, 16.2226668 50.0044106, 16.2230496 50.004475, 16.2234332 50.0045308, 16.2234719 50.0046053, 16.2235287 50.0046825, 16.223839 50.0047249)",,,,,,
718279005,Záměstí,residential,,False,False,180.038,"LINESTRING (16.2221675 50.0043344, 16.2219537 50.0050227, 16.2216129 50.0059134)",,,,,,
"[594444752, 32276765, 32276831]","['Tocháčkův kopec', 'Bj. Krawce', 'Na Svobodné']",residential,,False,False,376.994,"LINESTRING (16.2243731 50.0052555, 16.2245463 50.0044507, 16.2239976 50.0043632, 16.2248101 50.0022111)",,,,,,
32277029,Dr. Fikejze,residential,,False,False,100.435,"LINESTRING (16.2172932 50.0028551, 16.2176165 50.0019761)",,,,,,
718279005,Záměstí,residential,,False,True,48.765,"LINESTRING (16.221568 50.006351, 16.2216129 50.0059134)",,,,,,
81141304,,secondary,50,True,False,12.361999999999998,"LINESTRING (16.2268071 49.9998997, 16.2268168 49.9998873, 16.2268306 49.9998766, 16.2268478 49.9998682, 16.2268675 49.9998624, 16.2268887 49.9998597, 16.2269103 49.9998601, 16.2269313 49.9998636, 16.2269504 49.99987)",1,312,,,roundabout,
609171443,Pernerova,residential,,True,False,17.101,"LINESTRING (16.2269817 49.9999497, 16.2270601 50.000095)",,,,,,
81141304,,secondary,50,True,False,4.524,"LINESTRING (16.2269817 49.9999497, 16.2269699 49.9999609, 16.2269545 49.9999702, 16.2269364 49.9999772)",1,312,,,roundabout,
81141338,,secondary,50,True,False,18.046,"LINESTRING (16.2263727 50.0004745, 16.226393 50.0004781, 16.2264126 50.0004831, 16.2264312 50.0004894, 16.2264486 50.000497, 16.2264646 50.0005057, 16.2264791 50.0005156, 16.2264918 50.0005263, 16.2265026 50.0005379, 16.2265114 50.0005502, 16.2265181 50.000563, 16.2265225 50.0005762, 16.2265247 50.0005897)",1,312,,,roundabout,
"[1225894121, 162280022, 162280023]",,secondary,50,True,False,68.368,"LINESTRING (16.2263727 50.0004745, 16.2264039 50.0004699, 16.2264275 50.0004659, 16.2264514 50.0004593, 16.2264808 50.0004498, 16.2265273 50.0004299, 16.2265516 50.0004135, 16.22657 50.0003979, 16.2265831 50.0003823, 16.2268215 50.0000709, 16.2268505 49.9999749)",,312,,,,yes
9587885,Pernerova,secondary,50,False,False,46.95,"LINESTRING (16.2269504 49.99987, 16.2271151 49.9996925, 16.2272436 49.9994934)",,,,,,
81141304,,secondary,50,True,False,9.984,"LINESTRING (16.2269504 49.99987, 16.226968 49.9998798, 16.2269814 49.999892, 16.2269898 49.999906, 16.2269927 49.9999208, 16.2269899 49.9999357, 16.2269817 49.9999497)",1,312,,,roundabout,
32276738,Nábřeží,residential,,False,True,113.87799999999999,"LINESTRING (16.2262802 50.0004762, 16.2262514 50.0003879, 16.2262172 50.0003002, 16.2261688 50.0002149, 16.2260522 50.000143, 16.2256555 49.9999655, 16.2254162 49.9998975, 16.2251632 49.9998481)",,,,,,
81141338,,secondary,50,True,False,6.675,"LINESTRING (16.2262802 50.0004762, 16.226303 50.0004731, 16.2263263 50.0004718, 16.2263496 50.0004722, 16.2263727 50.0004745)",1,312,,,roundabout,
162211349,Jiráskova,residential,,False,False,107.78399999999999,"LINESTRING (16.2165407 50.0003754, 16.216547 50.0002683, 16.21665 49.9998331, 16.2167073 49.9995559, 16.216707 49.9994136)",,,,,,
295712643,Dolní,residential,,False,True,21.621,"LINESTRING (16.2218268 50.0009624, 16.221525 50.0009756)",,,,,,
700316807,Dolní,residential,,False,False,110.332,"LINESTRING (16.2218268 50.0009624, 16.221889 50.0009607, 16.2232319 50.0009297, 16.2233691 50.0009368)",,,,,,
