osmid,ref,highway,oneway,reversed,length,geometry,lanes,junction
469406759,,residential,False,True,40.961,"LINESTRING (6.9554228 33.2758291, 6.955319 33.2761871)",,
469406760,,residential,False,False,33.209,"LINESTRING (6.9554228 33.2758291, 6.9557713 33.2758947)",,
469406760,,residential,False,True,34.517,"LINESTRING (6.9554228 33.2758291, 6.9550606 33.2757608)",,
469406759,,residential,False,False,5.697,"LINESTRING (6.9551222 33.2768657, 6.9551366 33.2768159)",,
469406759,,residential,False,True,29.127,"LINESTRING (6.9551222 33.2768657, 6.9550723 33.2771243)",,
469410705,,residential,False,True,36.988,"LINESTRING (6.9551222 33.2768657, 6.9547326 33.2767982)",,
469406759,,residential,False,False,56.779,"LINESTRING (6.954975 33.2776284, 6.9550723 33.2771243)",,
469406763,,residential,False,False,40.787,"LINESTRING (6.954975 33.2776284, 6.9552657 33.2776677, 6.9554065 33.277694)",,
469406763,,residential,False,True,38.556,"LINESTRING (6.954975 33.2776284, 6.9546595 33.2775937, 6.954563 33.2775914)",,
469405179,CW 405,secondary,False,True,20.031,"LINESTRING (6.9462166 33.280126, 6.9462612 33.2800737, 6.9463309 33.2799735)",,
469406619,,residential,False,False,42.387,"LINESTRING (6.9462166 33.280126, 6.9464775 33.2801956, 6.9466549 33.28023)",,
469406755,,residential,False,False,34.429,"LINESTRING (6.9485937 33.2783333, 6.9485886 33.2780237)",,
469406755,,residential,False,True,22.806,"LINESTRING (6.9485937 33.2783333, 6.9486125 33.2785378)",,
469406756,,residential,False,True,48.724000000000004,"LINESTRING (6.9485937 33.2783333, 6.9481954 33.2783102, 6.9480707 33.2783046)",,
469406619,,residential,False,False,68.485,"LINESTRING (6.9482357 33.2805534, 6.9489478 33.2807113)",,
469406619,,residential,False,True,3.917,"LINESTRING (6.9482357 33.2805534, 6.9481973 33.2805389)",,
469406618,,residential,False,True,77.628,"LINESTRING (6.9474498 33.2808033, 6.9466311 33.2806657)",,
724482414,,residential,False,False,45.646,"LINESTRING (6.9474498 33.2808033, 6.9476098 33.2804152)",,
379766504,,tertiary,False,False,5.129,"LINESTRING (6.9494693 33.2808072, 6.9494776 33.2807616)",,
469406619,,residential,False,True,49.637,"LINESTRING (6.9494693 33.2808072, 6.9489478 33.2807113)",,
469406619,,residential,False,False,49.637,"LINESTRING (6.9489478 33.2807113, 6.9494693 33.2808072)",,
469406619,,residential,False,True,68.485,"LINESTRING (6.9489478 33.2807113, 6.9482357 33.2805534)",,
469408793,,residential,False,False,31.146,"LINESTRING (6.9489478 33.2807113, 6.9490028 33.280435)",,
469406760,,residential,False,False,41.215,"LINESTRING (6.9546281 33.2756793, 6.9550606 33.2757608)",,
469410710,,residential,False,False,42.879,"LINESTRING (6.9546281 33.2756793, 6.9545273 33.2760556)",,
469410710,,residential,False,True,47.495,"LINESTRING (6.9546281 33.2756793, 6.9547398 33.2752625)",,
469406760,,residential,False,True,104.619,"LINESTRING (6.9546281 33.2756793, 6.9540815 33.2755494, 6.9535516 33.2754056)",,
469406760,,residential,False,False,11.677,"LINESTRING (6.9557713 33.2758947, 6.9558938 33.2759179)",,
469406760,,residential,False,True,33.209,"LINESTRING (6.9557713 33.2758947, 6.9554228 33.2758291)",,
469406761,,residential,False,True,47.264,"LINESTRING (6.9557713 33.2758947, 6.9559054 33.2754847)",,
469406761,,residential,False,False,112.382,"LINESTRING (6.9562242 33.2745098, 6.9559054 33.2754847)",,
469406761,,residential,False,True,91.719,"LINESTRING (6.9562242 33.2745098, 6.9564636 33.2737096)",,
469406762,,residential,False,False,41.56,"LINESTRING (6.9562242 33.2745098, 6.9566599 33.2745935)",,
469406762,,residential,False,True,73.412,"LINESTRING (6.9562242 33.2745098, 6.9554546 33.2743619)",,
143114477,CW 405,secondary,False,False,9.315,"LINESTRING (6.9546696 33.2742004, 6.9546213 33.2742738)",,
469406762,,residential,False,False,32.223,"LINESTRING (6.9546696 33.2742004, 6.9550044 33.2742754)",,
143114477,CW 405,secondary,False,True,39.308,"LINESTRING (6.9546696 33.2742004, 6.9548044 33.2740221, 6.9548875 33.2738976)",,
469405163,,residential,False,False,8.497,"LINESTRING (6.9562219 33.2780501, 6.9563037 33.278016)",2,
469405163,,residential,False,True,76.31400000000001,"LINESTRING (6.9562219 33.2780501, 6.9559497 33.2781835, 6.9557069 33.2783292, 6.9555316 33.2784205)",2,
469406763,,residential,False,True,42.023,"LINESTRING (6.9562219 33.2780501, 6.9561079 33.2779234, 6.9560248 33.277837, 6.9559751 33.2778124, 6.9559094 33.2777877)",,
469406763,,residential,False,False,16.654,"LINESTRING (6.9538992 33.2779431, 6.9540446 33.2778556)",,
469406763,,residential,False,True,12.853,"LINESTRING (6.9538992 33.2779431, 6.9537867 33.2780103)",,
727636392,,residential,False,False,51.955,"LINESTRING (6.9538992 33.2779431, 6.9542195 33.278326)",,
469405167,,secondary,True,False,49.495,"LINESTRING (6.9530851 33.2784503, 6.9534002 33.2788091)",2,
469406763,,residential,False,False,81.533,"LINESTRING (6.9530851 33.2784503, 6.9537867 33.2780103)",,
469406763,,residential,False,True,9.156,"LINESTRING (6.9530851 33.2784503, 6.9530073 33.2785008)",,
469406763,,residential,False,False,9.156,"LINESTRING (6.9530073 33.2785008, 6.9530851 33.2784503)",,
469405168,,secondary,True,False,31.289,"LINESTRING (6.9530073 33.2785008, 6.9528842 33.2783571, 6.9528112 33.2782721)",2,
469406764,,residential,True,False,6.905,"LINESTRING (6.9550998 33.2786112, 6.9551739 33.2786069)",2,
469426031,,residential,False,False,47.263,"LINESTRING (6.9550998 33.2786112, 6.9548202 33.2782562)",,
469426047,,residential,False,False,6.797,"LINESTRING (6.9550998 33.2786112, 6.9551417 33.2786613)",,
469405163,,residential,False,True,8.497,"LINESTRING (6.9563037 33.278016, 6.9562219 33.2780501)",2,
469405163,,residential,False,False,51.961,"LINESTRING (6.9563037 33.278016, 6.956576 33.2779312, 6.9568314 33.2778623)",2,
469426048,,residential,False,False,48.93600000000001,"LINESTRING (6.9563037 33.278016, 6.9564955 33.2782593, 6.9565924 33.278384)",,
469406842,,residential,False,True,44.784,"LINESTRING (6.9492093 33.2793772, 6.949684 33.2794459)",,
469408793,,residential,False,False,36.296,"LINESTRING (6.9492093 33.2793772, 6.9492904 33.2790579)",,
469408793,,residential,False,True,43.323,"LINESTRING (6.9492093 33.2793772, 6.9491426 33.2797628)",,
469406842,,residential,False,False,49.72,"LINESTRING (6.9492093 33.2793772, 6.9490872 33.2793585, 6.9489196 33.279345, 6.9486782 33.2793271)",,
469406842,,residential,False,False,26.663,"LINESTRING (6.9508939 33.2795918, 6.9506092 33.2795627)",,
469406847,,residential,False,False,4.14,"LINESTRING (6.9508939 33.2795918, 6.9508977 33.2796289)",,
469406847,,residential,False,True,60.442,"LINESTRING (6.9508939 33.2795918, 6.9508373 33.2790503)",,
379766504,,tertiary,False,True,9.385,"LINESTRING (6.9498315 33.2784262, 6.9498168 33.2785097)",,
469406844,,residential,False,True,90.087,"LINESTRING (6.9498315 33.2784262, 6.9507747 33.2786122)",,
379766504,,tertiary,False,False,37.365,"LINESTRING (6.9498315 33.2784262, 6.9498423 33.2783724, 6.9498436 33.2783023, 6.9498275 33.2782412, 6.9497873 33.2781812, 6.9497308 33.2781166)",,
469406844,,residential,False,False,90.087,"LINESTRING (6.9507747 33.2786122, 6.9498315 33.2784262)",,
469406844,,residential,False,True,101.928,"LINESTRING (6.9507747 33.2786122, 6.9516877 33.2781046)",,
469406847,,residential,False,True,82.624,"LINESTRING (6.9507747 33.2786122, 6.9505671 33.2778897)",,
469406847,,residential,False,False,49.151,"LINESTRING (6.9507747 33.2786122, 6.9508012 33.278705, 6.9508373 33.2790503)",,
469406844,,residential,False,False,73.942,"LINESTRING (6.9523421 33.2777266, 6.9516877 33.2781046)",,
469406844,,residential,False,True,8.018,"LINESTRING (6.9523421 33.2777266, 6.9524157 33.277689)",,
469405168,,secondary,True,False,74.893,"LINESTRING (6.9523421 33.2777266, 6.951976 33.2773078, 6.9518577 33.2771887)",2,
469405167,,secondary,True,False,29.833,"LINESTRING (6.9524157 33.277689, 6.9526036 33.2779065)",2,
469406844,,residential,False,False,8.018,"LINESTRING (6.9524157 33.277689, 6.9523421 33.2777266)",,
469406847,,residential,False,False,40.363,"LINESTRING (6.9508977 33.2796289, 6.9509505 33.2799892)",,
469406847,,residential,False,True,4.14,"LINESTRING (6.9508977 33.2796289, 6.9508939 33.2795918)",,
727636401,,residential,False,False,153.212,"LINESTRING (6.9508977 33.2796289, 6.9510546 33.2795704, 6.9517198 33.2793148, 6.9523948 33.2790527)",,
469406847,,residential,False,False,82.624,"LINESTRING (6.9505671 33.2778897, 6.9507747 33.2786122)",,
469406847,,residential,False,True,5.312,"LINESTRING (6.9505671 33.2778897, 6.9505497 33.2778442)",,
469405177,CW 405,secondary,True,False,81.745,"LINESTRING (6.9505671 33.2778897, 6.9504572 33.2779234, 6.9500086 33.2780445, 6.9497308 33.2781166)",,
469406847,,residential,False,False,5.312,"LINESTRING (6.9505497 33.2778442, 6.9505671 33.2778897)",,
469406847,,residential,False,True,48.232,"LINESTRING (6.9505497 33.2778442, 6.9506436 33.2774176)",,
469405178,CW 405,secondary,True,False,66.00300000000001,"LINESTRING (6.9505497 33.2778442, 6.9506897 33.2778, 6.9509212 33.2776784, 6.9510997 33.2775802, 6.9511559 33.2775409)",,
469406844,,residential,False,False,101.928,"LINESTRING (6.9516877 33.2781046, 6.9507747 33.2786122)",,
469406844,,residential,False,True,73.942,"LINESTRING (6.9516877 33.2781046, 6.9523421 33.2777266)",,
469406850,,residential,False,True,27.416,"LINESTRING (6.9516877 33.2781046, 6.9518453 33.278313)",,
724486638,,residential,False,False,19.493,"LINESTRING (6.948182 33.2793181, 6.94822 33.2791457)",,
724486638,,residential,False,True,26.167,"LINESTRING (6.948182 33.2793181, 6.9481558 33.2795524)",,
"[469406842, 469408791]",,residential,False,"[False, True]",47.458,"LINESTRING (6.948182 33.2793181, 6.9483241 33.2793551, 6.9483845 33.2793652, 6.9484448 33.2793674, 6.9485025 33.279363, 6.9485615 33.2793439, 6.9486165 33.2793338, 6.9486782 33.2793271)",,
469408791,,residential,False,True,51.986999999999995,"LINESTRING (6.948182 33.2793181, 6.9480076 33.2792789, 6.9476449 33.279188)",,
469405179,CW 405,secondary,False,True,28.736,"LINESTRING (6.9476686 33.2789871, 6.9479473 33.2788753)",,
469408795,,residential,False,True,22.447,"LINESTRING (6.9476686 33.2789871, 6.9476449 33.279188)",,
469405179,CW 405,secondary,False,False,60.138,"LINESTRING (6.9476686 33.2789871, 6.9475407 33.2790369, 6.9470879 33.2792254)",,
469405179,CW 405,secondary,False,False,36.707,"LINESTRING (6.9489504 33.278367, 6.9486125 33.2785378)",,
469405179,CW 405,secondary,False,True,43.534,"LINESTRING (6.9489504 33.278367, 6.9492163 33.2782591, 6.9493722 33.2781969)",,
469408792,,residential,False,True,44.943,"LINESTRING (6.9489504 33.278367, 6.9491784 33.2783853, 6.9494265 33.2784324)",,
379766504,,tertiary,False,False,9.385,"LINESTRING (6.9498168 33.2785097, 6.9498315 33.2784262)",,
379766504,,tertiary,False,True,42.676,"LINESTRING (6.9498168 33.2785097, 6.9497559 33.2788901)",,
469408792,,residential,False,False,37.287,"LINESTRING (6.9498168 33.2785097, 6.9494265 33.2784324)",,
469408792,,residential,False,True,37.287,"LINESTRING (6.9494265 33.2784324, 6.9498168 33.2785097)",,
469408792,,residential,False,False,44.943,"LINESTRING (6.9494265 33.2784324, 6.9491784 33.2783853, 6.9489504 33.278367)",,
469408793,,residential,False,True,46.823,"LINESTRING (6.9494265 33.2784324, 6.949391 33.2785736, 6.949337 33.2788467)",,
469408793,,residential,False,False,23.881,"LINESTRING (6.9492904 33.2790579, 6.949337 33.2788467)",,
469408793,,residential,False,True,36.296,"LINESTRING (6.9492904 33.2790579, 6.9492093 33.2793772)",,
724498188,,residential,False,True,53.064,"LINESTRING (6.9492904 33.2790579, 6.9487235 33.279002)",,
469408793,,residential,False,False,43.323,"LINESTRING (6.9491426 33.2797628, 6.9492093 33.2793772)",,
469408793,,residential,False,True,38.142,"LINESTRING (6.9491426 33.2797628, 6.9490777 33.2801015)",,
469408794,,residential,False,False,94.669,"LINESTRING (6.9491426 33.2797628, 6.9481558 33.2795524)",,
469408794,,residential,False,True,46.779,"LINESTRING (6.9491426 33.2797628, 6.9496302 33.2798668)",,
469408793,,residential,False,False,38.142,"LINESTRING (6.9490777 33.2801015, 6.9491426 33.2797628)",,
469408793,,residential,False,True,37.732,"LINESTRING (6.9490777 33.2801015, 6.9490028 33.280435)",,
469408796,,residential,False,True,47.508,"LINESTRING (6.9490777 33.2801015, 6.9495744 33.2802021)",,
469408796,,residential,False,False,94.57900000000001,"LINESTRING (6.9490777 33.2801015, 6.9484878 33.279982, 6.9480923 33.2798902)",,
379766504,,tertiary,False,False,37.643,"LINESTRING (6.9495744 33.2802021, 6.9496302 33.2798668)",,
379766504,,tertiary,False,True,35.431,"LINESTRING (6.9495744 33.2802021, 6.9495219 33.2805177)",,
469408796,,residential,False,False,47.508,"LINESTRING (6.9495744 33.2802021, 6.9490777 33.2801015)",,
469408795,,residential,False,False,32.707,"LINESTRING (6.9474846 33.2800538, 6.9475584 33.2797662)",,
469408797,,residential,False,True,22.616,"LINESTRING (6.9474846 33.2800538, 6.9477199 33.2801055)",,
469408797,,residential,False,False,65.477,"LINESTRING (6.9474846 33.2800538, 6.9469374 33.2799495, 6.946798 33.2799224)",,
469408797,,residential,False,False,21.987,"LINESTRING (6.9482608 33.280235, 6.9480355 33.2801748)",,
469408797,,residential,False,True,72.472,"LINESTRING (6.9482608 33.280235, 6.9490028 33.280435)",,
724486637,,residential,False,True,34.304,"LINESTRING (6.9482608 33.280235, 6.9481973 33.2805389)",,
469408793,,residential,False,False,37.732,"LINESTRING (6.9490028 33.280435, 6.9490777 33.2801015)",,
469408793,,residential,False,True,31.146,"LINESTRING (6.9490028 33.280435, 6.9489478 33.2807113)",,
469408797,,residential,False,False,72.472,"LINESTRING (6.9490028 33.280435, 6.9482608 33.280235)",,
469408797,,residential,False,True,49.123,"LINESTRING (6.9490028 33.280435, 6.9495219 33.2805177)",,
469405179,CW 405,secondary,False,False,25.624,"LINESTRING (6.9470879 33.2792254, 6.9468476 33.2793383)",,
469405179,CW 405,secondary,False,True,60.138,"LINESTRING (6.9470879 33.2792254, 6.9475407 33.2790369, 6.9476686 33.2789871)",,
469408794,,residential,False,True,53.491,"LINESTRING (6.9470879 33.2792254, 6.9471446 33.2792654, 6.947209 33.2792946, 6.9472821 33.2793204, 6.9476127 33.2794129)",,
469408794,,residential,False,True,52.816,"LINESTRING (6.9476127 33.2794129, 6.9481558 33.2795524)",,
469408795,,residential,False,False,25.186,"LINESTRING (6.9476127 33.2794129, 6.9476449 33.279188)",,
469408794,,residential,False,False,53.491,"LINESTRING (6.9476127 33.2794129, 6.9472821 33.2793204, 6.947209 33.2792946, 6.9471446 33.2792654, 6.9470879 33.2792254)",,
469408795,,residential,False,True,39.61,"LINESTRING (6.9476127 33.2794129, 6.9475865 33.2795704, 6.9475584 33.2797662)",,
