osmid,oneway,name,highway,reversed,length,junction,geometry
1063324574,False,,residential,True,28.425,,"LINESTRING (41.082034 19.1263081, 41.0817936 19.1264254)"
704160350,True,دوار المربعة,tertiary,False,19.686999999999998,roundabout,"LINESTRING (41.082034 19.1263081, 41.0820151 19.1262808, 41.0819998 19.1262262, 41.0820036 19.1261698, 41.0820162 19.1261407)"
1063324571,False,,residential,False,72.82,,"LINESTRING (41.0801118 19.1258049, 41.0801855 19.1257636, 41.0804215 19.1257104, 41.0807702 19.1258118)"
1063324571,False,,residential,True,71.887,,"LINESTRING (41.0801118 19.1258049, 41.0798368 19.1259588, 41.0795626 19.1261859)"
"[1063324574, 1063324575]",False,,residential,"[False, True]",139.53300000000002,,"LINESTRING (41.0801118 19.1258049, 41.0802606 19.1260094, 41.0805771 19.1265315, 41.0806334 19.1267976, 41.0807619 19.1267417)"
1063324574,False,,residential,False,114.81099999999999,,"LINESTRING (41.0807619 19.1267417, 41.0810009 19.1266379, 41.0813093 19.1265315, 41.0816956 19.1264732, 41.0817936 19.1264254)"
"[1063324574, 1063324575]",False,,residential,"[False, True]",139.53300000000002,,"LINESTRING (41.0807619 19.1267417, 41.0806334 19.1267976, 41.0805771 19.1265315, 41.0802606 19.1260094, 41.0801118 19.1258049)"
1063324576,False,,residential,True,45.72,,"LINESTRING (41.0807619 19.1267417, 41.080856 19.1269319, 41.0809129 19.1271258)"
1063324577,False,,residential,False,76.631,,"LINESTRING (41.0819209 19.1273804, 41.0821971 19.1273601, 41.0826495 19.1273598)"
1063324578,False,,residential,True,96.12200000000001,,"LINESTRING (41.0819209 19.1273804, 41.0817519 19.127502, 41.081591 19.1275806, 41.081523 19.128069)"
1063324579,False,,residential,False,62.824,,"LINESTRING (41.0819209 19.1273804, 41.0818484 19.12698, 41.0818031 19.1268271)"
1063324574,False,,residential,False,28.425,,"LINESTRING (41.0817936 19.1264254, 41.082034 19.1263081)"
1063324574,False,,residential,True,114.81099999999999,,"LINESTRING (41.0817936 19.1264254, 41.0816956 19.1264732, 41.0813093 19.1265315, 41.0810009 19.1266379, 41.0807619 19.1267417)"
1063324579,False,,residential,True,44.826,,"LINESTRING (41.0817936 19.1264254, 41.0817921 19.12679, 41.0818031 19.1268271)"
1063328590,False,,residential,False,37.758,,"LINESTRING (41.0808929 19.1286767, 41.0807949 19.12835)"
1063328590,False,,residential,True,40.109,,"LINESTRING (41.0808929 19.1286767, 41.0809177 19.1290245, 41.0809169 19.1290366)"
1063328592,False,,residential,True,72.965,,"LINESTRING (41.0808929 19.1286767, 41.081458 19.1285858, 41.0814763 19.1284725)"
1063328590,False,,residential,False,59.087,,"LINESTRING (41.0806387 19.1281778, 41.0804211 19.1276878)"
1063328590,False,,residential,True,26.383000000000003,,"LINESTRING (41.0806387 19.1281778, 41.0807726 19.1282755, 41.0807949 19.12835)"
1063328622,False,,residential,False,121.059,,"LINESTRING (41.0806387 19.1281778, 41.0805452 19.1282252, 41.0803526 19.1282951, 41.0800799 19.1283533, 41.0800091 19.1283635, 41.0799321 19.1281903, 41.0798291 19.1279343)"
377991842,False,,residential,False,21.376,,"LINESTRING (41.0804211 19.1276878, 41.0802349 19.1277653)"
377991842,False,,residential,True,12.353,,"LINESTRING (41.0804211 19.1276878, 41.0805287 19.127643)"
1063328590,False,,residential,True,59.087,,"LINESTRING (41.0804211 19.1276878, 41.0806387 19.1281778)"
1063328591,False,,residential,False,7.102,,"LINESTRING (41.0814763 19.1284725, 41.0814836 19.128409)"
1063328591,False,,residential,True,129.44,,"LINESTRING (41.0814763 19.1284725, 41.0816795 19.1284725, 41.0822609 19.1284783, 41.0827072 19.128509)"
1063328592,False,,residential,False,72.965,,"LINESTRING (41.0814763 19.1284725, 41.081458 19.1285858, 41.0808929 19.1286767)"
377935255,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,24.274,,"LINESTRING (41.0827072 19.128509, 41.0827069 19.1282907)"
1063328591,False,,residential,False,129.44,,"LINESTRING (41.0827072 19.128509, 41.0822609 19.1284783, 41.0816795 19.1284725, 41.0814763 19.1284725)"
1063328591,False,,residential,False,38.032,,"LINESTRING (41.0814836 19.128409, 41.081523 19.128069)"
1063328591,False,,residential,True,7.102,,"LINESTRING (41.0814836 19.128409, 41.0814763 19.1284725)"
1063328593,False,,residential,False,72.721,,"LINESTRING (41.0814836 19.128409, 41.0811348 19.1283822, 41.0808807 19.1283669, 41.0807949 19.12835)"
1063328590,False,,residential,True,37.758,,"LINESTRING (41.0807949 19.12835, 41.0808929 19.1286767)"
1063328590,False,,residential,False,26.383000000000003,,"LINESTRING (41.0807949 19.12835, 41.0807726 19.1282755, 41.0806387 19.1281778)"
1063328593,False,,residential,True,72.721,,"LINESTRING (41.0807949 19.12835, 41.0808807 19.1283669, 41.0811348 19.1283822, 41.0814836 19.128409)"
377935255,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,89.117,,"LINESTRING (41.0825572 19.129292, 41.0827075 19.1287546, 41.0827072 19.128509)"
1063328594,False,,residential,False,77.306,,"LINESTRING (41.0825572 19.129292, 41.0822121 19.1292177, 41.0819072 19.1291236, 41.081848 19.1291091)"
1063328590,False,,residential,False,40.109,,"LINESTRING (41.0809169 19.1290366, 41.0809177 19.1290245, 41.0808929 19.1286767)"
1063328590,False,,residential,True,57.467,,"LINESTRING (41.0809169 19.1290366, 41.0808859 19.1295227, 41.0808812 19.1295522)"
1063328594,False,,residential,True,98.614,,"LINESTRING (41.0809169 19.1290366, 41.0812587 19.1290352, 41.0816389 19.1290583, 41.081848 19.1291091)"
1063328599,False,,residential,True,103.63499999999999,,"LINESTRING (41.0809169 19.1290366, 41.0807546 19.1290429, 41.080466 19.1290083, 41.0801631 19.1289008, 41.0799639 19.1288393)"
1063328594,False,,residential,False,98.614,,"LINESTRING (41.081848 19.1291091, 41.0816389 19.1290583, 41.0812587 19.1290352, 41.0809169 19.1290366)"
1063328594,False,,residential,True,77.306,,"LINESTRING (41.081848 19.1291091, 41.0819072 19.1291236, 41.0822121 19.1292177, 41.0825572 19.129292)"
1063328595,False,,residential,False,61.578,,"LINESTRING (41.081848 19.1291091, 41.081771 19.1293386, 41.0816368 19.1296248)"
1063328595,False,,residential,False,80.513,,"LINESTRING (41.0816368 19.1296248, 41.0820251 19.1296671, 41.0821003 19.129692, 41.0821347 19.1299696)"
1063328595,False,,residential,True,61.578,,"LINESTRING (41.0816368 19.1296248, 41.081771 19.1293386, 41.081848 19.1291091)"
1063328596,False,,residential,False,79.805,,"LINESTRING (41.0816368 19.1296248, 41.0812323 19.1295787, 41.0808812 19.1295522)"
377991850,False,,residential,True,21.468,,"LINESTRING (41.0821347 19.1299696, 41.082339 19.1299738)"
377991850,False,,residential,False,147.147,,"LINESTRING (41.0821347 19.1299696, 41.0818424 19.1299636, 41.0807418 19.1300868)"
1063328595,False,,residential,True,80.513,,"LINESTRING (41.0821347 19.1299696, 41.0821003 19.129692, 41.0820251 19.1296671, 41.0816368 19.1296248)"
1063328590,False,,residential,True,61.222,,"LINESTRING (41.0808812 19.1295522, 41.0807418 19.1300868)"
1063328590,False,,residential,False,57.467,,"LINESTRING (41.0808812 19.1295522, 41.0808859 19.1295227, 41.0809169 19.1290366)"
1063328596,False,,residential,True,79.805,,"LINESTRING (41.0808812 19.1295522, 41.0812323 19.1295787, 41.0816368 19.1296248)"
377991849,False,,residential,True,22.556,,"LINESTRING (41.0795002 19.1297356, 41.0794225 19.1295465)"
1063328597,False,,residential,False,20.514,,"LINESTRING (41.0795002 19.1297356, 41.0796954 19.1297405)"
377991849,False,,residential,False,37.947,,"LINESTRING (41.0795002 19.1297356, 41.0795177 19.1297875, 41.0796002 19.1300635)"
377991850,False,,residential,False,76.458,,"LINESTRING (41.0805107 19.1300832, 41.0797831 19.1300674)"
377991850,False,,residential,True,24.281,,"LINESTRING (41.0805107 19.1300832, 41.0807418 19.1300868)"
1063328597,False,,residential,True,113.16799999999999,,"LINESTRING (41.0805107 19.1300832, 41.0805209 19.1297612, 41.0797849 19.1297428)"
377991850,False,,residential,False,19.219,,"LINESTRING (41.0797831 19.1300674, 41.0796002 19.1300635)"
377991850,False,,residential,True,76.458,,"LINESTRING (41.0797831 19.1300674, 41.0805107 19.1300832)"
1063328598,False,,residential,False,36.094,,"LINESTRING (41.0797831 19.1300674, 41.0797849 19.1297428)"
1063328597,False,,residential,True,9.406,,"LINESTRING (41.0797849 19.1297428, 41.0796954 19.1297405)"
1063328598,False,,residential,True,36.094,,"LINESTRING (41.0797849 19.1297428, 41.0797831 19.1300674)"
1063328597,False,,residential,False,113.16799999999999,,"LINESTRING (41.0797849 19.1297428, 41.0805209 19.1297612, 41.0805107 19.1300832)"
1063328597,False,,residential,False,9.406,,"LINESTRING (41.0796954 19.1297405, 41.0797849 19.1297428)"
1063328597,False,,residential,True,20.514,,"LINESTRING (41.0796954 19.1297405, 41.0795002 19.1297356)"
1063328599,False,,residential,False,107.58,,"LINESTRING (41.0796954 19.1297405, 41.0797281 19.1293982, 41.0798765 19.12921, 41.0799578 19.1290583, 41.0799639 19.1288393)"
1063328599,False,,residential,False,103.63499999999999,,"LINESTRING (41.0799639 19.1288393, 41.0801631 19.1289008, 41.080466 19.1290083, 41.0807546 19.1290429, 41.0809169 19.1290366)"
1063328599,False,,residential,True,107.58,,"LINESTRING (41.0799639 19.1288393, 41.0799578 19.1290583, 41.0798765 19.12921, 41.0797281 19.1293982, 41.0796954 19.1297405)"
1063328600,False,,residential,False,121.57000000000001,,"LINESTRING (41.0799639 19.1288393, 41.0799171 19.1287395, 41.0797931 19.128701, 41.0796204 19.128532, 41.0795817 19.1284053, 41.0792402 19.1284014, 41.0790626 19.1284363)"
377991849,False,,residential,False,129.109,,"LINESTRING (41.0790626 19.1284363, 41.0794225 19.1295465)"
377991849,False,,residential,True,18.706,,"LINESTRING (41.0790626 19.1284363, 41.0790086 19.128276)"
1063328600,False,,residential,True,121.57,,"LINESTRING (41.0790626 19.1284363, 41.0792402 19.1284014, 41.0795817 19.1284053, 41.0796204 19.128532, 41.0797931 19.128701, 41.0799171 19.1287395, 41.0799639 19.1288393)"
1063324564,False,,residential,False,113.754,,"LINESTRING (41.0803339 19.1253786, 41.0807807 19.1252761, 41.081385 19.125133)"
1063324564,False,,residential,True,109.439,,"LINESTRING (41.0803339 19.1253786, 41.0799541 19.1254658, 41.0793083 19.1255423)"
1063328601,False,,residential,True,111.33000000000001,,"LINESTRING (41.0803339 19.1253786, 41.0802505 19.1250866, 41.0799131 19.1245815, 41.079816 19.1245381)"
377991842,False,,residential,False,65.305,,"LINESTRING (41.0778156 19.1288051, 41.0772567 19.1290622)"
377991842,False,,residential,True,70.587,,"LINESTRING (41.0778156 19.1288051, 41.0784197 19.1285272)"
1063324568,False,,residential,True,180.02100000000002,,"LINESTRING (41.0778156 19.1288051, 41.0777625 19.1286279, 41.0776857 19.128318, 41.0775971 19.1280342, 41.0774973 19.127219)"
377991842,False,,residential,True,65.305,,"LINESTRING (41.0772567 19.1290622, 41.0778156 19.1288051)"
