osmid,oneway,highway,reversed,length,geometry
758720300,False,residential,False,37.475,"LINESTRING (41.7584427 22.4408843, 41.7588046 22.4408431)"
758720300,False,residential,True,46.408,"LINESTRING (41.7584427 22.4408843, 41.7579928 22.4408486)"
758720301,False,residential,True,148.992,"LINESTRING (41.7584427 22.4408843, 41.7582727 22.4398922, 41.7581221 22.439587)"
758720298,False,residential,False,40.524,"LINESTRING (41.7589511 22.4373656, 41.758943 22.4373065, 41.7588867 22.4370061)"
758720302,False,residential,False,99.259,"LINESTRING (41.7589511 22.4373656, 41.7595744 22.4372167, 41.7598706 22.4371)"
758720302,False,residential,False,24.307,"LINESTRING (41.7598706 22.4371, 41.7601071 22.4371003)"
758720307,False,residential,True,57.269,"LINESTRING (41.7598706 22.4371, 41.7595142 22.4367041)"
758720302,False,residential,True,99.259,"LINESTRING (41.7598706 22.4371, 41.7595744 22.4372167, 41.7589511 22.4373656)"
758720302,False,residential,True,24.307,"LINESTRING (41.7601071 22.4371003, 41.7598706 22.4371)"
758720297,False,residential,False,113.301,"LINESTRING (41.7601071 22.4371003, 41.7600309 22.4378003, 41.7600012 22.4381145)"
758720297,False,residential,True,105.03500000000001,"LINESTRING (41.7601071 22.4371003, 41.7602058 22.4361931, 41.7602089 22.4361604)"
758720282,False,residential,False,82.458,"LINESTRING (41.7586479 22.4340025, 41.7586227 22.4347437)"
758720282,False,residential,True,13.041999999999998,"LINESTRING (41.7586479 22.4340025, 41.7586507 22.4339222, 41.7586569 22.4338857)"
758720303,False,residential,False,110.026,"LINESTRING (41.7586479 22.4340025, 41.7591518 22.4339664, 41.7597152 22.433926)"
758720303,False,residential,False,67.992,"LINESTRING (41.7597152 22.433926, 41.7603726 22.4339942)"
758720305,False,residential,False,57.76,"LINESTRING (41.7597152 22.433926, 41.7596386 22.4344406)"
758720303,False,residential,True,110.026,"LINESTRING (41.7597152 22.433926, 41.7591518 22.4339664, 41.7586479 22.4340025)"
758720297,False,residential,True,18.573,"LINESTRING (41.7603726 22.4339942, 41.760397 22.4338287)"
758720303,False,residential,True,67.992,"LINESTRING (41.7603726 22.4339942, 41.7597152 22.433926)"
758720297,False,residential,False,60.244,"LINESTRING (41.7603726 22.4339942, 41.7603126 22.4344019, 41.7603097 22.4345322)"
758720304,False,residential,False,57.412,"LINESTRING (41.7576506 22.4346398, 41.7581998 22.4347341)"
758720304,False,residential,True,39.3,"LINESTRING (41.7576506 22.4346398, 41.7572791 22.4345561)"
758720285,False,residential,False,176.804,"LINESTRING (41.7576506 22.4346398, 41.757636 22.4349571, 41.7576681 22.4362292)"
758720285,False,residential,True,97.74600000000001,"LINESTRING (41.7576506 22.4346398, 41.7576639 22.4343491, 41.7577458 22.4337659)"
758720304,False,residential,True,99.364,"LINESTRING (41.7595889 22.4347745, 41.7586227 22.4347437)"
758720305,False,residential,False,29.956,"LINESTRING (41.7595889 22.4347745, 41.7595889 22.4350439)"
758720305,False,residential,True,37.478,"LINESTRING (41.7595889 22.4347745, 41.7596386 22.4344406)"
758720305,False,residential,False,119.905,"LINESTRING (41.7595889 22.4350439, 41.7595404 22.4361213)"
758720305,False,residential,True,29.956,"LINESTRING (41.7595889 22.4350439, 41.7595889 22.4347745)"
758720781,False,residential,False,72.967,"LINESTRING (41.7595889 22.4350439, 41.7602975 22.4350842)"
758720781,False,residential,True,99.118,"LINESTRING (41.7595889 22.4350439, 41.7586253 22.4350081)"
758720305,False,residential,True,119.905,"LINESTRING (41.7595404 22.4361213, 41.7595889 22.4350439)"
758720306,False,residential,False,68.845,"LINESTRING (41.7595404 22.4361213, 41.7602089 22.4361604)"
758720306,False,residential,True,83.18799999999999,"LINESTRING (41.7595404 22.4361213, 41.7590595 22.4360764, 41.7587408 22.43614)"
758720282,False,residential,False,24.987,"LINESTRING (41.7586533 22.4361575, 41.758661 22.4363821)"
758720306,False,residential,False,9.201,"LINESTRING (41.7586533 22.4361575, 41.7587408 22.43614)"
758720282,False,residential,True,127.848,"LINESTRING (41.7586533 22.4361575, 41.7586297 22.4354681, 41.7586253 22.4350081)"
758720306,False,residential,True,68.845,"LINESTRING (41.7602089 22.4361604, 41.7595404 22.4361213)"
