osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
201755246,,Veress Ferenc utca,residential,,False,True,181.803,"LINESTRING (21.3805124 46.7444385, 21.3808115 46.7447391, 21.3810108 46.7449713, 21.3815259 46.7455712, 21.3817157 46.7458479)",,
201755385,,Stefánia utca,residential,,False,True,172.17600000000002,"LINESTRING (21.3805124 46.7444385, 21.3809164 46.7442449, 21.381317 46.7440315, 21.3817697 46.7437982, 21.3821257 46.743637, 21.3822235 46.7435489, 21.382279 46.7434882)",,
"[276967740, 201755285, 201755318]",,Vár utca,residential,,False,False,222.433,"LINESTRING (21.3892542 46.7457925, 21.3887451 46.7453741, 21.3878949 46.7446754, 21.3877637 46.7445697, 21.3875832 46.7444245, 21.3873476 46.7442804)",,yes
201755246,,Veress Ferenc utca,residential,,False,False,181.803,"LINESTRING (21.3817157 46.7458479, 21.3815259 46.7455712, 21.3810108 46.7449713, 21.3808115 46.7447391, 21.3805124 46.7444385)",,
"[890595065, 993495706, 201755374]",,Nagy Imre út,residential,,False,False,176.966,"LINESTRING (21.3817157 46.7458479, 21.3824801 46.7454423, 21.3827486 46.7453014, 21.3828279 46.7452628, 21.3833828 46.7449746, 21.3834383 46.7449466, 21.3835633 46.7448837)",,
201755303,,Dobó utca,residential,,False,False,28.645,"LINESTRING (21.3797519 46.7462366, 21.3794012 46.7463294)",,
"[227458116, 173767469]",4219,Szent István tér,secondary,50,False,True,20.602,"LINESTRING (21.384428 46.7462722, 21.384472 46.746239, 21.3846249 46.7461455)",3,
201755303,,Dobó utca,residential,,False,False,74.26,"LINESTRING (21.3794012 46.7463294, 21.3784898 46.746566)",,
201755303,,Dobó utca,residential,,False,True,28.645,"LINESTRING (21.3794012 46.7463294, 21.3797519 46.7462366)",,
276483606,,Dobó utca,residential,,False,True,335.42900000000003,"LINESTRING (21.3794012 46.7463294, 21.3787756 46.7453027, 21.378451 46.7446689, 21.3782725 46.7442663, 21.3781382 46.7437078, 21.3779904 46.7434842)",,
173767491,4252,Szalontai út,secondary,50,False,True,137.954,"LINESTRING (21.3868689 46.7464964, 21.3866134 46.7463146, 21.3864186 46.7461608, 21.3857384 46.7456239, 21.385668 46.7455683)",,
201755303,,Dobó utca,residential,,False,True,74.26,"LINESTRING (21.3784898 46.746566, 21.3794012 46.7463294)",,
