osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry,ref
"[892109450, 100874756]",False,,Fő tér,residential,,False,386.0600000000002,,"LINESTRING (18.3980717 47.582164, 18.3981793 47.5823458, 18.3982253 47.582495, 18.3982339 47.5826268, 18.3982138 47.5827217, 18.398165 47.582838, 18.3981104 47.5829271, 18.398067 47.5829833, 18.3979845 47.5830903, 18.3977369 47.5834068, 18.3973612 47.5839784, 18.3970216 47.5844618, 18.3967098 47.5848194, 18.3966651 47.5848554, 18.3965993 47.5848668, 18.3965184 47.584859, 18.3964779 47.5848467, 18.3964328 47.5848331, 18.3963414 47.5847954, 18.3962597 47.5847653, 18.3959826 47.5846578)",
"[892109450, 892109452]",False,,Fő tér,residential,,True,27.543,,"LINESTRING (18.3980717 47.582164, 18.3980706 47.5821042, 18.3980695 47.5820832, 18.3980682 47.5820592, 18.3980505 47.5819832, 18.3980359 47.5819732, 18.3979676 47.5819493)",
304346644,True,2,Köztársaság útja,tertiary,50,False,19.849,,"LINESTRING (18.3979676 47.5819493, 18.3979122 47.5820327, 18.3978594 47.5821122)",
"[892109450, 892109452]",False,,Fő tér,residential,,False,27.543,,"LINESTRING (18.3979676 47.5819493, 18.3980359 47.5819732, 18.3980505 47.5819832, 18.3980682 47.5820592, 18.3980695 47.5820832, 18.3980706 47.5821042, 18.3980717 47.582164)",
227022471,True,,Béla király körtér,residential,,False,393.40999999999997,,"LINESTRING (18.4012282 47.585607, 18.4012919 47.5855497, 18.4034635 47.5830729, 18.4034962 47.5830088, 18.403503 47.5829566, 18.4034756 47.5829103, 18.403181 47.5826383, 18.4031093 47.5825721)",
227022472,False,,Béla király körtér,residential,,True,96.152,,"LINESTRING (18.4012282 47.585607, 18.4010718 47.5856216, 18.4010013 47.5856188, 18.4000688 47.585535, 18.39996 47.585515)",
227022470,True,,Béla király körtér,residential,,False,121.38000000000001,,"LINESTRING (18.39996 47.585515, 18.399933 47.5855124, 18.3996043 47.5854809, 18.3995105 47.5854573, 18.3994622 47.5854302, 18.3994469 47.5854188, 18.3994372 47.585405, 18.399434 47.5853838, 18.3994595 47.5853307, 18.399511 47.5851171, 18.399549 47.5850796, 18.3995959 47.5850696, 18.3999947 47.5850994, 18.4000487 47.5851037, 18.4000918 47.5851071)",
227022471,True,,Béla király körtér,residential,,False,226.06499999999997,,"LINESTRING (18.39996 47.585515, 18.3999254 47.5855624, 18.3997841 47.5859132, 18.3997867 47.5859603, 18.3998136 47.5860019, 18.4001864 47.5861755, 18.40024 47.5862045, 18.4006692 47.5862497, 18.4010635 47.5861792, 18.4011278 47.5861502, 18.40116 47.5861068, 18.4012378 47.5857106, 18.4012282 47.585607)",
227022472,False,,Béla király körtér,residential,,False,96.152,,"LINESTRING (18.39996 47.585515, 18.4000688 47.585535, 18.4010013 47.5856188, 18.4010718 47.5856216, 18.4012282 47.585607)",
227022471,True,,Béla király körtér,residential,,False,46.701,,"LINESTRING (18.4000918 47.5851071, 18.4000114 47.5854117, 18.3999949 47.5854743, 18.39996 47.585515)",
