osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref
149748838,2,,residential,30,False,False,9.807,"LINESTRING (-7.1116765 53.4570555, -7.1117863 53.4571147)",
149748861,2,,residential,,False,False,74.554,"LINESTRING (-7.1009795 53.4555504, -7.1012014 53.4556177, -7.100828 53.4560902)",
149748857,2,,residential,,False,True,9.801,"LINESTRING (-7.1036584 53.4561447, -7.1037567 53.4560788)",
92030648,2,Mullingar Road,secondary,50,False,False,123.548,"LINESTRING (-7.1036584 53.4561447, -7.1038419 53.4562365, -7.1042994 53.4564588, -7.1045102 53.4565592, -7.1049103 53.4567522, -7.1051053 53.4568463)",R148
92030648,2,Mullingar Road,secondary,50,False,True,117.80699999999999,"LINESTRING (-7.1036584 53.4561447, -7.1031859 53.4558851, -7.102371 53.4554135)",R148
149748880,,,residential,,False,False,8.459,"LINESTRING (-7.1117084 53.457175, -7.1117863 53.4571147)",
149757361,2,,residential,50,False,True,163.422,"LINESTRING (-7.106245 53.4561685, -7.1062031 53.4562295, -7.1056277 53.4560024, -7.1055871 53.4559534, -7.1055896 53.4558603, -7.1060642 53.4557047, -7.106128 53.4556657, -7.1062557 53.4555256, -7.1063984 53.4554572, -7.106731 53.4554808)",
149748861,2,,residential,,False,True,18.705,"LINESTRING (-7.1005932 53.4563873, -7.1007135 53.4562351)",
149757345,2,,residential,,False,False,6.714,"LINESTRING (-7.107362 53.4588482, -7.1074109 53.4587953)",
149757345,2,,residential,,False,True,7.319,"LINESTRING (-7.107362 53.4588482, -7.1073085 53.4589058)",
149748846,2,,residential,50,False,True,181.29199999999997,"LINESTRING (-7.107362 53.4588482, -7.1064508 53.4585179, -7.1063612 53.458548, -7.1063763 53.4586228, -7.1071345 53.4589076, -7.1071345 53.4590034, -7.1069035 53.4591866)",
149748796,2,Cluainn Craoibh,residential,30,False,False,79.255,"LINESTRING (-7.108928 53.4553595, -7.1090463 53.4553987, -7.1086581 53.4557566, -7.1085881 53.4558425, -7.1085292 53.4559474)",
149748824,2,,residential,50,False,False,101.219,"LINESTRING (-7.1043035 53.4576181, -7.1047178 53.4571551, -7.104935 53.456972, -7.1051053 53.4568463)",
149748871,2,,residential,50,False,False,35.714,"LINESTRING (-7.1043035 53.4576181, -7.104682 53.4577304, -7.1047506 53.4576743)",
149748871,2,,residential,50,False,True,72.02,"LINESTRING (-7.1043035 53.4576181, -7.1040529 53.4575181, -7.1040377 53.4574029, -7.1042519 53.4571658, -7.1043724 53.4572081)",
149748810,2,,residential,,False,False,11.508,"LINESTRING (-7.1072005 53.4594853, -7.1070969 53.4595684)",
149748810,2,,residential,,False,True,93.03,"LINESTRING (-7.1072005 53.4594853, -7.10729 53.4594232, -7.1075883 53.4591888, -7.1080605 53.4588238)",
149757341,2,,residential,,False,True,301.81699999999995,"LINESTRING (-7.1072005 53.4594853, -7.1083915 53.4600375, -7.1089892 53.4603285, -7.1092687 53.4603269, -7.1093656 53.4602676, -7.1093962 53.4601786, -7.1093962 53.460038, -7.1093381 53.4599086, -7.1089616 53.4597607, -7.108615 53.4596231, -7.1083468 53.4596422, -7.1082798 53.4596921)",
149748867,,,residential,,False,False,10.559,"LINESTRING (-7.1106428 53.457868, -7.1107543 53.4578001)",
149748805,2,,residential,,False,False,8.644,"LINESTRING (-7.1106535 53.4577507, -7.1107543 53.4578001)",
149748846,2,,residential,50,False,False,108.661,"LINESTRING (-7.1058899 53.4599552, -7.1064279 53.4595473, -7.1069035 53.4591866)",
149748818,2,,residential,,False,True,58.413,"LINESTRING (-7.1096772 53.4584924, -7.1104314 53.458765)",
149748818,2,,residential,,False,False,141.07399999999998,"LINESTRING (-7.1096772 53.4584924, -7.1095974 53.4584682, -7.10913 53.4583263, -7.1089893 53.4582969, -7.1085098 53.4581154, -7.1081215 53.4579111, -7.1079686 53.45786, -7.107915 53.4579143)",
149757340,2,,residential,30,False,True,70.329,"LINESTRING (-7.1096772 53.4584924, -7.1102035 53.4580199, -7.110275 53.4579701)",
149748878,,,residential,,False,False,8.538,"LINESTRING (-7.1112077 53.4569774, -7.1112653 53.4569087)",
149748807,2,,residential,30,False,False,9.307,"LINESTRING (-7.1116529 53.4584314, -7.1115617 53.4584951)",
149748799,2,,residential,,False,False,34.566,"LINESTRING (-7.1075702 53.4555512, -7.1070548 53.4555017)",
"[149748819, 149757359]",2,,residential,50,False,False,91.46699999999998,"LINESTRING (-7.1065478 53.4563215, -7.106495 53.4563838, -7.1067187 53.4564525, -7.1068319 53.4564269, -7.1069456 53.4563057, -7.1068778 53.4562251, -7.1067053 53.4561927, -7.1064062 53.4561154)",
92030648,2,Mullingar Road,secondary,50,False,False,47.456,"LINESTRING (-7.1051053 53.4568463, -7.105654 53.4571209)",R148
92030648,2,Mullingar Road,secondary,50,False,True,123.548,"LINESTRING (-7.1051053 53.4568463, -7.1049103 53.4567522, -7.1045102 53.4565592, -7.1042994 53.4564588, -7.1038419 53.4562365, -7.1036584 53.4561447)",R148
149748824,2,,residential,50,False,True,101.219,"LINESTRING (-7.1051053 53.4568463, -7.104935 53.456972, -7.1047178 53.4571551, -7.1043035 53.4576181)",
149748806,2,,residential,,False,False,51.788000000000004,"LINESTRING (-7.1013764 53.4563889, -7.1013432 53.4564282, -7.1007135 53.4562351)",
149748805,2,,residential,,False,True,8.644,"LINESTRING (-7.1107543 53.4578001, -7.1106535 53.4577507)",
149748867,,,residential,,False,True,10.559,"LINESTRING (-7.1107543 53.4578001, -7.1106428 53.457868)",
