osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,access
405135818,,,residential,False,False,76.048,,"LINESTRING (139.5666521 35.7958719, 139.5663402 35.7952365)",,
405135815,,,residential,False,True,22.042,,"LINESTRING (139.5663402 35.7952365, 139.5661189 35.7953206)",,
405135818,,,residential,False,True,76.048,,"LINESTRING (139.5663402 35.7952365, 139.5666521 35.7958719)",,
405135815,,,residential,False,False,99.0,,"LINESTRING (139.5663402 35.7952365, 139.566567 35.7951559, 139.5668584 35.7958036)",,
405135817,,,residential,False,False,22.786,,"LINESTRING (139.5664628 35.7959382, 139.566234 35.7960251)",,
405135817,,,residential,False,True,18.597,,"LINESTRING (139.5664628 35.7959382, 139.5666521 35.7958719)",,
405135820,,,residential,False,False,75.354,,"LINESTRING (139.5664628 35.7959382, 139.5661189 35.7953206)",,
405135815,,,residential,False,False,22.042,,"LINESTRING (139.5661189 35.7953206, 139.5663402 35.7952365)",,
405135815,,,residential,False,True,24.833,,"LINESTRING (139.5661189 35.7953206, 139.565866 35.7954089)",,
405135820,,,residential,False,True,75.354,,"LINESTRING (139.5661189 35.7953206, 139.5664628 35.7959382)",,
227101311,2,新座バイパス,trunk,True,False,67.355,50,"LINESTRING (139.5677334 35.7970979, 139.567059 35.7973581)",254,yes
405135821,,,residential,False,False,150.344,,"LINESTRING (139.5677334 35.7970979, 139.5677116 35.7970537, 139.567257 35.7961327, 139.5672574 35.7958203)",,
405135821,,,residential,False,False,16.049,,"LINESTRING (139.5672574 35.7958203, 139.5670955 35.7958802)",,
405135821,,,residential,False,True,150.34400000000002,,"LINESTRING (139.5672574 35.7958203, 139.567257 35.7961327, 139.5677116 35.7970537, 139.5677334 35.7970979)",,
768843244,,,residential,False,False,67.806,,"LINESTRING (139.5672574 35.7958203, 139.5674452 35.7957517, 139.5673755 35.7955244, 139.5673076 35.7953233)",,
48788377,2,平林寺大門通り,tertiary,False,False,17.905,,"LINESTRING (139.5663255 35.796168, 139.566234 35.7960251)",,
48788377,2,平林寺大門通り,tertiary,False,True,47.915,,"LINESTRING (139.5663255 35.796168, 139.5665646 35.7965528)",,
405135821,,,residential,False,True,59.503,,"LINESTRING (139.5663255 35.796168, 139.5669254 35.7959453)",,
48788377,2,平林寺大門通り,tertiary,False,False,78.575,,"LINESTRING (139.5669553 35.7971844, 139.5665646 35.7965528)",,
