osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,maxspeed
198704561,unclassified,False,True,62.318,"LINESTRING (140.7183627 36.7158376, 140.719054 36.7157539)",,,,,
198704239,unclassified,False,False,100.298,"LINESTRING (140.7183627 36.7158376, 140.7184562 36.7163934, 140.7185041 36.7167324)",,,,,
198704561,unclassified,False,True,41.493,"LINESTRING (140.7179035 36.7158988, 140.7183627 36.7158376)",,,,,
104626125,unclassified,False,False,96.10900000000001,"LINESTRING (140.7179035 36.7158988, 140.7179453 36.7163946, 140.7179301 36.7167618)",,,,,
198704246,unclassified,False,False,58.763,"LINESTRING (140.7209284 36.7158672, 140.72028 36.7157717)",,,,,
198704246,unclassified,False,True,42.138,"LINESTRING (140.7209284 36.7158672, 140.7213889 36.7159529)",,,,,
198705477,unclassified,False,False,36.730999999999995,"LINESTRING (140.7209284 36.7158672, 140.7208689 36.7160805, 140.7208222 36.7161858)",,,,,
198704246,unclassified,False,False,42.138,"LINESTRING (140.7213889 36.7159529, 140.7209284 36.7158672)",,,,,
198704901,unclassified,False,False,30.72,"LINESTRING (140.720186 36.7160375, 140.72028 36.7157717)",,,,,
320788678,unclassified,False,False,52.381,"LINESTRING (140.720186 36.7160375, 140.7205569 36.7164029)",,,,,
198704901,unclassified,False,True,34.338,"LINESTRING (140.720186 36.7160375, 140.719838 36.7161004, 140.7198102 36.7161054)",,,,,
198705477,unclassified,False,False,33.853,"LINESTRING (140.7208222 36.7161858, 140.7207374 36.7162676, 140.7205569 36.7164029)",,,,,
198705477,unclassified,False,True,36.730999999999995,"LINESTRING (140.7208222 36.7161858, 140.7208689 36.7160805, 140.7209284 36.7158672)",,,,,
198704433,unclassified,False,False,85.813,"LINESTRING (140.7205569 36.7164029, 140.721165 36.7170012)",,,,,
320788678,unclassified,False,True,52.381,"LINESTRING (140.7205569 36.7164029, 140.720186 36.7160375)",,,,,
198705477,unclassified,False,False,34.107,"LINESTRING (140.7205569 36.7164029, 140.7203832 36.7165318, 140.7202649 36.7166003)",,,,,
198705477,unclassified,False,True,33.853,"LINESTRING (140.7205569 36.7164029, 140.7207374 36.7162676, 140.7208222 36.7161858)",,,,,
198704739,unclassified,False,False,86.142,"LINESTRING (140.7202649 36.7166003, 140.7207233 36.7172823)",,,,,
198705477,unclassified,False,False,32.895,"LINESTRING (140.7202649 36.7166003, 140.7201163 36.7166424, 140.7199056 36.7166566)",,,,,
198705477,unclassified,False,True,34.107,"LINESTRING (140.7202649 36.7166003, 140.7203832 36.7165318, 140.7205569 36.7164029)",,,,,
198704780,unclassified,False,False,61.878,"LINESTRING (140.7199056 36.7166566, 140.7198102 36.7161054)",,,,,
