osmid,highway,oneway,reversed,length,geometry,ref,name,bridge
169528310,unclassified,False,False,39.924,"LINESTRING (130.7039642 33.8172124, 130.7039822 33.8172393, 130.7039225 33.8175638)",,,
169526259,secondary,False,False,42.201,"LINESTRING (130.7102389 33.8174058, 130.7101346 33.8177753)",203,中間水巻線,
169526352,secondary,False,True,93.579,"LINESTRING (130.7102389 33.8174058, 130.710547 33.8166041)",203,中間水巻線,
169527977,unclassified,False,False,84.35,"LINESTRING (130.7102389 33.8174058, 130.710865 33.8174483, 130.7111439 33.8174965)",,,
169528122,unclassified,False,True,104.497,"LINESTRING (130.7102389 33.8174058, 130.7097423 33.8173766, 130.7094044 33.8171809, 130.7092067 33.8170981)",,,
169527069,unclassified,False,False,132.816,"LINESTRING (130.7137542 33.8173909, 130.7124946 33.8177556, 130.7124252 33.8178197)",,,
"[818626299, 520347790]",unclassified,False,"[False, True]",230.531,"LINESTRING (130.7137542 33.8173909, 130.7134049 33.8168311, 130.7132395 33.8166271, 130.7129455 33.8164175, 130.7134766 33.8156621)",,,
169526905,unclassified,False,True,46.789,"LINESTRING (130.7111439 33.8174965, 130.7114203 33.8171439)",,,
169527158,unclassified,False,True,77.185,"LINESTRING (130.7111439 33.8174965, 130.710568 33.8179994)",,,
169527977,unclassified,False,True,84.35,"LINESTRING (130.7111439 33.8174965, 130.710865 33.8174483, 130.7102389 33.8174058)",,,
169528030,unclassified,False,True,61.696000000000005,"LINESTRING (130.7111439 33.8174965, 130.711346 33.8175222, 130.7114577 33.8175724, 130.7116041 33.8177037, 130.7116854 33.8177781)",,,
139647410,primary,False,False,38.04,"LINESTRING (130.7050061 33.8174132, 130.7049716 33.8177541)",27,直方芦屋線,
139647410,primary,False,True,110.94400000000002,"LINESTRING (130.7050061 33.8174132, 130.7050186 33.8172902, 130.7050212 33.8170785, 130.7050173 33.8169321, 130.7049868 33.8167799, 130.7049207 33.8166203, 130.7048499 33.8164364)",27,直方芦屋線,
169528343,unclassified,False,True,44.494,"LINESTRING (130.7050061 33.8174132, 130.704911 33.8173858, 130.7049097 33.8171876, 130.7049034 33.8170694)",,,
622173077,unclassified,False,False,31.603,"LINESTRING (130.7039225 33.8175638, 130.7040225 33.8178356)",,,
169528310,unclassified,False,True,39.924,"LINESTRING (130.7039225 33.8175638, 130.7039822 33.8172393, 130.7039642 33.8172124)",,,
169526259,secondary,False,True,42.201,"LINESTRING (130.7101346 33.8177753, 130.7102389 33.8174058)",203,中間水巻線,
169527462,unclassified,False,False,47.16,"LINESTRING (130.7101346 33.8177753, 130.710568 33.8179994)",,,
169526354,secondary,False,False,191.916,"LINESTRING (130.7101346 33.8177753, 130.7100129 33.818115, 130.7098788 33.8184057, 130.7094314 33.8193986)",203,中間水巻線,
169527158,unclassified,False,False,77.185,"LINESTRING (130.710568 33.8179994, 130.7111439 33.8174965)",,,
169527462,unclassified,False,True,47.16,"LINESTRING (130.710568 33.8179994, 130.7101346 33.8177753)",,,
169528056,unclassified,False,True,187.719,"LINESTRING (130.710568 33.8179994, 130.7096758 33.8191149, 130.7094314 33.8193986)",,,
169526742,unclassified,False,False,60.92,"LINESTRING (130.7123683 33.8184687, 130.7128504 33.8180949)",,,
169527548,unclassified,False,False,85.777,"LINESTRING (130.7123683 33.8184687, 130.7118859 33.8180027, 130.7117253 33.8179204)",,,
169527892,unclassified,False,False,56.744,"LINESTRING (130.7123683 33.8184687, 130.7126744 33.8187844, 130.7127802 33.8188417)",,,
139647410,primary,False,False,48.466,"LINESTRING (130.7044262 33.8188823, 130.7041048 33.8192268)",27,直方芦屋線,
139647410,primary,False,True,71.096,"LINESTRING (130.7044262 33.8188823, 130.7046714 33.8185643, 130.7047541 33.818438, 130.7048258 33.8183362)",27,直方芦屋線,
169526482,unclassified,False,True,29.984,"LINESTRING (130.7044262 33.8188823, 130.7043754 33.8187179, 130.7043728 33.818618)",,,
139647410,primary,False,True,48.466,"LINESTRING (130.7041048 33.8192268, 130.7044262 33.8188823)",27,直方芦屋線,
169528160,unclassified,False,True,19.515,"LINESTRING (130.7041048 33.8192268, 130.7039585 33.8191002)",,,
"[139647410, 89003378]",primary,False,False,39.711,"LINESTRING (130.7041048 33.8192268, 130.704045 33.8193051, 130.7038591 33.8195197)",27,直方芦屋線,
169527892,unclassified,False,True,66.14099999999999,"LINESTRING (130.7132639 33.8192794, 130.7131451 33.8191887, 130.7127802 33.8188417)",,,
169528394,unclassified,False,False,118.43199999999999,"LINESTRING (130.7132639 33.8192794, 130.7134096 33.8193123, 130.7136409 33.81939, 130.7137608 33.819451, 130.7139554 33.8196069, 130.7142816 33.8198887)",,,
169528425,unclassified,False,True,75.657,"LINESTRING (130.7132639 33.8192794, 130.7129878 33.819782, 130.7129472 33.8199054)",,,
169526305,secondary,False,False,33.591,"LINESTRING (130.7094314 33.8193986, 130.7092911 33.8196773)",203,中間水巻線,
