osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge
602841940,,Jalan Ng Hoe Liat,residential,False,False,87.869,"LINESTRING (102.6537511 2.042874, 102.6545331 2.0427569)",,
753598632,,,residential,False,False,86.38,"LINESTRING (102.6537511 2.042874, 102.6538857 2.0436391)",,
753598632,,,residential,False,True,30.856,"LINESTRING (102.6537511 2.042874, 102.653703 2.0426007)",,
1180377050,,,residential,False,True,49.666,"LINESTRING (102.6537511 2.042874, 102.6533096 2.0429435)",,
651522457,,,residential,False,False,253.987,"LINESTRING (102.6564053 2.0447696, 102.6541569 2.0451801)",,
1088108987,,,residential,False,False,93.196,"LINESTRING (102.6564053 2.0447696, 102.6562552 2.043945)",,
1088108987,,,residential,False,True,90.055,"LINESTRING (102.6564053 2.0447696, 102.6565504 2.0455664)",,
553994308,,,tertiary,False,False,45.866,"LINESTRING (102.652055 2.0463692, 102.6524627 2.0463049)",2,
553994308,,,tertiary,False,True,52.634,"LINESTRING (102.652055 2.0463692, 102.6515897 2.0464577)",2,
651522458,,,unclassified,False,True,88.105,"LINESTRING (102.652055 2.0463692, 102.6519156 2.0455892)",,
651522457,,,residential,False,False,117.572,"LINESTRING (102.6519156 2.0455892, 102.6508748 2.0457792)",,
651522457,,,residential,False,True,253.183,"LINESTRING (102.6519156 2.0455892, 102.6541569 2.0451801)",,
651522458,,,unclassified,False,False,88.105,"LINESTRING (102.6519156 2.0455892, 102.652055 2.0463692)",,
651522458,,,unclassified,False,True,95.612,"LINESTRING (102.6519156 2.0455892, 102.6518206 2.0451484, 102.6517584 2.0447442)",,
25205789,24,Jalan Bakri,primary,False,False,33.232,"LINESTRING (102.651367 2.0426594, 102.6510733 2.0427157)",,
651522458,,,unclassified,False,False,21.353,"LINESTRING (102.651367 2.0426594, 102.6514128 2.0428459)",,
25205789,24,Jalan Bakri,primary,False,True,142.457,"LINESTRING (102.651367 2.0426594, 102.6520537 2.0425361, 102.652629 2.0424342)",,
25205789,24,Jalan Bakri,primary,False,True,8.9,"LINESTRING (102.6500219 2.0428739, 102.6501017 2.0428671)",,
651522470,,,residential,False,False,27.33,"LINESTRING (102.6500219 2.0428739, 102.6500065 2.0426286)",,
651522470,,,residential,False,False,63.028000000000006,"LINESTRING (102.6499356 2.0414921, 102.649918 2.04122, 102.6498998 2.0409264)",,
651522470,,,residential,False,True,62.922,"LINESTRING (102.6499356 2.0414921, 102.6499629 2.0417827, 102.6499777 2.0420563)",,
651522470,,,residential,False,True,63.028000000000006,"LINESTRING (102.6498998 2.0409264, 102.649918 2.04122, 102.6499356 2.0414921)",,
651522470,,,residential,False,True,27.33,"LINESTRING (102.6500065 2.0426286, 102.6500219 2.0428739)",,
