osmid,oneway,name,highway,maxspeed,junction,reversed,length,geometry,ref
468021859,False,,residential,,,True,85.298,"LINESTRING (43.9742635 40.6206696, 43.974039 40.6206774, 43.973819 40.6206998, 43.9736742 40.6207242, 43.9734596 40.6207568, 43.9732697 40.6207958)",
246863546,False,,residential,,,False,306.20900000000006,"LINESTRING (43.9712065 40.622077, 43.9714319 40.6222368, 43.9716141 40.6223353, 43.9717649 40.6223916, 43.9711824 40.6231585, 43.971133 40.6231855, 43.9710713 40.6231624, 43.9710027 40.6230659, 43.9700375 40.6233851, 43.9696427 40.6235232)",
363222371,False,,residential,,,True,15.949,"LINESTRING (43.9727573 40.6175587, 43.9726334 40.6174504)",
363222371,False,,residential,,,False,89.03399999999999,"LINESTRING (43.9727573 40.6175587, 43.9727756 40.6175746, 43.9728212 40.6176581, 43.9728212 40.6177334, 43.9720986 40.6180091)",
1243992772,False,,residential,,,True,108.14800000000001,"LINESTRING (43.9727573 40.6175587, 43.9727139 40.6169923, 43.9727408 40.6169292, 43.9727837 40.6169088, 43.9730144 40.6168579, 43.9730599 40.6168172, 43.9730525 40.6167527)",
237330832,False,,residential,,,False,69.22,"LINESTRING (43.9730525 40.6167527, 43.9725566 40.6162569)",
237330832,False,,residential,,,True,117.671,"LINESTRING (43.9730525 40.6167527, 43.9731666 40.6168668, 43.9732132 40.6177811)",
1243992772,False,,residential,,,False,108.148,"LINESTRING (43.9730525 40.6167527, 43.9730599 40.6168172, 43.9730144 40.6168579, 43.9727837 40.6169088, 43.9727408 40.6169292, 43.9727139 40.6169923, 43.9727573 40.6175587)",
1243992523,False,,residential,,,True,64.57000000000001,"LINESTRING (43.9655149 40.6205308, 43.9652091 40.6202763, 43.9651716 40.6202335, 43.9651555 40.6202111, 43.9651471 40.6200519)",
1243992523,False,,residential,,,False,64.57000000000001,"LINESTRING (43.9651471 40.6200519, 43.9651555 40.6202111, 43.9651716 40.6202335, 43.9652091 40.6202763, 43.9655149 40.6205308)",
1244269905,False,,residential,,,True,73.8,"LINESTRING (43.9720988 40.6162195, 43.9717024 40.6159432, 43.9716625 40.6159261, 43.9715977 40.6159261, 43.9713745 40.6159507)",
1244269904,False,,residential,,,True,58.949,"LINESTRING (43.9713583 40.6164807, 43.9713745 40.6159507)",
1244269904,False,,residential,,,False,58.949,"LINESTRING (43.9713745 40.6159507, 43.9713583 40.6164807)",
1244269905,False,,residential,,,False,73.8,"LINESTRING (43.9713745 40.6159507, 43.9715977 40.6159261, 43.9716625 40.6159261, 43.9717024 40.6159432, 43.9720988 40.6162195)",
1244269907,False,,residential,,,True,77.087,"LINESTRING (43.9713745 40.6159507, 43.9712636 40.6159488, 43.9712237 40.6159469, 43.9711726 40.6159536, 43.9711215 40.6159668, 43.9707724 40.6162006, 43.9707375 40.6162233, 43.9706926 40.6162394, 43.9706016 40.6162611)",
1244269906,False,,residential,,,False,53.545,"LINESTRING (43.9706016 40.6162611, 43.9705864 40.6157797)",
1244269907,False,,residential,,,True,27.915,"LINESTRING (43.9706016 40.6162611, 43.9702738 40.6162944)",
1244269907,False,,residential,,,False,77.08699999999999,"LINESTRING (43.9706016 40.6162611, 43.9706926 40.6162394, 43.9707375 40.6162233, 43.9707724 40.6162006, 43.9711215 40.6159668, 43.9711726 40.6159536, 43.9712237 40.6159469, 43.9712636 40.6159488, 43.9713745 40.6159507)",
