osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction
186336842,ER 110,Estrada Regional 110,secondary,False,True,71.892,"LINESTRING (-16.8491207 32.6760059, -16.8492059 32.6758828, -16.8495432 32.6754663)",2,,
433052818,ER 110,Estrada Regional 110,secondary,False,False,183.73900000000003,"LINESTRING (-16.8491207 32.6760059, -16.8489356 32.6762215, -16.84876 32.6763795, -16.8485923 32.6764947, -16.848473 32.6765715, -16.8483925 32.6766076, -16.8482342 32.6766651, -16.8480559 32.6767588, -16.8478788 32.6768672, -16.847789 32.676927, -16.8476714 32.6770796)",2,,
"[433052824, 433052825]",,,residential,False,False,48.769999999999996,"LINESTRING (-16.8491207 32.6760059, -16.8493096 32.676154, -16.849382 32.6762108, -16.8494919 32.6763132)",,,
186336842,ER 110,Estrada Regional 110,secondary,False,False,71.892,"LINESTRING (-16.8495432 32.6754663, -16.8492059 32.6758828, -16.8491207 32.6760059)",2,,
111643932,,,residential,False,False,237.68,"LINESTRING (-16.8494919 32.6763132, -16.8496085 32.6765406, -16.8497056 32.6767083, -16.8497358 32.6767541, -16.8497704 32.6767742, -16.8498105 32.676784, -16.8498403 32.676786, -16.8498913 32.6767699, -16.8503027 32.676627, -16.8503385 32.6765981, -16.8503548 32.6765718, -16.850354 32.6765352, -16.8503379 32.6765107, -16.849948 32.6761043, -16.8498986 32.6760779, -16.8498592 32.6760731, -16.8498056 32.6760912, -16.8494919 32.6763132)",,,
111643932,,,residential,False,True,237.67999999999998,"LINESTRING (-16.8494919 32.6763132, -16.8498056 32.6760912, -16.8498592 32.6760731, -16.8498986 32.6760779, -16.849948 32.6761043, -16.8503379 32.6765107, -16.850354 32.6765352, -16.8503548 32.6765718, -16.8503385 32.6765981, -16.8503027 32.676627, -16.8498913 32.6767699, -16.8498403 32.676786, -16.8498105 32.676784, -16.8497704 32.6767742, -16.8497358 32.6767541, -16.8497056 32.6767083, -16.8496085 32.6765406, -16.8494919 32.6763132)",,,
"[433052824, 433052825]",,,residential,False,True,48.769999999999996,"LINESTRING (-16.8494919 32.6763132, -16.849382 32.6762108, -16.8493096 32.676154, -16.8491207 32.6760059)",,,
625745153,ER 110,Estrada Regional 110,secondary,False,True,179.356,"LINESTRING (-16.8472458 32.6829662, -16.8471546 32.6828792, -16.8470393 32.6828002, -16.8467868 32.6826331, -16.8464305 32.6823973, -16.8463916 32.6823714, -16.845976 32.6820944, -16.8457599 32.6819503)",2,,
111646017,,,residential,False,False,306.083,"LINESTRING (-16.8464054 32.6806541, -16.8465149 32.6806657, -16.8465807 32.6806838, -16.8466571 32.6807165, -16.8467483 32.6807707, -16.8468153 32.6808181, -16.8468542 32.6808587, -16.8469012 32.6809355, -16.8469293 32.6809998, -16.8469615 32.6810517, -16.8470286 32.681115, -16.8470675 32.6811567, -16.8471238 32.6812075, -16.8471627 32.6812459, -16.8472002 32.6812436, -16.8472418 32.681229, -16.8472633 32.681194, -16.847266 32.6811567, -16.847301 32.6811322, -16.8473504 32.6811229, -16.8474215 32.6811206, -16.8474886 32.6811308, -16.8475543 32.6811714, -16.8476656 32.6812109, -16.847797 32.6812662, -16.8478976 32.6812831, -16.8480304 32.6812888, -16.8481082 32.6813057, -16.848198 32.681308, -16.8482262 32.6812865, -16.8482329 32.6812583, -16.8482021 32.681229, -16.8481189 32.6811861, -16.84797 32.6811014, -16.847856 32.6810224, -16.8477662 32.6809434, -16.8477353 32.6807594, -16.847675 32.6806668)",,,
315925833,ER 102,Rua da Igreja,residential,True,False,56.632999999999996,"LINESTRING (-16.8464054 32.6806541, -16.8464285 32.6804959, -16.8464808 32.680281, -16.8465015 32.6801516)",,,
315925834,ER 102,Rua da Igreja,residential,False,False,35.775999999999996,"LINESTRING (-16.8464054 32.6806541, -16.8463447 32.6809129, -16.8463323 32.6809699)",,,
168522293,,,residential,True,False,29.123999999999995,"LINESTRING (-16.8467764 32.6793874, -16.8467739 32.6793547, -16.8467522 32.6793275, -16.8467173 32.6793131, -16.8466785 32.6793152, -16.8466462 32.6793335, -16.846629 32.6793628, -16.8466316 32.6793955, -16.8466532 32.6794227)",,,roundabout
168522293,,,residential,True,False,14.57,"LINESTRING (-16.8466532 32.6794227, -16.8466881 32.6794372, -16.846727 32.679435, -16.8467593 32.6794168, -16.8467764 32.6793874)",,,roundabout
1091621860,ER 102,Rua da Igreja,residential,True,False,25.561,"LINESTRING (-16.8466532 32.6794227, -16.8466824 32.6794743, -16.8467212 32.6795342, -16.8467526 32.6796353)",,,
43705145,ER 102,Rua da Igreja,residential,False,False,54.503,"LINESTRING (-16.8467526 32.6796353, -16.8467425 32.6796641, -16.8466752 32.6797169, -16.8466502 32.6797366, -16.8465088 32.6798361, -16.8464765 32.679878, -16.8464653 32.6799358, -16.8464778 32.6800254)",,,
1091621859,ER 102,Rua da Igreja,residential,True,False,27.869,"LINESTRING (-16.8467526 32.6796353, -16.8467761 32.67955, -16.8467835 32.6794598, -16.8467764 32.6793874)",,,
1155096024,ER 102,Rua da Igreja,residential,True,False,14.424,"LINESTRING (-16.8464778 32.6800254, -16.8464056 32.68014)",,,
43705145,ER 102,Rua da Igreja,residential,False,True,54.503,"LINESTRING (-16.8464778 32.6800254, -16.8464653 32.6799358, -16.8464765 32.679878, -16.8465088 32.6798361, -16.8466502 32.6797366, -16.8466752 32.6797169, -16.8467425 32.6796641, -16.8467526 32.6796353)",,,
111646017,,,residential,False,True,306.08299999999997,"LINESTRING (-16.847675 32.6806668, -16.8477353 32.6807594, -16.8477662 32.6809434, -16.847856 32.6810224, -16.84797 32.6811014, -16.8481189 32.6811861, -16.8482021 32.681229, -16.8482329 32.6812583, -16.8482262 32.6812865, -16.848198 32.681308, -16.8481082 32.6813057, -16.8480304 32.6812888, -16.8478976 32.6812831, -16.847797 32.6812662, -16.8476656 32.6812109, -16.8475543 32.6811714, -16.8474886 32.6811308, -16.8474215 32.6811206, -16.8473504 32.6811229, -16.847301 32.6811322, -16.847266 32.6811567, -16.8472633 32.681194, -16.8472418 32.681229, -16.8472002 32.6812436, -16.8471627 32.6812459, -16.8471238 32.6812075, -16.8470675 32.6811567, -16.8470286 32.681115, -16.8469615 32.6810517, -16.8469293 32.6809998, -16.8469012 32.6809355, -16.8468542 32.6808587, -16.8468153 32.6808181, -16.8467483 32.6807707, -16.8466571 32.6807165, -16.8465807 32.6806838, -16.8465149 32.6806657, -16.8464054 32.6806541)",,,
169135604,,,residential,False,False,246.93900000000002,"LINESTRING (-16.8449028 32.6824895, -16.8448146 32.6823176, -16.8447734 32.6822324, -16.8446334 32.6819424, -16.8446119 32.6818882, -16.8445958 32.681825, -16.8445931 32.6817718, -16.8445891 32.681694, -16.8445864 32.6815371, -16.8446092 32.6814389, -16.8446629 32.6813294, -16.8447152 32.6812278, -16.844742 32.6811737, -16.8447447 32.6810913, -16.8447125 32.6810348, -16.8446441 32.6809863, -16.8445542 32.680949, -16.8444228 32.6809152, -16.8442673 32.6808892, -16.8442163 32.6808745, -16.844172 32.6808508, -16.8441492 32.6808102, -16.8441412 32.6807385, -16.8441667 32.6806713)",,,
