osmid,name,highway,oneway,reversed,length,geometry,ref
172317727,вулиця Незалежності,tertiary,False,False,92.588,"LINESTRING (25.9801235 49.4238635, 25.9810875 49.4237651, 25.9813879 49.4237334)",О201215
172317727,вулиця Незалежності,tertiary,False,True,208.277,"LINESTRING (25.9801235 49.4238635, 25.9800845 49.4238675, 25.9787098 49.4240616, 25.9773191 49.4242876)",О201215
287795037,Козацька вулиця,residential,False,False,188.998,"LINESTRING (25.9801235 49.4238635, 25.9800772 49.42378, 25.9798001 49.4232571, 25.9795596 49.4227712, 25.9793651 49.4224444, 25.979168 49.4222949)",
287795087,,residential,False,False,109.167,"LINESTRING (25.9712404 49.4241174, 25.9716148 49.4244877, 25.9717887 49.4246666, 25.9718842 49.4248878, 25.9718985 49.4249845)",
231969418,вулиця Чубинського,residential,False,False,144.33599999999998,"LINESTRING (25.9737974 49.4243013, 25.9746687 49.4240659, 25.9751244 49.4239428, 25.9753761 49.4239453, 25.9756021 49.4240804)",
231969418,вулиця Чубинського,residential,False,True,158.039,"LINESTRING (25.9737974 49.4243013, 25.9727374 49.4245877, 25.9718985 49.4249845)",
287795047,вулиця Чубинського,residential,False,True,167.095,"LINESTRING (25.9737974 49.4243013, 25.9734419 49.423944, 25.9733349 49.4237986, 25.9730255 49.4232456, 25.9728306 49.4229437)",
287795042,вулиця Шашкевича,secondary,False,False,93.682,"LINESTRING (25.9799819 49.4288821, 25.9810229 49.4283807)",
287795042,вулиця Шашкевича,secondary,False,True,44.479,"LINESTRING (25.9799819 49.4288821, 25.9796619 49.4290371, 25.9794486 49.4290594)",
287826536,вулиця Максима Кривоноса,residential,False,False,140.91799999999998,"LINESTRING (25.9786267 49.4254578, 25.9790226 49.42607, 25.9793346 49.4266004, 25.9793736 49.4266249)",
287776872,вулиця Кривоноса,residential,False,False,145.467,"LINESTRING (25.9793736 49.4266249, 25.9795862 49.4265027, 25.9802818 49.4262838, 25.9806087 49.4261854, 25.9808153 49.4261534, 25.9810169 49.4261782, 25.9811845 49.426141)",
287776872,вулиця Кривоноса,residential,False,True,74.831,"LINESTRING (25.9793736 49.4266249, 25.9793335 49.4266431, 25.9791944 49.4266818, 25.9790768 49.4267011, 25.9787959 49.4267433, 25.9785433 49.4267802, 25.9783937 49.426827)",
287826536,вулиця Максима Кривоноса,residential,False,True,140.918,"LINESTRING (25.9793736 49.4266249, 25.9793346 49.4266004, 25.9790226 49.42607, 25.9786267 49.4254578)",
287834565,вулиця Чубинського,residential,False,False,73.884,"LINESTRING (25.9709582 49.4254444, 25.9712483 49.4260815)",
287834564,вулиця Чубинського,residential,False,True,44.887,"LINESTRING (25.9718683 49.4260632, 25.9712483 49.4260815)",
231969418,вулиця Чубинського,residential,False,False,121.91900000000001,"LINESTRING (25.9718683 49.4260632, 25.9718249 49.4254708, 25.9718223 49.4254359, 25.9717765 49.4251829, 25.9718985 49.4249845)",
231969418,вулиця Чубинського,residential,False,True,122.899,"LINESTRING (25.9718683 49.4260632, 25.9719278 49.4268745, 25.9719423 49.4270723, 25.9719493 49.4271672)",
287834564,вулиця Чубинського,residential,False,False,44.887,"LINESTRING (25.9712483 49.4260815, 25.9718683 49.4260632)",
287834565,вулиця Чубинського,residential,False,False,43.103,"LINESTRING (25.9712483 49.4260815, 25.9713107 49.426467)",
287834565,вулиця Чубинського,residential,False,True,73.884,"LINESTRING (25.9712483 49.4260815, 25.9709582 49.4254444)",
287834565,вулиця Чубинського,residential,False,True,43.103,"LINESTRING (25.9713107 49.426467, 25.9712483 49.4260815)",
287834562,Тернопільська вулиця,secondary,False,False,135.822,"LINESTRING (25.9708489 49.428157, 25.9710161 49.4280025, 25.9719493 49.4271672)",Т-20-02
287826487,вулиця Данила Галицького,secondary,False,False,94.826,"LINESTRING (25.9790005 49.4282628, 25.9792462 49.4288191, 25.9794486 49.4290594)",
287826487,вулиця Данила Галицького,secondary,False,True,118.848,"LINESTRING (25.9790005 49.4282628, 25.9787419 49.4277549, 25.9784055 49.427268)",
