osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
285791544,Садова вулиця,residential,50,False,True,108.365,"LINESTRING (23.4924959 49.6526432, 23.4920335 49.652593, 23.4917488 49.65251, 23.4915103 49.652355, 23.4912537 49.6521681)",,
"[362630081, 362630082, 221532349]",вулиця Івана Франка,tertiary,50,False,False,101.785,"LINESTRING (23.4907597 49.6554354, 23.4912673 49.6553925, 23.4917375 49.655337, 23.4921057 49.655294, 23.4921549 49.6552884)",О141001,yes
221532349,вулиця Івана Франка,tertiary,50,False,True,109.763,"LINESTRING (23.4907597 49.6554354, 23.4902708 49.6554648, 23.4899337 49.655472, 23.4892372 49.6554723)",О141001,
221596178,Зелена вулиця,residential,50,False,False,235.77500000000003,"LINESTRING (23.4907597 49.6554354, 23.4907463 49.6553896, 23.4907651 49.655214, 23.4907705 49.6550195, 23.4907187 49.6548365, 23.4906257 49.6545727, 23.4903306 49.6540661, 23.4901922 49.6537857, 23.4897906 49.6536382, 23.4896637 49.6535623)",,
285791536,Набережна вулиця,residential,50,False,True,89.757,"LINESTRING (23.4846972 49.6578042, 23.4858245 49.6574592)",,
285791536,Набережна вулиця,residential,50,False,False,96.663,"LINESTRING (23.4846972 49.6578042, 23.4842099 49.6579654, 23.4835356 49.6582388)",,
362615329,Тиха вулиця,residential,50,False,True,140.648,"LINESTRING (23.4846972 49.6578042, 23.4842417 49.6571304, 23.4842013 49.6570845, 23.4841446 49.6570689, 23.4834827 49.657153)",,
218211465,вулиця Тараса Шевченка,tertiary,50,False,False,120.82999999999998,"LINESTRING (23.4834827 49.657153, 23.4834823 49.6575161, 23.4835146 49.6580093, 23.4835356 49.6582388)",,
218211465,вулиця Тараса Шевченка,tertiary,50,False,True,164.619,"LINESTRING (23.4834827 49.657153, 23.4834541 49.6567704, 23.4833492 49.6556751)",,
362615329,Тиха вулиця,residential,50,False,False,140.64800000000002,"LINESTRING (23.4834827 49.657153, 23.4841446 49.6570689, 23.4842013 49.6570845, 23.4842417 49.6571304, 23.4846972 49.6578042)",,
221596186,Валова вулиця,residential,50,False,False,464.5349999999999,"LINESTRING (23.4813551 49.6523064, 23.4815849 49.6529015, 23.4816419 49.6529478, 23.4817521 49.6529841, 23.48185 49.6529698, 23.4823894 49.6528586, 23.4833162 49.6526843, 23.4834245 49.6526596, 23.4835363 49.6526269, 23.4839193 49.6524984, 23.4843567 49.6523742, 23.4844529 49.6523693, 23.4845488 49.6523787, 23.4846461 49.6524019, 23.484741 49.6524472, 23.4848949 49.652538, 23.4849939 49.6525873, 23.4851735 49.6526587, 23.4852899 49.652685, 23.4853816 49.6527003, 23.4854295 49.6527055, 23.4857509 49.6527429, 23.485953 49.6527557, 23.4862012 49.6527715, 23.4866471 49.6527999, 23.4867064 49.6528036)",,
364073923,Бічна Торгова вулиця,residential,50,False,True,333.689,"LINESTRING (23.4813551 49.6523064, 23.4817595 49.6522122, 23.4814812 49.6516793, 23.4815175 49.6516162, 23.4816041 49.6515916, 23.4831848 49.6513377, 23.4835825 49.651272, 23.4836835 49.6512116, 23.483668 49.6511134, 23.4834309 49.6506127)",,
