osmid,highway,oneway,reversed,length,ref,geometry,name,maxspeed
193521811,unclassified,False,False,137.075,,"LINESTRING (37.1365321 48.2214917, 37.1375656 48.2215336, 37.1383719 48.2216121)",,
193521824,residential,False,True,295.334,,"LINESTRING (37.1365321 48.2214917, 37.1376541 48.2198942, 37.1380488 48.2192919, 37.1381903 48.2190766)",,
335991580,residential,False,True,173.784,,"LINESTRING (37.1383719 48.2216121, 37.1376793 48.2231053)",Шкільна вулиця,
193521811,unclassified,False,True,137.075,,"LINESTRING (37.1383719 48.2216121, 37.1375656 48.2215336, 37.1365321 48.2214917)",,
335991580,residential,False,False,228.02399999999997,,"LINESTRING (37.1383719 48.2216121, 37.1384722 48.2214704, 37.1385992 48.2213805, 37.1387807 48.2212953, 37.1388934 48.2212345, 37.1389731 48.221139, 37.1392404 48.2205247, 37.1395169 48.2200068, 37.1395652 48.2199425, 37.1396518 48.2198765, 37.1397369 48.2198392)",Шкільна вулиця,
193521833,residential,False,True,197.313,,"LINESTRING (37.140776 48.22185, 37.1399971 48.2235469)",,
"[193521825, 193521814]","['unclassified', 'residential']",False,"[False, True]",281.47,,"LINESTRING (37.140776 48.22185, 37.140379 48.2217672, 37.1398187 48.2216616, 37.1396882 48.2216442, 37.1396443 48.2216795, 37.1388716 48.2233329)",,
193521833,residential,False,False,163.781,,"LINESTRING (37.140776 48.22185, 37.1409735 48.2213837, 37.1411023 48.2210344, 37.141312 48.2204214)",,
130541422,secondary,False,False,91.882,Т-05-15,"LINESTRING (37.1388716 48.2233329, 37.1376793 48.2231053)",Комарова вулиця,
130541422,secondary,False,True,86.708,Т-05-15,"LINESTRING (37.1388716 48.2233329, 37.1399971 48.2235469)",Комарова вулиця,
"[193521825, 193521814]","['residential', 'unclassified']",False,"[False, True]",281.47,,"LINESTRING (37.1388716 48.2233329, 37.1396443 48.2216795, 37.1396882 48.2216442, 37.1398187 48.2216616, 37.140379 48.2217672, 37.140776 48.22185)",,
130541422,secondary,False,False,86.708,Т-05-15,"LINESTRING (37.1399971 48.2235469, 37.1388716 48.2233329)",Комарова вулиця,
130541422,secondary,False,True,77.608,Т-05-15,"LINESTRING (37.1399971 48.2235469, 37.1410036 48.2237405)",Комарова вулиця,
193521833,residential,False,False,197.313,,"LINESTRING (37.1399971 48.2235469, 37.140776 48.22185)",,
193521818,residential,False,True,332.922,,"LINESTRING (37.1362708 48.2238746, 37.1405922 48.2246966)",Весела вулиця,
"[193521818, 193521812]","['residential', 'unclassified']",False,"[False, True]",181.297,,"LINESTRING (37.1362708 48.2238746, 37.1355393 48.2237385, 37.1354547 48.2236952, 37.135444 48.2236273, 37.1354574 48.2233199, 37.1354681 48.2227838, 37.1355377 48.2226502)",Весела вулиця,
193521826,unclassified,False,False,99.757,,"LINESTRING (37.1362708 48.2238746, 37.1361387 48.2242329, 37.1361414 48.2243617, 37.1362498 48.2247545)",,
130541428,secondary,False,False,157.365,,"LINESTRING (37.1430436 48.2241351, 37.1410036 48.2237405)",Комарова вулиця,
130541428,secondary,False,True,125.997,,"LINESTRING (37.1430436 48.2241351, 37.1434443 48.2242026, 37.1436132 48.2242023, 37.1437815 48.2241653, 37.1443728 48.2239484, 37.1445398 48.2238898, 37.144601 48.223858)",Комарова вулиця,
193521846,unclassified,False,True,62.821,,"LINESTRING (37.1430436 48.2241351, 37.1429594 48.2243188, 37.1428353 48.2246824)",,
193521817,residential,False,False,435.269,,"LINESTRING (37.1428353 48.2246824, 37.1468045 48.2248812, 37.1486821 48.2250535)",Комарова вулиця,
193521846,unclassified,False,False,62.821,,"LINESTRING (37.1428353 48.2246824, 37.1429594 48.2243188, 37.1430436 48.2241351)",,
193521846,unclassified,False,True,95.51400000000001,,"LINESTRING (37.1428353 48.2246824, 37.1427778 48.2248648, 37.1427137 48.2252935, 37.1426645 48.2254232, 37.1426018 48.2255228)",,
193521818,residential,False,False,332.922,,"LINESTRING (37.1405922 48.2246966, 37.1362708 48.2238746)",Весела вулиця,
245843356,secondary,False,True,110.596,Т-05-15,"LINESTRING (37.1405922 48.2246966, 37.1410036 48.2237405)",Тарана вулиця,50
193521826,unclassified,False,True,99.757,,"LINESTRING (37.1362498 48.2247545, 37.1361414 48.2243617, 37.1361387 48.2242329, 37.1362708 48.2238746)",,
193521817,residential,False,True,435.269,,"LINESTRING (37.1486821 48.2250535, 37.1468045 48.2248812, 37.1428353 48.2246824)",Комарова вулиця,
193521846,unclassified,False,False,95.514,,"LINESTRING (37.1426018 48.2255228, 37.1426645 48.2254232, 37.1427137 48.2252935, 37.1427778 48.2248648, 37.1428353 48.2246824)",,
193521846,unclassified,False,True,75.29599999999999,,"LINESTRING (37.1426018 48.2255228, 37.1424738 48.2255603, 37.1422735 48.2255834, 37.1416006 48.2255674)",,
193521846,unclassified,False,False,75.296,,"LINESTRING (37.1416006 48.2255674, 37.1422735 48.2255834, 37.1424738 48.2255603, 37.1426018 48.2255228)",,
193521831,residential,False,False,61.457,,"LINESTRING (37.1419668 48.218391, 37.1423135 48.2178889)",,
193521831,residential,False,True,228.03400000000002,,"LINESTRING (37.1419668 48.218391, 37.1414521 48.2182554, 37.1413314 48.2182393, 37.1412671 48.2182751, 37.1410088 48.2185553, 37.1408622 48.2187316, 37.14074 48.2188893, 37.1406227 48.219111, 37.1403617 48.2196865)",,
284422838,unclassified,False,False,128.452,,"LINESTRING (37.1419668 48.218391, 37.142337 48.2185106, 37.1430147 48.2187185, 37.1432775 48.2187575, 37.143577 48.2188025)",,
193521810,unclassified,False,True,8.106,,"LINESTRING (37.143577 48.2188025, 37.1436744 48.2188357)",,
193521810,unclassified,False,False,127.99000000000001,,"LINESTRING (37.143577 48.2188025, 37.1433461 48.2186025, 37.1424162 48.2179515)",,
284422838,unclassified,False,True,128.452,,"LINESTRING (37.143577 48.2188025, 37.1432775 48.2187575, 37.1430147 48.2187185, 37.142337 48.2185106, 37.1419668 48.218391)",,
335991578,residential,False,False,242.108,,"LINESTRING (37.1424641 48.2205645, 37.1414393 48.222632)",Тарана вулиця,
130541428,secondary,False,False,125.997,,"LINESTRING (37.144601 48.223858, 37.1445398 48.2238898, 37.1443728 48.2239484, 37.1437815 48.2241653, 37.1436132 48.2242023, 37.1434443 48.2242026, 37.1430436 48.2241351)",Комарова вулиця,
130541428,secondary,False,True,71.85000000000001,,"LINESTRING (37.144601 48.223858, 37.1446753 48.2238194, 37.1447927 48.2237129, 37.1450051 48.2233535, 37.1450707 48.2233054)",Комарова вулиця,
842441370,residential,False,False,200.573,,"LINESTRING (37.144601 48.223858, 37.1448639 48.2239153, 37.1461608 48.2238774, 37.1470349 48.2241157, 37.1471934 48.2241834)",,
842441370,residential,False,True,200.57299999999998,,"LINESTRING (37.1471934 48.2241834, 37.1470349 48.2241157, 37.1461608 48.2238774, 37.1448639 48.2239153, 37.144601 48.223858)",,
910958303,unclassified,False,True,72.516,,"LINESTRING (37.1455518 48.2224894, 37.1446206 48.2222884)",,
130541422,secondary,False,True,91.882,Т-05-15,"LINESTRING (37.1376793 48.2231053, 37.1388716 48.2233329)",Комарова вулиця,
335991580,residential,False,False,173.784,,"LINESTRING (37.1376793 48.2231053, 37.1383719 48.2216121)",Шкільна вулиця,
130541422,secondary,False,False,167.44299999999998,Т-05-15,"LINESTRING (37.1376793 48.2231053, 37.1356745 48.2227227, 37.1355377 48.2226502)",Комарова вулиця,
