osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,tunnel
114598643,tertiary,False,True,9.527,"LINESTRING (140.7273373 39.7000507, 140.7272279 39.7000347)",,,,,
114599607,unclassified,False,False,118.098,"LINESTRING (140.7273373 39.7000507, 140.7272209 39.701109)",,,,,
114598643,tertiary,False,False,46.391999999999996,"LINESTRING (140.7273373 39.7000507, 140.7274183 39.700054, 140.7278766 39.7000933)",,,,,
114598555,unclassified,False,True,161.277,"LINESTRING (140.7249424 39.7019872, 140.7268195 39.7021212)",,,,,
"[114599526, 114598231]",unclassified,False,"[False, True]",116.057,"LINESTRING (140.7249424 39.7019872, 140.7250199 39.7013712, 140.7250474 39.7011047, 140.7251065 39.7009539)",,,,,
114598308,unclassified,False,True,203.378,"LINESTRING (140.7293094 39.7026724, 140.7294574 39.7032114, 140.729493 39.703341, 140.729552 39.703622, 140.7296884 39.7044766)",,,,,
114598885,tertiary,False,True,236.679,"LINESTRING (140.7293094 39.7026724, 140.7300926 39.7025195, 140.7303427 39.7024954, 140.730439 39.7024881, 140.7304966 39.7024838, 140.7308862 39.7024626, 140.7311457 39.702457, 140.7312583 39.7024618, 140.7314354 39.7024694, 140.7320443 39.7025128)",,,,,
114598970,tertiary,False,True,216.769,"LINESTRING (140.7293094 39.7026724, 140.7277352 39.7029755, 140.7270653 39.7030892, 140.7268408 39.7031016)",,,,,
114599449,unclassified,False,False,103.213,"LINESTRING (140.7253636 39.6976392, 140.7258886 39.6978921, 140.726375 39.6981449)",,,,,
114599487,residential,False,True,97.93699999999998,"LINESTRING (140.7253636 39.6976392, 140.725523 39.69736, 140.7257743 39.6969869, 140.7258489 39.6968937, 140.7258933 39.6968627)",,,,,
114598677,unclassified,False,True,29.535,"LINESTRING (140.7264957 39.7030941, 140.7268408 39.7031016)",,,,,
114598677,unclassified,False,False,68.97699999999999,"LINESTRING (140.7264957 39.7030941, 140.7260583 39.7030934, 140.7258966 39.7030575, 140.7257067 39.7030078)",,,,,
757634208,unclassified,False,False,57.17,"LINESTRING (140.7264957 39.7030941, 140.7265027 39.7029922, 140.7265177 39.7028587, 140.7267426 39.7026764, 140.7267463 39.7026498)",,,,,
114598643,tertiary,False,False,175.47400000000005,"LINESTRING (140.7278766 39.7000933, 140.7288745 39.7001692, 140.7295679 39.700222, 140.7297349 39.7002303, 140.7298046 39.7002229, 140.7298315 39.70022, 140.7299119 39.7001952)",,,,,
114598643,tertiary,False,True,46.391999999999996,"LINESTRING (140.7278766 39.7000933, 140.7274183 39.700054, 140.7273373 39.7000507)",,,,,
114599724,unclassified,False,False,117.316,"LINESTRING (140.7278766 39.7000933, 140.7278327 39.7004278, 140.7278073 39.7006205, 140.7277387 39.701143)",,,,,
114598658,residential,False,False,20.352,"LINESTRING (140.7331406 39.7024965, 140.7331784 39.7026772)",,,,,
114599622,tertiary,False,False,5.966,"LINESTRING (140.7331406 39.7024965, 140.7332093 39.7024873)",,,,,
114598885,tertiary,False,False,93.92699999999999,"LINESTRING (140.7331406 39.7024965, 140.7328047 39.70252, 140.7324627 39.702523, 140.7323313 39.7025198, 140.7320443 39.7025128)",,,,,
114598168,unclassified,False,False,192.73000000000002,"LINESTRING (140.7301592 39.699679, 140.7314367 39.699785, 140.7317344 39.6998098, 140.731877 39.6998216, 140.731906 39.699551, 140.731927 39.6994196)",,,,,
114598643,tertiary,False,False,98.83800000000001,"LINESTRING (140.7301592 39.699679, 140.7302821 39.6993161, 140.7303845 39.6989177, 140.7304029 39.6988109)",,,,,
114598643,tertiary,False,True,62.981,"LINESTRING (140.7301592 39.699679, 140.7300926 39.6999649, 140.7300442 39.7000797, 140.7299763 39.7001539, 140.7299119 39.7001952)",,,,,
114598798,unclassified,False,False,78.539,"LINESTRING (140.7255392 39.6995795, 140.7257077 39.6991218, 140.7258427 39.6989159)",,,,,
114599107,unclassified,False,False,33.244,"LINESTRING (140.7255392 39.6995795, 140.7254917 39.6997917, 140.7254763 39.6998745)",,,,,
114598626,unclassified,False,True,118.449,"LINESTRING (140.727036 39.7010911, 140.7271782 39.7000315)",,,,,
114598822,unclassified,False,True,69.218,"LINESTRING (140.727036 39.7010911, 140.7262299 39.7010378)",,,,,
114598792,unclassified,False,True,82.082,"LINESTRING (140.727036 39.7010911, 140.7269591 39.7016091, 140.7271388 39.7017761)",,,,,
114599619,unclassified,False,False,96.578,"LINESTRING (140.7256399 39.7044494, 140.7259344 39.7043683, 140.7261327 39.7043493, 140.7263652 39.7043419, 140.726729 39.7042483)",,,,,
114599718,unclassified,False,False,132.46200000000002,"LINESTRING (140.7256399 39.7044494, 140.7253875 39.7041162, 140.7253405 39.7039972, 140.7252665 39.7036519, 140.7252315 39.703468, 140.7251693 39.7033307)",,,,,
114598592,tertiary,False,False,127.615,"LINESTRING (140.7274691 39.698508, 140.7275122 39.6981811, 140.7276118 39.6973656)",,,,,
