osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access
185555917,,,,residential,,False,False,146.921,"LINESTRING (139.3390492 35.7353015, 139.3391329 35.734952, 139.3391919 35.734915, 139.3392823 35.7349002, 139.3393609 35.7348649, 139.3393985 35.7346581, 139.3394594 35.7342688, 139.3394821 35.7341144)",
134130099,,,,residential,,False,False,61.3,"LINESTRING (139.3334934 35.7355765, 139.3340611 35.7358791)",
134130099,,,,residential,,False,True,42.158,"LINESTRING (139.3334934 35.7355765, 139.3330935 35.7353806)",
134130317,,,,residential,,False,False,74.798,"LINESTRING (139.3334934 35.7355765, 139.3330477 35.7361436)",
134130456,,,,unclassified,,False,True,85.858,"LINESTRING (139.3402038 35.7357259, 139.3393362 35.7354093)",
286241029,2,16,東京環状,trunk,60,True,False,94.425,"LINESTRING (139.3402038 35.7357259, 139.3398142 35.736514)",yes
134129930,,,,unclassified,20,True,False,61.019,"LINESTRING (139.3325063 35.7358899, 139.3321594 35.7363609)",
134130222,,,牛浜北通り,unclassified,,False,True,97.333,"LINESTRING (139.3325063 35.7358899, 139.331575 35.7354486)",
134130222,,,牛浜北通り,unclassified,,False,False,13.456000000000001,"LINESTRING (139.3325063 35.7358899, 139.3325698 35.7359211, 139.3326044 35.7359375, 139.3326341 35.7359522)",
134130062,,,図書館通り,unclassified,,False,False,70.956,"LINESTRING (139.3340611 35.7358791, 139.3336633 35.7364295)",
134130062,,,図書館通り,unclassified,,False,True,75.483,"LINESTRING (139.3340611 35.7358791, 139.3344843 35.7352936)",
134130099,,,,residential,,False,True,61.3,"LINESTRING (139.3340611 35.7358791, 139.3334934 35.7355765)",
134129934,,,,residential,,False,False,61.267,"LINESTRING (139.3312308 35.7359235, 139.331575 35.7354486)",
134129934,,,,residential,,False,True,63.103,"LINESTRING (139.3312308 35.7359235, 139.3308758 35.7364124)",
134130174,,,,residential,30,False,False,96.904,"LINESTRING (139.3312308 35.7359235, 139.3321594 35.7363609)",
134130174,,,,residential,30,False,True,94.283,"LINESTRING (139.3312308 35.7359235, 139.3303434 35.7354762)",
134129924,,,銀座通り,unclassified,,True,False,65.502,"LINESTRING (139.3300554 35.7360169, 139.3303434 35.7354762)",
134130338,,,,residential,30,False,False,86.123,"LINESTRING (139.3300554 35.7360169, 139.3308758 35.7364124)",
134129913,,,牛浜北通り,unclassified,,False,True,42.972,"LINESTRING (139.3326341 35.7359522, 139.3330477 35.7361436)",
134130420,,,,unclassified,,True,False,75.889,"LINESTRING (139.3326341 35.7359522, 139.3330935 35.7353806)",
134130222,,,牛浜北通り,unclassified,,False,True,13.456,"LINESTRING (139.3326341 35.7359522, 139.3326044 35.7359375, 139.3325698 35.7359211, 139.3325063 35.7358899)",
134129913,,,牛浜北通り,unclassified,,False,False,42.972,"LINESTRING (139.3330477 35.7361436, 139.3326341 35.7359522)",
134129913,,,牛浜北通り,unclassified,,False,True,64.015,"LINESTRING (139.3330477 35.7361436, 139.3336633 35.7364295)",
134130317,,,,residential,,False,True,74.798,"LINESTRING (139.3330477 35.7361436, 139.3334934 35.7355765)",
134130174,,,,residential,30,False,True,96.904,"LINESTRING (139.3321594 35.7363609, 139.3312308 35.7359235)",
134130320,,,,unclassified,,True,False,64.197,"LINESTRING (139.3321594 35.7363609, 139.3317616 35.7368395)",
134129934,,,,residential,,False,False,63.103,"LINESTRING (139.3308758 35.7364124, 139.3312308 35.7359235)",
134129934,,,,residential,,False,True,63.104,"LINESTRING (139.3308758 35.7364124, 139.3305212 35.7369015)",
134130338,,,,residential,30,False,False,92.992,"LINESTRING (139.3308758 35.7364124, 139.3317616 35.7368395)",
134130338,,,,residential,30,False,True,86.123,"LINESTRING (139.3308758 35.7364124, 139.3300554 35.7360169)",
134129913,,,牛浜北通り,unclassified,,False,False,64.015,"LINESTRING (139.3336633 35.7364295, 139.3330477 35.7361436)",
134129913,,,牛浜北通り,unclassified,,False,True,57.07,"LINESTRING (139.3336633 35.7364295, 139.3342121 35.7366844)",
134130062,,,図書館通り,unclassified,,False,True,70.956,"LINESTRING (139.3336633 35.7364295, 139.3340611 35.7358791)",
134130337,,,図書館通り,unclassified,,False,False,62.013,"LINESTRING (139.3336633 35.7364295, 139.3333001 35.7369029)",
