osmid,highway,est_width,oneway,reversed,length,geometry,lanes,ref,name,maxspeed
325862131,residential,,False,False,53.958,"LINESTRING (139.6353848 35.1586484, 139.6355059 35.1589768, 139.6355604 35.1590263, 139.6356447 35.1590575)",,,,
325862131,residential,,False,False,6.678,"LINESTRING (139.6356447 35.1590575, 139.6357116 35.1590823)",,,,
325862131,residential,,False,True,53.958,"LINESTRING (139.6356447 35.1590575, 139.6355604 35.1590263, 139.6355059 35.1589768, 139.6353848 35.1586484)",,,,
325862131,residential,,False,True,6.678,"LINESTRING (139.6357116 35.1590823, 139.6356447 35.1590575)",,,,
133525150,tertiary,5.5m〜13.0m,False,False,119.11900000000001,"LINESTRING (139.6441283 35.1565334, 139.644145 35.1565356, 139.6444068 35.1566134, 139.6446221 35.1566606, 139.6448204 35.1566935, 139.6451703 35.1567072, 139.6454087 35.1566907)",,,,
133525150,tertiary,5.5m〜13.0m,False,True,30.039,"LINESTRING (139.6441283 35.1565334, 139.6439769 35.1565134, 139.6438009 35.1565292)",,,,
325887429,residential,,False,True,228.186,"LINESTRING (139.6441283 35.1565334, 139.6440761 35.1567048, 139.6440678 35.1567916, 139.6439991 35.1570451, 139.6439971 35.1572067, 139.644022 35.1574108, 139.6438285 35.1574091, 139.6436246 35.1573819, 139.6435143 35.157336, 139.6435663 35.1571454, 139.6436142 35.157011, 139.6436121 35.1568256, 139.6435703 35.1566153)",,,,
133519100,tertiary,5.5m〜13.0m,False,False,23.079,"LINESTRING (139.6435703 35.1566153, 139.6435909 35.156604, 139.6438009 35.1565292)",,,,
133519100,tertiary,5.5m〜13.0m,False,True,254.48100000000002,"LINESTRING (139.6435703 35.1566153, 139.64322 35.156808, 139.642959 35.156972, 139.6427716 35.1571522, 139.64252 35.157417, 139.642431 35.157496, 139.6423154 35.1575832, 139.6421658 35.1576407, 139.641955 35.1576478, 139.6416991 35.1576176, 139.6415159 35.1576057, 139.6413928 35.1576226, 139.6412893 35.157666)",,,,
325887429,residential,,False,False,228.18599999999998,"LINESTRING (139.6435703 35.1566153, 139.6436121 35.1568256, 139.6436142 35.157011, 139.6435663 35.1571454, 139.6435143 35.157336, 139.6436246 35.1573819, 139.6438285 35.1574091, 139.644022 35.1574108, 139.6439971 35.1572067, 139.6439991 35.1570451, 139.6440678 35.1567916, 139.6440761 35.1567048, 139.6441283 35.1565334)",,,,
