osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,access
101333680,,residential,False,True,75.909,"LINESTRING (45.816138 41.9512805, 45.8162302 41.9512953, 45.8163838 41.9513199, 45.8166084 41.9513576, 45.8166779 41.9514157, 45.8167517 41.951567, 45.8167913 41.9516475)",,,,,
101333711,გიორგი მერჩულეს ქუჩა,residential,False,False,356.325,"LINESTRING (45.8109742 41.9480261, 45.8109856 41.948294, 45.811032 41.9486135, 45.8110719 41.9489139, 45.8111167 41.9492516, 45.8111417 41.9494498, 45.8111629 41.9497128, 45.8111741 41.949911, 45.8112015 41.9501827, 45.8112302 41.9505192, 45.8112638 41.9507947, 45.8113149 41.9509056, 45.8114022 41.9511511, 45.8114232 41.9512044)",,,,,
678453347,Kudigora st.,tertiary,False,False,104.152,"LINESTRING (45.8109742 41.9480261, 45.810027 41.9477211, 45.8098078 41.9476766)",,,,60,
"[101333713, 678453347]",Kudigora st.,tertiary,False,True,58.36,"LINESTRING (45.8109742 41.9480261, 45.8113301 41.9481162, 45.8116502 41.948175)",,,,60,
122257893,დავით აღმაშენებლის გამზირი,tertiary,False,True,138.038,"LINESTRING (45.8190989 41.9487143, 45.8190309 41.9487232, 45.8190182 41.9487253, 45.8189877 41.9487304, 45.8183771 41.9488328, 45.8182707 41.9488506, 45.8177663 41.948953, 45.8174782 41.9490096)",,2,,50,yes
952743526,დავით გურამიშვილის ქუჩა,residential,False,False,201.382,"LINESTRING (45.8190989 41.9487143, 45.8191016 41.9487323, 45.8191039 41.9487881, 45.8191123 41.9489912, 45.819145 41.9496897, 45.8191755 41.9505244)",,,,,
952743526,დავით გურამიშვილის ქუჩა,residential,False,True,239.41899999999998,"LINESTRING (45.8190989 41.9487143, 45.8190833 41.9486092, 45.8191209 41.9482789, 45.8193051 41.9477695, 45.819375 41.9475686, 45.8194073 41.9473677, 45.8196209 41.9466055)",,,,,
101333680,,residential,False,False,20.707,"LINESTRING (45.8156013 41.9512275, 45.8155395 41.9512321, 45.8154666 41.9512375, 45.815354 41.951255)",,,,,
101333680,,residential,False,True,44.833999999999996,"LINESTRING (45.8156013 41.9512275, 45.8156342 41.9512311, 45.8157716 41.9512417, 45.8158506 41.9512478, 45.8159776 41.9512555, 45.8160698 41.951271, 45.816138 41.9512805)",,,,,
101333860,,residential,False,False,12.638,"LINESTRING (45.8156013 41.9512275, 45.8156103 41.9511972, 45.8156266 41.9511509, 45.8156386 41.9511173)",,,,,
101333459,Demetre Tavdadebuli st.,residential,False,False,22.16,"LINESTRING (45.8116842 41.9445672, 45.8114163 41.9445706)",,,,,
101333760,,residential,False,False,85.639,"LINESTRING (45.8116842 41.9445672, 45.8117056 41.9437972)",,,,,
101333459,Demetre Tavdadebuli st.,residential,False,True,148.09500000000003,"LINESTRING (45.8116842 41.9445672, 45.8118996 41.9445624, 45.812886 41.9444987, 45.813471 41.9445012)",,,,,
