osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
682708363,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,391.109,"LINESTRING (43.6840086 36.2713159, 43.6824504 36.2713994, 43.6815441 36.2714427, 43.6803215 36.2714172, 43.6796531 36.2713779)"
959715383,False,,,,trunk_link,,True,15.549,"LINESTRING (43.6828007 36.2710762, 43.6828127 36.2712157)"
321698498,False,,,,unclassified,,False,155.52,"LINESTRING (43.6828007 36.2710762, 43.6832355 36.2710527, 43.684531 36.2709759)"
321698498,False,,,,unclassified,,True,129.085,"LINESTRING (43.6828007 36.2710762, 43.6819783 36.2711162, 43.6813629 36.2711383)"
321698498,False,,,,unclassified,,False,97.214,"LINESTRING (43.6774535 36.2707936, 43.6785177 36.2709615)"
321698498,False,,,,unclassified,,True,110.007,"LINESTRING (43.6774535 36.2707936, 43.6769819 36.2707177, 43.6762533 36.2705879)"
303331432,True,2,2,ڕێگای هەولێر - موسڵ,trunk,60,False,106.838,"LINESTRING (43.6772473 36.2708918, 43.6784139 36.2710881)"
959715386,True,,,,trunk_link,,False,21.47,"LINESTRING (43.6772473 36.2708918, 43.6774535 36.2707936)"
556854557,False,,,,residential,,False,57.161,"LINESTRING (43.6749242 36.2717095, 43.6742983 36.2716114)"
"[538395410, 556854557]",False,,,,residential,,True,99.19800000000001,"LINESTRING (43.6749242 36.2717095, 43.6753935 36.2717831, 43.6753323 36.2720736, 43.6753541 36.2721452, 43.6754876 36.272232)"
968775333,False,,,,living_street,,False,38.757000000000005,"LINESTRING (43.6749242 36.2717095, 43.6748582 36.2718763, 43.6748206 36.2720471)"
968775333,False,,,,living_street,,True,38.757000000000005,"LINESTRING (43.6748206 36.2720471, 43.6748582 36.2718763, 43.6749242 36.2717095)"
968775334,False,,,,living_street,,True,25.535,"LINESTRING (43.6742547 36.2739825, 43.6744523 36.2741479)"
349765081,False,,,,residential,,False,24.933,"LINESTRING (43.6752605 36.2742503, 43.6752087 36.2744706)"
