osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,width,lanes,junction
37501204,False,,Moore Street,residential,50,True,80.676,"LINESTRING (138.7818089 -35.4993925, 138.7810816 -35.4998118)",4,,
37501204,False,,Moore Street,residential,50,True,81.918,"LINESTRING (138.7825427 -35.4989614, 138.7818089 -35.4993925)",4,,
37501230,False,,Brooking Street,residential,50,False,145.099,"LINESTRING (138.7825427 -35.4989614, 138.7834902 -35.5000139)",,,
37501230,False,,Brooking Street,residential,50,True,67.326,"LINESTRING (138.7825427 -35.4989614, 138.7821181 -35.4984643)",,,
37501205,False,,Partridge Street,residential,50,False,144.995,"LINESTRING (138.7786888 -35.4995793, 138.7796315 -35.5006335)",4,,
37501205,False,,Partridge Street,residential,50,True,145.487,"LINESTRING (138.7786888 -35.4995793, 138.7777674 -35.4985073)",4,,
51073812,False,,Gardiner Street,residential,50,False,80.615,"LINESTRING (138.7786888 -35.4995793, 138.7794091 -35.499153)",,,
51073812,False,,Gardiner Street,residential,50,True,78.119,"LINESTRING (138.7786888 -35.4995793, 138.7779877 -35.4999889)",,,
38274097,False,,,residential,,True,105.001,"LINESTRING (138.7861123 -35.5039252, 138.7855755 -35.5047623)",4,,
38274095,False,,Cutting Road,residential,50,False,41.471999999999994,"LINESTRING (138.7861123 -35.5039252, 138.7858618 -35.5038497, 138.7858416 -35.5038436, 138.7858221 -35.5038366, 138.7856872 -35.5037867)",4,,
38274098,False,,,unclassified,50,False,178.788,"LINESTRING (138.7861123 -35.5039252, 138.7862438 -35.5037239, 138.7863341 -35.5035856, 138.7863531 -35.5035495, 138.786389 -35.5034843, 138.786389 -35.5034551, 138.7863742 -35.5033915, 138.7863573 -35.503328, 138.7863489 -35.5032576, 138.7863727 -35.5031978, 138.7864143 -35.5031322, 138.7865535 -35.5029416, 138.7867096 -35.5027424, 138.7869016 -35.5025003)",3,,
37501220,False,B37,Cadell Street,primary,50,False,63.619,"LINESTRING (138.7840706 -35.5033662, 138.7837382 -35.5028621)",,,
37501220,False,B37,Cadell Street,primary,50,True,5.65,"LINESTRING (138.7840706 -35.5033662, 138.7841005 -35.5034108)",,,
38274095,False,,Cutting Road,residential,50,True,35.238,"LINESTRING (138.7840706 -35.5033662, 138.7842668 -35.5033452, 138.7843364 -35.5033349, 138.7844483 -35.5033716)",4,,
287201596,True,,,unclassified,,False,19.428,"LINESTRING (138.7853891 -35.5048478, 138.7854481 -35.5048134, 138.7855072 -35.5047911, 138.7855755 -35.5047623)",4,,
38274097,False,,,residential,,False,105.001,"LINESTRING (138.7855755 -35.5047623, 138.7861123 -35.5039252)",4,,
38274094,True,,,unclassified,,False,37.492,"LINESTRING (138.7855755 -35.5047623, 138.785484 -35.5049044, 138.7854418 -35.5049319, 138.7854123 -35.5049319, 138.785387 -35.5049199, 138.7853638 -35.5048941, 138.7853659 -35.5048718, 138.7853891 -35.5048478)",4,,
38274098,False,,,unclassified,50,True,178.78799999999998,"LINESTRING (138.7869016 -35.5025003, 138.7867096 -35.5027424, 138.7865535 -35.5029416, 138.7864143 -35.5031322, 138.7863727 -35.5031978, 138.7863489 -35.5032576, 138.7863573 -35.503328, 138.7863742 -35.5033915, 138.786389 -35.5034551, 138.786389 -35.5034843, 138.7863531 -35.5035495, 138.7863341 -35.5035856, 138.7862438 -35.5037239, 138.7861123 -35.5039252)",3,,
38274857,False,,Dunbar Street,residential,50,False,101.126,"LINESTRING (138.7856872 -35.5037867, 138.7851747 -35.5045948)",4,,
