osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref
43437386,,residential,,,False,False,109.549,"LINESTRING (117.8870816 -35.024033, 117.8882672 -35.0242002)",Grey Street East,
1238987531,,residential,,,False,False,137.94,"LINESTRING (117.8870816 -35.024033, 117.8875437 -35.0252144)",Spencer Street,
43437386,,residential,,,False,True,170.977,"LINESTRING (117.8870816 -35.024033, 117.8854636 -35.0237817, 117.8852328 -35.0237833)",Grey Street East,
1238987530,,residential,,,False,True,257.365,"LINESTRING (117.8870816 -35.024033, 117.8864767 -35.0230139, 117.8858233 -35.0219606)",Spencer Street,
43437386,,residential,,,False,True,109.549,"LINESTRING (117.8882672 -35.0242002, 117.8870816 -35.024033)",Grey Street East,
43437861,,residential,,,False,False,139.01,"LINESTRING (117.8882672 -35.0242002, 117.8887035 -35.0253982)",Rowley Street,
43437861,,residential,,,False,True,175.209,"LINESTRING (117.8882672 -35.0242002, 117.8874631 -35.0227687)",Rowley Street,
32658756,2,secondary,50,roundabout,True,False,8.145,"LINESTRING (117.8835036 -35.0207799, 117.883572 -35.0208271)",,
32930211,,secondary,,roundabout,True,False,28.15,"LINESTRING (117.8848804 -35.0206859, 117.8849218 -35.0206987, 117.8849549 -35.0207226, 117.8849755 -35.0207545, 117.8849809 -35.0207904, 117.8849705 -35.0208256, 117.8849454 -35.0208554, 117.8849091 -35.0208759)",,
173516295,2,tertiary,60,,False,False,11.822,"LINESTRING (117.8793573 -35.0210763, 117.8792275 -35.0210744)",Serpentine Road,
173516295,2,tertiary,60,,False,True,38.137,"LINESTRING (117.8793573 -35.0210763, 117.8797752 -35.0210988)",Serpentine Road,
43438096,,residential,,,False,False,148.53500000000003,"LINESTRING (117.8793573 -35.0210763, 117.8793227 -35.0211794, 117.8792933 -35.0214241, 117.879317 -35.0215859, 117.8794074 -35.0224026)",Parade Street,
43438096,,residential,,,False,False,103.29,"LINESTRING (117.8794861 -35.0234853, 117.8795362 -35.0244133)",Parade Street,
43438096,,residential,,,False,True,120.604,"LINESTRING (117.8794861 -35.0234853, 117.8794074 -35.0224026)",Parade Street,
43437256,,residential,,,False,True,264.401,"LINESTRING (117.8794861 -35.0234853, 117.8800856 -35.0232822, 117.8802102 -35.0230877, 117.880255 -35.0229469, 117.8803225 -35.0228499, 117.8803945 -35.0227675, 117.8805069 -35.022729, 117.8813234 -35.0226806, 117.8819308 -35.0226519)",Hotchin Avenue,
452032868,,residential,,,False,True,108.478,"LINESTRING (117.8795945 -35.0253877, 117.8795362 -35.0244133)",Parade Street,
452032869,,residential,,,False,False,99.878,"LINESTRING (117.8795945 -35.0253877, 117.8806671 -35.0251998)",Vancouver Street,
49722261,,residential,,,False,False,171.468,"LINESTRING (117.8795945 -35.0253877, 117.8795956 -35.0254061, 117.8796842 -35.026928)",Parade Street,
426052859,,residential,,,False,True,52.661,"LINESTRING (117.8798103 -35.0285044, 117.8797729 -35.0280318)",Parade Street,
43438144,,residential,,,False,True,45.446,"LINESTRING (117.8851685 -35.0259744, 117.8846813 -35.0258857)",Peels Place,
32973276,,residential,,roundabout,True,False,13.080000000000002,"LINESTRING (117.8851685 -35.0259744, 117.8851706 -35.0259548, 117.8851797 -35.0259367, 117.885195 -35.0259217, 117.8852152 -35.0259111, 117.8852383 -35.025906, 117.8852622 -35.0259068)",,
