osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction
"[140169656, 617820654]",,,"['Via Del Prato', 'Via Del Forte']",residential,False,False,50.563,"LINESTRING (13.6305953 42.5833833, 13.6306741 42.5832123, 13.6307339 42.5831071, 13.6307722 42.5829495)",,
140169656,,,Via Del Forte,residential,False,True,40.597,"LINESTRING (13.6305953 42.5833833, 13.6305428 42.5834382, 13.6302476 42.583642)",,
37237971,,,Piazza Orsini,residential,False,False,13.003,"LINESTRING (13.630033 42.5828636, 13.6301652 42.5829284)",,
617820653,,,Via Bacco,residential,False,False,57.002,"LINESTRING (13.630033 42.5828636, 13.6300633 42.582804, 13.6300767 42.5827527, 13.6300714 42.58265, 13.6300687 42.5825493, 13.630058 42.5824801, 13.6299882 42.5824959, 13.6298943 42.5825058)",,
638983931,,,Via O. Zanella,tertiary,False,True,24.859,"LINESTRING (13.6264404 42.5820202, 13.6264258 42.5817969)",,
140170716,,,Via Del Ponte,tertiary,False,False,51.135999999999996,"LINESTRING (13.6264404 42.5820202, 13.6264604 42.5820493, 13.626515 42.5821284, 13.6266564 42.5822938, 13.6267931 42.5823955)",,
140169654,,,Via Giuseppe Urbani,residential,True,False,30.159999999999997,"LINESTRING (13.6267931 42.5823955, 13.626873 42.5823615, 13.6269948 42.5823398, 13.6271446 42.5823524)",,
140170716,,,Via Del Ponte,tertiary,False,True,51.136,"LINESTRING (13.6267931 42.5823955, 13.6266564 42.5822938, 13.626515 42.5821284, 13.6264604 42.5820493, 13.6264404 42.5820202)",,
638983931,,,Via O. Zanella,tertiary,False,False,24.859,"LINESTRING (13.6264258 42.5817969, 13.6264404 42.5820202)",,
638983931,,,Via O. Zanella,tertiary,False,True,44.902,"LINESTRING (13.6264258 42.5817969, 13.6264834 42.5815679, 13.6265074 42.5814942, 13.6265149 42.5814712, 13.6265376 42.5814017)",,
"[96270376, 471305870, 96270399]",,,,tertiary,False,False,163.481,"LINESTRING (13.6278514 42.5807533, 13.6277312 42.5803495, 13.6275006 42.5795814, 13.6274443 42.579394, 13.6274213 42.5793176)",yes,
140172835,,,Via Luigi Settembrini,tertiary,False,False,96.359,"LINESTRING (13.6278514 42.5807533, 13.6276169 42.5808626, 13.6274242 42.5809138, 13.6272367 42.5809241, 13.6267323 42.5808903)",,
140172835,,,Via Luigi Settembrini,tertiary,False,True,120.553,"LINESTRING (13.6278514 42.5807533, 13.6281239 42.5806256, 13.6286147 42.5803965, 13.6291063 42.5801866)",,
140172832,,,Via O. Zanella,tertiary,False,True,19.393,"LINESTRING (13.6267323 42.5808903, 13.6267002 42.5807175)",,
"[140172832, 638983929, 638983931]",,,Via O. Zanella,tertiary,False,False,59.105999999999995,"LINESTRING (13.6267323 42.5808903, 13.626705 42.5809495, 13.6265567 42.5813249, 13.626552 42.5813439, 13.6265376 42.5814017)",yes,
140172835,,,Via Luigi Settembrini,tertiary,False,True,96.359,"LINESTRING (13.6267323 42.5808903, 13.6272367 42.5809241, 13.6274242 42.5809138, 13.6276169 42.5808626, 13.6278514 42.5807533)",,
1226177344,2,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,False,True,20.799,"LINESTRING (13.6290795 42.5799718, 13.6293149 42.5800421)",,
648289501,2,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,False,False,224.26999999999998,"LINESTRING (13.6290795 42.5799718, 13.6283937 42.5797669, 13.6279533 42.5796353, 13.6275545 42.579506, 13.6274002 42.5794523, 13.6272396 42.5793986, 13.6270525 42.5793285, 13.6269396 42.5792797, 13.6268428 42.5792351, 13.626646 42.5791299, 13.6266125 42.5791104)",,
1226177344,2,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,False,False,20.799,"LINESTRING (13.6293149 42.5800421, 13.6290795 42.5799718)",,
"[1226177345, 1226177343]",2,SS80,Strada Statale 80 del Gran Sasso d'Italia,primary,False,True,29.131,"LINESTRING (13.6293149 42.5800421, 13.6294367 42.5800814, 13.6296418 42.5801455)",,
1226177350,,,Via Luigi Settembrini,tertiary,True,False,15.374999999999998,"LINESTRING (13.6293149 42.5800421, 13.6293143 42.5800685, 13.6293041 42.5800937, 13.6292877 42.5801143, 13.6292569 42.5801405, 13.6292309 42.5801596)",,
1226177349,,,Via Luigi Settembrini,tertiary,True,False,4.667,"LINESTRING (13.6291063 42.5801866, 13.6291332 42.5801496)",,
