osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction,bridge
620874242,Vico Palumbo,unclassified,False,True,60.972,,"LINESTRING (14.4875382 41.0159075, 14.4879036 41.0156076, 14.4880249 41.0155004)",,,
1062811204,Via Giuseppe Alberti,tertiary,False,False,27.194,30,"LINESTRING (14.4858805 41.0160344, 14.4861117 41.0162058)",SP338,,
1062811204,Via Giuseppe Alberti,tertiary,False,True,63.351,30,"LINESTRING (14.4858805 41.0160344, 14.4853117 41.0156597)",SP338,,
620874241,Via Enrico De Nicola,residential,False,True,143.357,,"LINESTRING (14.4858805 41.0160344, 14.4863426 41.0155935, 14.4869254 41.0150144)",,,
171462181,Via Vincenzo Monti,unclassified,False,False,14.252,,"LINESTRING (14.482499 41.0099873, 14.4826615 41.0100246)",,,
171462181,Via Vincenzo Monti,unclassified,False,True,50.264,,"LINESTRING (14.482499 41.0099873, 14.4819357 41.0098335)",,,
"[620874180, 29754470]","['Piazza Mercato', 'Via Santa Rita da Cascia']",unclassified,False,False,560.97,,"LINESTRING (14.482499 41.0099873, 14.4825863 41.0095389, 14.4826974 41.0090684, 14.4828396 41.0084588, 14.4827585 41.0083443, 14.4826558 41.0083089, 14.4824995 41.0082734, 14.4822762 41.0082689, 14.4809725 41.0088447, 14.4807045 41.0089348, 14.480532 41.0089827, 14.4802593 41.0090299, 14.4800233 41.0090299, 14.4790852 41.0089344, 14.4786623 41.0089205, 14.4786026 41.0089675)",,,
171462178,Via Roma,residential,False,False,107.34,,"LINESTRING (14.4880249 41.0155004, 14.4874691 41.0152049, 14.4869254 41.0150144)",,,
620874242,Vico Palumbo,unclassified,False,False,60.972,,"LINESTRING (14.4880249 41.0155004, 14.4879036 41.0156076, 14.4875382 41.0159075)",,,
620874201,Via Casazenca,unclassified,False,False,14.954,,"LINESTRING (14.4859834 41.0081678, 14.4860524 41.0080438)",,,
620874201,Via Casazenca,unclassified,False,True,64.654,,"LINESTRING (14.4859834 41.0081678, 14.4859405 41.008518, 14.4859128 41.0087468)",,,
