osmid,highway,oneway,reversed,length,ref,geometry,maxspeed
315319862,residential,False,True,72.687,,"LINESTRING (0.2588807 35.7495024, 0.2586676 35.7494147, 0.258263 35.749337, 0.2581346 35.7492729)",
315319861,residential,False,False,26.796,,"LINESTRING (0.259767 35.7479762, 0.2598473 35.7482082)",
315319861,residential,False,True,9.344,,"LINESTRING (0.259767 35.7479762, 0.259739 35.7478953)",
315319864,residential,False,False,81.575,,"LINESTRING (0.259767 35.7479762, 0.2606364 35.7477754)",
315319865,residential,False,False,78.775,,"LINESTRING (0.2616601 35.7482751, 0.2613947 35.7476002)",
385924298,residential,False,True,116.628,,"LINESTRING (0.2616601 35.7482751, 0.2617365 35.7486745, 0.261725 35.7487259, 0.261702 35.7487727, 0.2616587 35.7488054, 0.2615694 35.7488382, 0.2610791 35.7489542)",
315319864,residential,False,True,71.152,,"LINESTRING (0.2613947 35.7476002, 0.2606364 35.7477754)",
315319865,residential,False,True,78.775,,"LINESTRING (0.2613947 35.7476002, 0.2616601 35.7482751)",
315306529,primary,False,False,89.814,RN 23,"LINESTRING (0.2549078 35.7513126, 0.2553721 35.751187, 0.2558517 35.7510565)",50
315306529,primary,False,True,105.826,RN 23,"LINESTRING (0.2549078 35.7513126, 0.2545622 35.751406, 0.2537852 35.7515872)",50
315325884,residential,False,True,102.068,,"LINESTRING (0.2549078 35.7513126, 0.2546391 35.7505257, 0.254671 35.7504277)",
315319869,tertiary,False,True,46.18,,"LINESTRING (0.2568169 35.7512312, 0.2566256 35.750846)",
375506456,residential,False,False,221.041,,"LINESTRING (0.2568169 35.7512312, 0.2585454 35.750666, 0.2587654 35.7511067)",
375506456,residential,False,False,74.99,,"LINESTRING (0.2587654 35.7511067, 0.2590776 35.7517317)",
375506457,residential,False,False,193.488,,"LINESTRING (0.2587654 35.7511067, 0.2607637 35.750476)",
375506456,residential,False,True,221.041,,"LINESTRING (0.2587654 35.7511067, 0.2585454 35.750666, 0.2568169 35.7512312)",
375506457,residential,False,True,193.488,,"LINESTRING (0.2607637 35.750476, 0.2587654 35.7511067)",
375506457,residential,False,False,83.82300000000001,,"LINESTRING (0.2607637 35.750476, 0.2609239 35.750506, 0.2610841 35.750646, 0.2612757 35.7510462)",
1013647223,residential,False,True,54.74,,"LINESTRING (0.2607637 35.750476, 0.2608341 35.7503696, 0.2609146 35.7503109, 0.261113 35.7502565, 0.261253 35.7502616)",
375506456,residential,False,False,51.196,,"LINESTRING (0.2596157 35.7528091, 0.2598288 35.7532358)",
375506456,residential,False,True,48.124,,"LINESTRING (0.2596157 35.7528091, 0.2594154 35.752408)",
375506458,residential,False,True,210.557,,"LINESTRING (0.2596157 35.7528091, 0.261781 35.7521036)",
375506456,residential,False,False,44.599,,"LINESTRING (0.2598288 35.7532358, 0.2600145 35.7536075)",
375506456,residential,False,True,51.196,,"LINESTRING (0.2598288 35.7532358, 0.2596157 35.7528091)",
375506459,residential,False,False,209.891,,"LINESTRING (0.2598288 35.7532358, 0.2619952 35.7525488)",
375506457,residential,False,True,53.144,,"LINESTRING (0.2619952 35.7525488, 0.261781 35.7521036)",
375506459,residential,False,True,209.891,,"LINESTRING (0.2619952 35.7525488, 0.2598288 35.7532358)",
375506456,residential,False,True,44.599,,"LINESTRING (0.2600145 35.7536075, 0.2598288 35.7532358)",
375506456,residential,False,False,48.124,,"LINESTRING (0.2594154 35.752408, 0.2596157 35.7528091)",
375506456,residential,False,True,81.145,,"LINESTRING (0.2594154 35.752408, 0.2590776 35.7517317)",
375506461,residential,False,True,210.418,,"LINESTRING (0.2594154 35.752408, 0.2615852 35.7517151)",
375506457,residential,False,False,79.449,,"LINESTRING (0.2612757 35.7510462, 0.2615852 35.7517151)",
375506462,residential,False,False,212.501,,"LINESTRING (0.2612757 35.7510462, 0.2590776 35.7517317)",
375506457,residential,False,True,83.82300000000001,,"LINESTRING (0.2612757 35.7510462, 0.2610841 35.750646, 0.2609239 35.750506, 0.2607637 35.750476)",
1013647224,residential,False,True,31.039,,"LINESTRING (0.2612757 35.7510462, 0.2615382 35.7509487, 0.2615932 35.7509443)",
375506456,residential,False,False,81.145,,"LINESTRING (0.2590776 35.7517317, 0.2594154 35.752408)",
375506456,residential,False,True,74.99,,"LINESTRING (0.2590776 35.7517317, 0.2587654 35.7511067)",
375506462,residential,False,True,212.501,,"LINESTRING (0.2590776 35.7517317, 0.2612757 35.7510462)",
375506467,residential,False,True,178.702,,"LINESTRING (0.2561422 35.7483956, 0.2560559 35.7481256, 0.257668 35.7478971)",
375506468,residential,False,True,60.591,,"LINESTRING (0.256894 35.7473454, 0.2566961 35.7468247)",
375506468,residential,False,False,60.591,,"LINESTRING (0.2566961 35.7468247, 0.256894 35.7473454)",
375506469,residential,False,False,74.119,,"LINESTRING (0.2566961 35.7468247, 0.2574911 35.7466574)",
