osmid,oneway,lanes,ref,highway,maxspeed,width,reversed,length,geometry,bridge,name,access,junction,tunnel
4232330,False,,L 538,secondary,50,,True,10.675,"LINESTRING (8.5445837 49.4829, 8.5444464 49.4829355)",,Ilvesheimer Straße,,,
145472651,False,,L 538,secondary,50,,False,26.234,"LINESTRING (8.5445837 49.4829, 8.5446661 49.4828787, 8.544914 49.4828144, 8.544921 49.4828126)",,Ilvesheimer Straße,,,
"[100839560, 577593586]",True,1,K 9751,secondary,70,,False,91.102,"LINESTRING (8.5445837 49.4829, 8.5446756 49.4830039, 8.5447386 49.4830711, 8.5449746 49.4832945, 8.5453115 49.4835674)",,Siebenbürger Straße,,,
"[169564458, 100839573]",True,"['1', '2']",K 9751,secondary,70,,False,94.878,"LINESTRING (8.5453115 49.4835674, 8.5450078 49.4834142, 8.5447992 49.4832679, 8.5446824 49.4831697, 8.5445547 49.4830438, 8.5444464 49.4829355)",,Siebenbürger Straße,,,
"[184938104, 145478793]",False,"['3', '2']",K 9751,secondary,70,,True,641.438,"LINESTRING (8.5453115 49.4835674, 8.5457974 49.4838419, 8.5460321 49.4839646, 8.5461133 49.4840122, 8.5461931 49.4840674, 8.5463645 49.4841995, 8.5465163 49.4843285, 8.5466511 49.484465, 8.5475645 49.4855198, 8.5483596 49.4864444, 8.5490081 49.4872178, 8.5493092 49.4875831, 8.5495639 49.48791, 8.5497839 49.488185, 8.5499807 49.4884225)",,Siebenbürger Straße,,,
159241147,False,4,K 9751,secondary,70,,True,100.586,"LINESTRING (8.5507962 49.4894317, 8.5514586 49.4902274)",,Siebenbürger Straße,,,
159242035,True,2,K 9751,secondary,70,,False,64.131,"LINESTRING (8.5507962 49.4894317, 8.5506852 49.4893376, 8.5503507 49.4889342)",,Siebenbürger Straße,,,
159241147,False,4,K 9751,secondary,70,,False,100.586,"LINESTRING (8.5514586 49.4902274, 8.5507962 49.4894317)",,Siebenbürger Straße,,,
159241166,False,3,K 9751,secondary,70,,True,35.718,"LINESTRING (8.5514586 49.4902274, 8.5516216 49.490413, 8.5517034 49.4905065)",,Siebenbürger Straße,,,
159241166,False,3,K 9751,secondary,70,,False,35.718,"LINESTRING (8.5517034 49.4905065, 8.5516216 49.490413, 8.5514586 49.4902274)",,Siebenbürger Straße,,,
159241295,True,1,K 9751,secondary,70,,False,68.219,"LINESTRING (8.5517034 49.4905065, 8.5518233 49.4905927, 8.5520237 49.4908321, 8.5521322 49.4910456)",,Siebenbürger Straße,,,
159241774,True,1,,secondary_link,50,,False,27.374000000000002,"LINESTRING (8.5517034 49.4905065, 8.551582 49.4905959, 8.5514062 49.4906514)",,,,,
31233415,False,2,L 597,secondary,70,,True,22.336,"LINESTRING (8.551223 49.4916248, 8.5509142 49.4916355)",,Sudetenstraße,,,
